hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	FALSE	FALSE	TRUE	GO:0016579	protein deubiquitination	0.00838	18	5	1.33	0.278	2.077	AN10788,AN11102,AN4492,AN6354,AN6913
FALSE	FALSE	FALSE	TRUE	GO:0006284	base-excision repair	0.00915	12	4	0.89	0.333	2.039	AN3619,AN3947,AN6682,AN7435
FALSE	FALSE	FALSE	TRUE	GO:0006415	translational termination	0.00915	12	4	0.89	0.333	2.039	AN1162,AN12011,AN4015,AN6083
FALSE	FALSE	FALSE	TRUE	GO:0045835	negative regulation of meiotic nuclear division	0.01125	12	5	0.89	0.417	1.949	AN1797,AN4407,AN4493,AN5494,AN5815
FALSE	FALSE	FALSE	TRUE	GO:0034314	Arp2/3 complex-mediated actin nucleation	0.01127	18	5	1.33	0.278	1.948	AN0290,AN0306,AN1462,AN5778,AN8698
FALSE	FALSE	FALSE	TRUE	GO:0042401	cellular biogenic amine biosynthetic process	0.01132	7	3	0.52	0.429	1.946	AN0687,AN3846,AN6231
FALSE	FALSE	FALSE	TRUE	GO:0000729	DNA double-strand break processing	0.01132	7	3	0.52	0.429	1.946	AN11721,AN2214,AN3619
FALSE	FALSE	FALSE	TRUE	GO:0061780	mitotic cohesin loading	0.01132	7	3	0.52	0.429	1.946	AN6364,AN7296,AN7499
FALSE	FALSE	FALSE	TRUE	GO:1903464	negative regulation of mitotic cell cycle DNA replication	0.01132	7	3	0.52	0.429	1.946	AN0872,AN3450,AN4571
FALSE	FALSE	FALSE	TRUE	GO:0045944	positive regulation of transcription by RNA polymerase II	0.0117	108	17	8	0.157	1.932	AN0770,AN10526,AN1205,AN1345,AN1560,AN2172,AN2285,AN2296,AN4493,AN4785,AN4891,AN5726,AN6223,AN6569,AN7820,AN8847,AN8858
FALSE	FALSE	FALSE	TRUE	GO:1990748	cellular detoxification	0.01239	22	6	1.63	0.273	1.907	AN11015,AN2132,AN3581,AN6045,AN7632,AN8782
FALSE	FALSE	FALSE	TRUE	GO:0042147	retrograde transport, endosome to Golgi	0.01341	20	5	1.48	0.25	1.873	AN10213,AN10313,AN1341,AN4014,AN7993
FALSE	FALSE	FALSE	TRUE	GO:0032392	DNA geometric change	0.01563	12	3	0.89	0.25	1.806	AN11721,AN2491,AN5899
FALSE	FALSE	FALSE	TRUE	GO:0045892	negative regulation of transcription, DNA-templated	0.01569	151	25	11.19	0.166	1.804	AN0297,AN10526,AN10635,AN10970,AN1237,AN1255,AN1491,AN1929,AN2172,AN2285,AN3450,AN4166,AN4493,AN4891,AN4932,AN5494,AN6147,AN6223,AN7681,AN7723,AN7753,AN7994,AN8796,AN8858,AN9399
FALSE	FALSE	FALSE	TRUE	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	0.01644	14	4	1.04	0.286	1.784	AN0166,AN1560,AN3946,AN7499
FALSE	FALSE	FALSE	TRUE	GO:0015804	neutral amino acid transport	0.01644	14	4	1.04	0.286	1.784	AN11188,AN5198,AN6590,AN8854
FALSE	FALSE	FALSE	TRUE	GO:0046131	pyrimidine ribonucleoside metabolic process	0.01712	8	3	0.59	0.375	1.766	AN11146,AN5884,AN8216
FALSE	FALSE	FALSE	TRUE	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.02113	15	4	1.11	0.267	1.675	AN0305,AN1434,AN5785,AN6556
FALSE	FALSE	FALSE	TRUE	GO:0006896	Golgi to vacuole transport	0.02113	15	4	1.11	0.267	1.675	AN11913,AN1973,AN4014,AN7993
FALSE	FALSE	FALSE	TRUE	GO:0043087	regulation of GTPase activity	0.02113	15	4	1.11	0.267	1.675	AN1545,AN6533,AN6590,AN6825
FALSE	FALSE	FALSE	TRUE	GO:0006366	transcription by RNA polymerase II	0.02316	265	32	19.64	0.121	1.635	AN0191,AN0192,AN0327,AN0752,AN0770,AN0879,AN10105,AN10362,AN10526,AN10832,AN10970,AN1205,AN12122,AN1345,AN1369,AN1521,AN1560,AN1929,AN2172,AN2278,AN2285,AN2296,AN4493,AN4785,AN4891,AN4932,AN5726,AN6223,AN6569,AN7820,AN8847,AN8858
FALSE	FALSE	FALSE	TRUE	GO:0000070	mitotic sister chromatid segregation	0.02361	84	17	6.22	0.202	1.627	AN0166,AN0814,AN1182,AN1223,AN1560,AN3111,AN3363,AN3451,AN3946,AN4996,AN5495,AN5815,AN5899,AN6364,AN7296,AN7499,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0000723	telomere maintenance	0.02368	41	11	3.04	0.268	1.626	AN0153,AN10855,AN11721,AN1237,AN2285,AN3619,AN4407,AN6569,AN6682,AN7753,AN9399
FALSE	FALSE	FALSE	TRUE	GO:0043392	negative regulation of DNA binding	0.02428	9	3	0.67	0.333	1.615	AN3450,AN4407,AN7296
FALSE	FALSE	FALSE	TRUE	GO:0000727	double-strand break repair via break-induced replication	0.02428	9	3	0.67	0.333	1.615	AN2491,AN5901,AN7994
FALSE	FALSE	FALSE	TRUE	GO:1902440	protein localization to mitotic spindle pole body	0.02428	9	3	0.67	0.333	1.615	AN11032,AN1560,AN4085
FALSE	FALSE	FALSE	TRUE	GO:0002181	cytoplasmic translation	0.02529	238	12	17.64	0.05	1.597	AN0167,AN0191,AN0278,AN1166,AN2992,AN3172,AN4015,AN5996,AN6283,AN6568,AN8712,AN9465
FALSE	FALSE	FALSE	TRUE	GO:2001251	negative regulation of chromosome organization	0.0294	44	10	3.26	0.227	1.532	AN10489,AN2491,AN3946,AN4493,AN5495,AN5815,AN7296,AN7753,AN7994,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0000731	DNA synthesis involved in DNA repair	0.02953	15	6	1.11	0.4	1.53	AN0304,AN10755,AN3909,AN6682,AN7325,AN7439
FALSE	FALSE	FALSE	TRUE	GO:0055082	cellular chemical homeostasis	0.02964	117	12	8.67	0.103	1.528	AN10367,AN1797,AN1876,AN2867,AN3624,AN4014,AN4932,AN5008,AN5786,AN6045,AN7641,AN7993
FALSE	FALSE	FALSE	TRUE	GO:0006555	methionine metabolic process	0.02965	25	5	1.85	0.2	1.528	AN1222,AN1263,AN1446,AN5820,AN5883
FALSE	FALSE	FALSE	TRUE	GO:1900247	regulation of cytoplasmic translational elongation	0.02971	9	3	0.67	0.333	1.527	AN0191,AN4015,AN6283
FALSE	FALSE	FALSE	TRUE	GO:0046503	glycerolipid catabolic process	0.02973	13	3	0.96	0.231	1.527	AN2481,AN5919,AN7180
FALSE	FALSE	FALSE	TRUE	GO:0006348	chromatin silencing at telomere	0.03193	43	8	3.19	0.186	1.496	AN2285,AN4493,AN4891,AN7723,AN7753,AN7994,AN8796,AN9399
FALSE	FALSE	FALSE	TRUE	GO:0006486	protein glycosylation	0.03246	55	9	4.08	0.164	1.489	AN10367,AN1683,AN2752,AN4727,AN5105,AN5586,AN5902,AN8848,AN8878
FALSE	FALSE	FALSE	TRUE	GO:0034501	protein localization to kinetochore	0.03275	17	4	1.26	0.235	1.485	AN2054,AN3946,AN5815,AN7296
FALSE	FALSE	FALSE	TRUE	GO:0030150	protein import into mitochondrial matrix	0.03275	17	4	1.26	0.235	1.485	AN0349,AN4633,AN5693,AN6510
FALSE	FALSE	FALSE	TRUE	GO:1901701	cellular response to oxygen-containing compound	0.03275	97	10	7.19	0.103	1.485	AN0687,AN11015,AN1797,AN1929,AN3581,AN4163,AN6045,AN6231,AN7632,AN8782
FALSE	FALSE	FALSE	TRUE	GO:0006446	regulation of translational initiation	0.03275	16	4	1.19	0.25	1.485	AN0167,AN1521,AN4015,AN4163
FALSE	FALSE	FALSE	TRUE	GO:0046777	protein autophosphorylation	0.03281	10	3	0.74	0.3	1.484	AN0235,AN4163,AN8216
FALSE	FALSE	FALSE	TRUE	GO:0042797	tRNA transcription by RNA polymerase III	0.03281	10	3	0.74	0.3	1.484	AN0192,AN0752,AN2415
FALSE	FALSE	FALSE	TRUE	GO:0009092	homoserine metabolic process	0.03281	10	3	0.74	0.3	1.484	AN1446,AN3598,AN5820
FALSE	FALSE	FALSE	TRUE	GO:0046185	aldehyde catabolic process	0.03281	10	3	0.74	0.3	1.484	AN11015,AN7632,AN8782
FALSE	FALSE	FALSE	TRUE	GO:0006364	rRNA processing	0.0347	133	25	9.86	0.188	1.46	AN0189,AN0305,AN0327,AN10943,AN11145,AN1228,AN1345,AN1367,AN1434,AN1949,AN1964,AN2437,AN3172,AN3455,AN3823,AN4226,AN4594,AN5785,AN6082,AN6171,AN6202,AN6556,AN6632,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	GO:0006270	DNA replication initiation	0.04204	40	10	2.96	0.25	1.376	AN0872,AN10755,AN10855,AN2491,AN3450,AN4493,AN4571,AN7439,AN7723,AN7994
FALSE	FALSE	FALSE	TRUE	GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	0.04269	11	3	0.82	0.273	1.37	AN2491,AN7723,AN7994
FALSE	FALSE	FALSE	TRUE	GO:0006221	pyrimidine nucleotide biosynthetic process	0.04269	11	3	0.82	0.273	1.37	AN0490,AN4258,AN8216
FALSE	FALSE	FALSE	TRUE	GO:0016239	positive regulation of macroautophagy	0.04269	11	3	0.82	0.273	1.37	AN4014,AN4493,AN7695
FALSE	FALSE	FALSE	TRUE	GO:0045910	negative regulation of DNA recombination	0.04269	11	3	0.82	0.273	1.37	AN4407,AN4493,AN7753
FALSE	FALSE	FALSE	TRUE	GO:0006407	rRNA export from nucleus	0.04269	11	3	0.82	0.273	1.37	AN3172,AN4087,AN6632
FALSE	FALSE	FALSE	TRUE	GO:0000278	mitotic cell cycle	0.04361	264	54	19.56	0.205	1.36	AN0166,AN0290,AN0814,AN0872,AN10635,AN10755,AN11032,AN11721,AN1182,AN1207,AN1223,AN1237,AN1545,AN1560,AN2484,AN2491,AN2764,AN3111,AN3363,AN3450,AN3451,AN3619,AN3622,AN3946,AN4085,AN4163,AN4407,AN4453,AN4493,AN4555,AN4571,AN4632,AN4961,AN4996,AN5494,AN5495,AN5778,AN5815,AN5820,AN5899,AN6044,AN6147,AN6364,AN6590,AN7296,AN7325,AN7439,AN7499,AN8236,AN8783,AN8844,AN8862,AN9435,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	0.04529	92	12	6.82	0.13	1.344	AN0305,AN0910,AN10064,AN1166,AN1797,AN4014,AN4202,AN4469,AN4905,AN5778,AN7695,AN9398
FALSE	FALSE	FALSE	TRUE	GO:0000280	nuclear division	0.04542	164	30	12.15	0.183	1.343	AN0166,AN0814,AN11032,AN1182,AN1223,AN1237,AN1545,AN1560,AN1797,AN3111,AN3363,AN3451,AN3619,AN3846,AN3946,AN4085,AN4407,AN4493,AN4571,AN4632,AN4940,AN4996,AN5494,AN5495,AN5815,AN5899,AN6364,AN7296,AN7499,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0007031	peroxisome organization	0.04654	33	10	2.45	0.303	1.332	AN0257,AN1511,AN2279,AN2281,AN4492,AN5113,AN5692,AN6225,AN7285,AN8862
FALSE	FALSE	FALSE	TRUE	GO:0071248	cellular response to metal ion	0.04709	35	5	2.59	0.143	1.327	AN0893,AN10788,AN4905,AN5726,AN6045
FALSE	FALSE	FALSE	TRUE	GO:0006406	mRNA export from nucleus	0.04711	24	4	1.78	0.167	1.327	AN10526,AN4053,AN4978,AN9398
FALSE	FALSE	FALSE	TRUE	GO:0042219	cellular modified amino acid catabolic process	0.04712	11	3	0.82	0.273	1.327	AN1263,AN5658,AN5919
FALSE	FALSE	FALSE	TRUE	GO:0042454	ribonucleoside catabolic process	0.04718	5	2	0.37	0.4	1.326	AN11146,AN1263
FALSE	FALSE	FALSE	TRUE	GO:0110029	negative regulation of meiosis I	0.04718	5	2	0.37	0.4	1.326	AN4407,AN4493
FALSE	FALSE	FALSE	TRUE	GO:0030026	cellular manganese ion homeostasis	0.04718	5	2	0.37	0.4	1.326	AN10367,AN1876
FALSE	FALSE	FALSE	TRUE	GO:0051455	attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation	0.04718	5	2	0.37	0.4	1.326	AN1560,AN7296
FALSE	FALSE	FALSE	TRUE	GO:0001731	formation of translation preinitiation complex	0.04718	5	2	0.37	0.4	1.326	AN2992,AN8712
FALSE	FALSE	FALSE	TRUE	GO:0051194	positive regulation of cofactor metabolic process	0.04718	5	2	0.37	0.4	1.326	AN7820,AN8770
FALSE	FALSE	FALSE	TRUE	GO:0008655	pyrimidine-containing compound salvage	0.04718	5	2	0.37	0.4	1.326	AN10105,AN11146
FALSE	FALSE	FALSE	TRUE	GO:0030836	positive regulation of actin filament depolymerization	0.04718	5	2	0.37	0.4	1.326	AN0290,AN0999
FALSE	FALSE	FALSE	TRUE	GO:0050667	homocysteine metabolic process	0.04718	5	2	0.37	0.4	1.326	AN1446,AN5820
FALSE	FALSE	FALSE	TRUE	GO:0000266	mitochondrial fission	0.04718	5	2	0.37	0.4	1.326	AN4492,AN6225
FALSE	FALSE	FALSE	TRUE	GO:0010958	regulation of amino acid import across plasma membrane	0.04718	5	2	0.37	0.4	1.326	AN11188,AN6590
FALSE	FALSE	FALSE	TRUE	GO:0051230	spindle disassembly	0.04718	5	2	0.37	0.4	1.326	AN1182,AN3363
FALSE	FALSE	FALSE	TRUE	GO:0018410	C-terminal protein amino acid modification	0.04718	5	2	0.37	0.4	1.326	AN11004,AN6162
FALSE	FALSE	FALSE	TRUE	GO:0051097	negative regulation of helicase activity	0.04718	5	2	0.37	0.4	1.326	AN2491,AN7994
FALSE	FALSE	FALSE	TRUE	GO:0016572	histone phosphorylation	0.04718	5	2	0.37	0.4	1.326	AN3946,AN7296
FALSE	FALSE	FALSE	TRUE	GO:0051016	barbed-end actin filament capping	0.04718	5	2	0.37	0.4	1.326	AN0290,AN2484
FALSE	FALSE	FALSE	TRUE	GO:0051037	regulation of transcription involved in meiotic cell cycle	0.04718	5	2	0.37	0.4	1.326	AN2172,AN4493
FALSE	FALSE	FALSE	TRUE	GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint	0.04718	5	2	0.37	0.4	1.326	AN5495,AN5815
FALSE	FALSE	FALSE	TRUE	GO:0006658	phosphatidylserine metabolic process	0.04718	5	2	0.37	0.4	1.326	AN0910,AN5919
FALSE	FALSE	FALSE	TRUE	GO:1904064	positive regulation of cation transmembrane transport	0.04718	5	2	0.37	0.4	1.326	AN11188,AN6590
FALSE	FALSE	FALSE	TRUE	GO:1900151	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.04718	5	2	0.37	0.4	1.326	AN1521,AN6632
FALSE	FALSE	FALSE	TRUE	GO:0071451	cellular response to superoxide	0.04718	5	2	0.37	0.4	1.326	AN3581,AN6045
FALSE	FALSE	FALSE	TRUE	GO:0010821	regulation of mitochondrion organization	0.04718	5	2	0.37	0.4	1.326	AN0910,AN8257
FALSE	FALSE	FALSE	TRUE	GO:0006409	tRNA export from nucleus	0.04718	5	2	0.37	0.4	1.326	AN3012,AN3455
FALSE	FALSE	FALSE	TRUE	GO:1905634	regulation of protein localization to chromatin	0.04718	5	2	0.37	0.4	1.326	AN7296,AN7499
FALSE	FALSE	FALSE	TRUE	GO:0015766	disaccharide transport	0.04718	5	2	0.37	0.4	1.326	AN2814,AN5917
FALSE	FALSE	FALSE	TRUE	GO:0019543	propionate catabolic process	0.04718	5	2	0.37	0.4	1.326	AN1619,AN8755
FALSE	FALSE	FALSE	TRUE	GO:0006400	tRNA modification	0.0472	55	8	4.08	0.145	1.326	AN0191,AN0818,AN10832,AN12121,AN2451,AN4093,AN6569,AN9406
FALSE	FALSE	FALSE	TRUE	GO:0051094	positive regulation of developmental process	0.04721	49	5	3.63	0.102	1.326	AN0910,AN1545,AN4163,AN4719,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH	0.04734	25	5	1.85	0.2	1.325	AN0910,AN10064,AN1797,AN2278,AN5105
FALSE	FALSE	FALSE	TRUE	GO:0043486	histone exchange	0.04744	19	4	1.41	0.211	1.324	AN0327,AN2285,AN4891,AN7440
FALSE	FALSE	FALSE	TRUE	GO:0036244	cellular response to neutral pH	0.04744	19	4	1.41	0.211	1.324	AN0910,AN10064,AN1797,AN2278
FALSE	FALSE	TRUE	FALSE	GO:0006465	signal peptide processing	0.00021	5	2	0.02	0.4	3.678	AN11133,AN9460
FALSE	FALSE	TRUE	FALSE	GO:0040009	regulation of growth rate	0.01423	39	2	0.18	0.051	1.847	AN0559,AN2306
FALSE	FALSE	TRUE	FALSE	GO:0043419	urea catabolic process	0.02317	5	1	0.02	0.2	1.635	AN10079
FALSE	FALSE	TRUE	FALSE	GO:1902405	mitotic actomyosin contractile ring localization	0.02317	5	1	0.02	0.2	1.635	AN9463
FALSE	FALSE	TRUE	FALSE	GO:0070096	mitochondrial outer membrane translocase complex assembly	0.02317	5	1	0.02	0.2	1.635	AN0559
FALSE	FALSE	TRUE	FALSE	GO:0006562	proline catabolic process	0.02774	6	1	0.03	0.167	1.557	AN11221
FALSE	FALSE	TRUE	FALSE	GO:0071805	potassium ion transmembrane transport	0.02774	6	1	0.03	0.167	1.557	AN5636
FALSE	FALSE	TRUE	FALSE	GO:0072741	protein localization to cell division site	0.02774	6	1	0.03	0.167	1.557	AN9463
FALSE	FALSE	TRUE	FALSE	GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	0.02774	6	1	0.03	0.167	1.557	AN2306
FALSE	FALSE	TRUE	FALSE	GO:0051031	tRNA transport	0.03229	7	1	0.03	0.143	1.491	AN0559
FALSE	FALSE	TRUE	FALSE	GO:0030835	negative regulation of actin filament depolymerization	0.03229	7	1	0.03	0.143	1.491	AN9463
FALSE	FALSE	TRUE	FALSE	GO:0045039	protein import into mitochondrial inner membrane	0.03682	8	1	0.04	0.125	1.434	AN0429
FALSE	FALSE	TRUE	FALSE	GO:0031048	chromatin silencing by small RNA	0.03682	8	1	0.04	0.125	1.434	AN9120
FALSE	FALSE	TRUE	FALSE	GO:0045040	protein import into mitochondrial outer membrane	0.04133	9	1	0.04	0.111	1.384	AN0429
FALSE	FALSE	TRUE	FALSE	GO:0006537	glutamate biosynthetic process	0.04133	9	1	0.04	0.111	1.384	AN11221
FALSE	FALSE	TRUE	FALSE	GO:0051017	actin filament bundle assembly	0.04582	10	1	0.05	0.1	1.339	AN9463
FALSE	FALSE	TRUE	FALSE	GO:0072697	protein localization to cell cortex	0.04582	10	1	0.05	0.1	1.339	AN9463
FALSE	FALSE	TRUE	TRUE	GO:0000398	mRNA splicing, via spliceosome	0.008	45	3	0.41	0.067	2.097	AN10280,AN10557,AN10719
FALSE	FALSE	TRUE	TRUE	GO:1900781	fumiquinazoline C biosynthetic process	0.0092	16	2	0.15	0.125	2.036	AN3204,AN8199
FALSE	FALSE	TRUE	TRUE	GO:0006099	tricarboxylic acid cycle	0.0156	21	2	0.19	0.095	1.807	AN3466,AN7000
FALSE	FALSE	TRUE	TRUE	GO:0006506	GPI anchor biosynthetic process	0.0202	24	2	0.22	0.083	1.695	AN0636,AN5011
FALSE	FALSE	TRUE	TRUE	GO:0006355	regulation of transcription, DNA-templated	0.0256	687	10	6.3	0.015	1.592	AN0885,AN10280,AN3050,AN3280,AN5052,AN6747,AN7072,AN7346,AN8345,AN8506
FALSE	FALSE	TRUE	TRUE	GO:0071826	ribonucleoprotein complex subunit organization	0.0272	77	2	0.71	0.026	1.565	AN10557,AN8491
FALSE	FALSE	TRUE	TRUE	GO:0042318	penicillin biosynthetic process	0.0288	29	2	0.27	0.069	1.541	AN2621,AN2622
FALSE	FALSE	TRUE	TRUE	GO:0031110	regulation of microtubule polymerization or depolymerization	0.045	5	1	0.05	0.2	1.347	AN11344
FALSE	FALSE	TRUE	TRUE	GO:1902405	mitotic actomyosin contractile ring localization	0.045	5	1	0.05	0.2	1.347	AN4963
FALSE	FALSE	TRUE	TRUE	GO:0008655	pyrimidine-containing compound salvage	0.045	5	1	0.05	0.2	1.347	AN8869
FALSE	FALSE	TRUE	TRUE	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	0.045	5	1	0.05	0.2	1.347	AN4068
FALSE	FALSE	TRUE	TRUE	GO:0006362	transcription elongation from RNA polymerase I promoter	0.045	5	1	0.05	0.2	1.347	AN10280
FALSE	FALSE	TRUE	TRUE	GO:0071577	zinc ion transmembrane transport	0.045	5	1	0.05	0.2	1.347	AN1833
FALSE	FALSE	TRUE	TRUE	GO:1902626	assembly of large subunit precursor of preribosome	0.045	5	1	0.05	0.2	1.347	AN8491
FALSE	FALSE	TRUE	TRUE	GO:0008298	intracellular mRNA localization	0.045	5	1	0.05	0.2	1.347	AN10280
FALSE	FALSE	TRUE	TRUE	GO:0018195	peptidyl-arginine modification	0.045	5	1	0.05	0.2	1.347	AN3096
FALSE	TRUE	FALSE	FALSE	GO:0051260	protein homooligomerization	0.004	5	2	0.1	0.4	2.398	AN2520,AN8874
FALSE	TRUE	FALSE	FALSE	GO:0051055	negative regulation of lipid biosynthetic process	0.006	6	2	0.12	0.333	2.222	AN10701,AN4997
FALSE	TRUE	FALSE	FALSE	GO:0071071	regulation of phospholipid biosynthetic process	0.0082	7	2	0.14	0.286	2.086	AN10701,AN4997
FALSE	TRUE	FALSE	FALSE	GO:0071619	phosphorylation of RNA polymerase II C-terminal domain serine 2 residues	0.0108	8	2	0.16	0.25	1.967	AN6312,AN8865
FALSE	TRUE	FALSE	FALSE	GO:0000001	mitochondrion inheritance	0.017	10	2	0.21	0.2	1.77	AN0821,AN8874
FALSE	TRUE	FALSE	FALSE	GO:0097305	response to alcohol	0.0204	48	4	0.99	0.083	1.69	AN10251,AN10266,AN2530,AN8273
