cluster	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
Cluster_4	GO:0000909	sporocarp development involved in sexual reproduction	0.01254	110	8	1.89	0.073	1.902	AN0098,AN1536,AN1848,AN2290,AN2505,AN4935,AN5457,AN5836
Cluster_4	GO:0000768	syncytium formation by plasma membrane fusion	0.01307	29	3	0.5	0.103	1.884	AN1848,AN5457,AN8831
Cluster_4	GO:0045881	positive regulation of sporulation resulting in formation of a cellular spore	0.01683	29	5	0.5	0.172	1.774	AN0807,AN1052,AN5836,AN5893,AN8945
Cluster_4	GO:0075306	regulation of conidium formation	0.01697	36	4	0.62	0.111	1.77	AN1052,AN2421,AN5836,AN5893
Cluster_4	GO:0060240	negative regulation of signal transduction involved in conjugation with cellular fusion	0.01706	4	2	0.07	0.5	1.768	AN4935,AN5893
Cluster_4	GO:0071108	protein K48-linked deubiquitination	0.01715	1	1	0.02	1	1.766	AN3587
Cluster_4	GO:0000080	mitotic G1 phase	0.01715	1	1	0.02	1	1.766	AN4991
Cluster_4	GO:1900408	negative regulation of cellular response to oxidative stress	0.01715	1	1	0.02	1	1.766	AN0273
Cluster_4	GO:0034477	U6 snRNA 3'-end processing	0.01715	1	1	0.02	1	1.766	AN1508
Cluster_4	GO:0000012	single strand break repair	0.01715	1	1	0.02	1	1.766	AN5751
Cluster_4	GO:0019427	acetyl-CoA biosynthetic process from acetate	0.01715	1	1	0.02	1	1.766	AN5626
Cluster_4	GO:0034412	ascospore wall beta-glucan biosynthetic process	0.01715	1	1	0.02	1	1.766	AN7657
Cluster_4	GO:0090352	regulation of nitrate assimilation	0.01715	1	1	0.02	1	1.766	AN8168
Cluster_4	GO:1905287	positive regulation of G2/M transition of mitotic cell cycle involved in cellular response to nitrogen starvation	0.01715	1	1	0.02	1	1.766	AN7572
Cluster_4	GO:0071398	cellular response to fatty acid	0.01715	1	1	0.02	1	1.766	AN1037
Cluster_4	GO:0071361	cellular response to ethanol	0.01715	1	1	0.02	1	1.766	AN9340
Cluster_4	GO:0042308	negative regulation of protein import into nucleus	0.01715	1	1	0.02	1	1.766	AN4935
Cluster_4	GO:0045848	positive regulation of nitrogen utilization	0.01715	1	1	0.02	1	1.766	AN2944
Cluster_4	GO:0009750	response to fructose	0.01715	1	1	0.02	1	1.766	AN6195
Cluster_4	GO:1905342	positive regulation of protein localization to kinetochore	0.01715	1	1	0.02	1	1.766	AN6508
Cluster_4	GO:0072489	methylammonium transmembrane transport	0.01715	1	1	0.02	1	1.766	AN7463
Cluster_4	GO:0045574	sterigmatocystin catabolic process	0.01715	1	1	0.02	1	1.766	AN5893
Cluster_4	GO:0051725	protein de-ADP-ribosylation	0.01715	1	1	0.02	1	1.766	AN3153
Cluster_4	GO:1904765	positive regulation of transcription from RNA polymerase II promoter in response to maltose	0.01715	1	1	0.02	1	1.766	AN2911
Cluster_4	GO:1901714	positive regulation of urea catabolic process	0.01715	1	1	0.02	1	1.766	AN2944
Cluster_4	GO:1901717	positive regulation of gamma-aminobutyric acid catabolic process	0.01715	1	1	0.02	1	1.766	AN2944
Cluster_4	GO:0098504	DNA 3' dephosphorylation involved in DNA repair	0.01715	1	1	0.02	1	1.766	AN5751
Cluster_4	GO:0052067	negative regulation by symbiont of entry into host cell via phagocytosis	0.01715	1	1	0.02	1	1.766	AN0807
Cluster_4	GO:1903452	positive regulation of G1 to G0 transition	0.01715	1	1	0.02	1	1.766	AN7572
Cluster_4	GO:0002092	positive regulation of receptor internalization	0.01715	1	1	0.02	1	1.766	AN0056
Cluster_4	GO:2000397	positive regulation of ubiquitin-dependent endocytosis	0.01715	1	1	0.02	1	1.766	AN1089
Cluster_4	GO:0052036	negative regulation by symbiont of host inflammatory response	0.01715	1	1	0.02	1	1.766	AN5003
Cluster_4	GO:0001081	nitrogen catabolite repression of transcription from RNA polymerase II promoter	0.01715	1	1	0.02	1	1.766	AN8168
Cluster_4	GO:0070873	regulation of glycogen metabolic process	0.01724	12	2	0.21	0.167	1.763	AN2421,AN8667
Cluster_4	GO:0006338	chromatin remodeling	0.01938	60	4	1.03	0.067	1.713	AN0098,AN2911,AN6195,AN8667
Cluster_4	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.02015	13	2	0.22	0.154	1.696	AN1096,AN4984
Cluster_4	GO:0006470	protein dephosphorylation	0.02173	35	3	0.6	0.086	1.663	AN0129,AN3793,AN4544
Cluster_4	GO:0045013	carbon catabolite repression of transcription	0.03368	14	3	0.24	0.214	1.473	AN3587,AN6195,AN7468
Cluster_4	GO:0070086	ubiquitin-dependent endocytosis	0.03383	3	2	0.05	0.667	1.471	AN0056,AN1089
Cluster_4	GO:0042594	response to starvation	0.03394	155	4	2.66	0.026	1.469	AN1414,AN3642,AN7468,AN7572
Cluster_4	GO:0035871	protein K11-linked deubiquitination	0.03401	2	1	0.03	0.5	1.468	AN3587
Cluster_4	GO:0018343	protein farnesylation	0.03401	2	1	0.03	0.5	1.468	AN2002
Cluster_4	GO:0061414	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	0.03401	2	1	0.03	0.5	1.468	AN7468
Cluster_4	GO:0061415	negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	0.03401	2	1	0.03	0.5	1.468	AN7468
Cluster_4	GO:0061417	negative regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.03401	2	1	0.03	0.5	1.468	AN2911
Cluster_4	GO:0035948	positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter	0.03401	2	1	0.03	0.5	1.468	AN7468
Cluster_4	GO:0019563	glycerol catabolic process	0.03401	2	1	0.03	0.5	1.468	AN0034
Cluster_4	GO:0071491	cellular response to red light	0.03401	2	1	0.03	0.5	1.468	AN1052
Cluster_4	GO:0016577	histone demethylation	0.03401	2	1	0.03	0.5	1.468	AN1060
Cluster_4	GO:0071497	cellular response to freezing	0.03401	2	1	0.03	0.5	1.468	AN9340
Cluster_4	GO:0010846	activation of reciprocal meiotic recombination	0.03401	2	1	0.03	0.5	1.468	AN2911
Cluster_4	GO:0071465	cellular response to desiccation	0.03401	2	1	0.03	0.5	1.468	AN9340
Cluster_4	GO:0046177	D-gluconate catabolic process	0.03401	2	1	0.03	0.5	1.468	AN3641
Cluster_4	GO:0010995	free ubiquitin chain depolymerization	0.03401	2	1	0.03	0.5	1.468	AN3587
Cluster_4	GO:0061688	glycolytic process via Entner-Doudoroff Pathway	0.03401	2	1	0.03	0.5	1.468	AN3641
Cluster_4	GO:0015793	glycerol transport	0.03401	2	1	0.03	0.5	1.468	AN9168
Cluster_4	GO:0051039	positive regulation of transcription involved in meiotic cell cycle	0.03401	2	1	0.03	0.5	1.468	AN7572
Cluster_4	GO:0001080	nitrogen catabolite activation of transcription from RNA polymerase II promoter	0.03401	2	1	0.03	0.5	1.468	AN2944
Cluster_4	GO:0070791	cleistothecium development	0.03708	28	3	0.48	0.107	1.431	AN1848,AN2505,AN5457
Cluster_4	GO:1903475	mitotic actomyosin contractile ring assembly	0.04132	19	2	0.33	0.105	1.384	AN0135,AN8831
Cluster_4	GO:0006355	regulation of transcription, DNA-templated	0.04358	687	28	11.78	0.041	1.361	AN0098,AN0585,AN1060,AN1217,AN1414,AN1536,AN1848,AN2001,AN2290,AN2421,AN2911,AN2944,AN3075,AN3587,AN4034,AN4324,AN4741,AN4900,AN4935,AN5775,AN5836,AN5893,AN6195,AN7468,AN7545,AN7572,AN8168,AN8667
Cluster_4	GO:0042147	retrograde transport, endosome to Golgi	0.0454	20	2	0.34	0.1	1.343	AN1297,AN3642
Cluster_4	GO:0006071	glycerol metabolic process	0.04917	23	3	0.39	0.13	1.308	AN0034,AN1396,AN5589
Cluster_5	GO:0120009	intermembrane lipid transfer	0.012	1	1	0.01	1	1.921	AN3147
Cluster_5	GO:0046836	glycolipid transport	0.012	1	1	0.01	1	1.921	AN3147
Cluster_5	GO:0033619	membrane protein proteolysis	0.012	1	1	0.01	1	1.921	AN5588
Cluster_5	GO:0015723	bilirubin transport	0.012	1	1	0.01	1	1.921	AN7729
Cluster_5	GO:0001195	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter	0.012	1	1	0.01	1	1.921	AN2885
Cluster_5	GO:0010230	alternative respiration	0.012	1	1	0.01	1	1.921	AN2099
Cluster_5	GO:1903574	negative regulation of cellular response to amino acid starvation	0.012	1	1	0.01	1	1.921	AN0978
Cluster_5	GO:0010961	cellular magnesium ion homeostasis	0.012	1	1	0.01	1	1.921	AN5856
Cluster_5	GO:0003333	amino acid transmembrane transport	0.015	36	3	0.42	0.083	1.824	AN1659,AN4478,AN8279
Cluster_5	GO:0070301	cellular response to hydrogen peroxide	0.019	18	2	0.21	0.111	1.721	AN0609,AN3688
Cluster_5	GO:1900177	regulation of aflatoxin biosynthetic process	0.023	2	1	0.02	0.5	1.638	AN7819
Cluster_5	GO:0044208	'de novo' AMP biosynthetic process	0.023	2	1	0.02	0.5	1.638	AN6209
Cluster_5	GO:0006853	carnitine shuttle	0.023	2	1	0.02	0.5	1.638	AN1059
Cluster_5	GO:0071996	glutathione transmembrane import into vacuole	0.023	2	1	0.02	0.5	1.638	AN7729
Cluster_5	GO:1903830	magnesium ion transmembrane transport	0.023	2	1	0.02	0.5	1.638	AN5856
Cluster_5	GO:0036246	phytochelatin 2 import into vacuole	0.023	2	1	0.02	0.5	1.638	AN7729
Cluster_5	GO:0007618	mating	0.023	2	1	0.02	0.5	1.638	AN3152
Cluster_5	GO:0070898	RNA polymerase III transcriptional preinitiation complex assembly	0.023	2	1	0.02	0.5	1.638	AN2885
Cluster_5	GO:0070899	mitochondrial tRNA wobble uridine modification	0.023	2	1	0.02	0.5	1.638	AN6577
Cluster_5	GO:0015809	arginine transport	0.035	11	2	0.13	0.182	1.456	AN4478,AN8279
Cluster_5	GO:0006642	triglyceride mobilization	0.035	3	1	0.04	0.333	1.456	AN1713
Cluster_5	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.035	3	1	0.04	0.333	1.456	AN3688
Cluster_5	GO:0000304	response to singlet oxygen	0.035	3	1	0.04	0.333	1.456	AN3688
Cluster_5	GO:0006629	lipid metabolic process	0.04	407	5	4.78	0.012	1.398	AN0609,AN0963,AN10747,AN1713,AN1798
Cluster_5	GO:0070791	cleistothecium development	0.042	28	2	0.33	0.071	1.377	AN0279,AN4783
Cluster_5	GO:0045122	aflatoxin biosynthetic process	0.046	6	2	0.07	0.333	1.337	AN0148,AN7819
Cluster_5	GO:0031591	wybutosine biosynthetic process	0.046	4	1	0.05	0.25	1.337	AN0128
Cluster_5	GO:0006106	fumarate metabolic process	0.046	4	1	0.05	0.25	1.337	AN6209
Cluster_5	GO:1904788	positive regulation of induction of conjugation with cellular fusion by regulation of transcription from RNA polymerase II promoter	0.046	4	1	0.05	0.25	1.337	AN3688
Cluster_5	GO:0031171	ferricrocin biosynthetic process	0.046	4	1	0.05	0.25	1.337	AN0609
Cluster_5	GO:0090052	regulation of chromatin silencing at centromere	0.046	4	1	0.05	0.25	1.337	AN4783
Cluster_5	GO:0071260	cellular response to mechanical stimulus	0.046	4	1	0.05	0.25	1.337	AN1555
Cluster_5	GO:0007049	cell cycle	0.047	467	4	5.48	0.009	1.328	AN10595,AN1555,AN3152,AN8187
Cluster_6	GO:0030448	hyphal growth	6.8e-08	188	46	20.34	0.245	7.167	AN0163,AN0182,AN0410,AN0651,AN0863,AN1025,AN10515,AN10709,AN1171,AN1324,AN1539,AN1628,AN2009,AN2067,AN3113,AN3416,AN3683,AN3719,AN3730,AN3735,AN3787,AN4189,AN4238,AN4566,AN4667,AN4685,AN4716,AN4743,AN4987,AN5296,AN5660,AN5740,AN5802,AN5832,AN6243,AN6330,AN6685,AN6688,AN6697,AN6920,AN7030,AN7032,AN7104,AN7576,AN7698,AN8009
Cluster_6	GO:0009405	pathogenesis	6.8e-06	143	34	15.48	0.238	5.167	AN0121,AN0182,AN1016,AN1017,AN1069,AN1242,AN1502,AN2067,AN2996,AN3583,AN3719,AN3729,AN3730,AN3735,AN3765,AN4238,AN4361,AN4390,AN4479,AN4501,AN4515,AN4685,AN4915,AN4987,AN5218,AN5296,AN5634,AN5823,AN5832,AN6892,AN7032,AN7250,AN8251,AN8269
Cluster_6	GO:0007124	pseudohyphal growth	5.9e-05	23	9	2.49	0.391	4.229	AN0182,AN1016,AN10171,AN1025,AN10516,AN1324,AN4439,AN4501,AN4896
Cluster_6	GO:0070787	conidiophore development	6.2e-05	83	24	8.98	0.289	4.208	AN0363,AN0689,AN0863,AN0928,AN0988,AN10515,AN1171,AN1189,AN1539,AN2009,AN3113,AN3719,AN4238,AN4479,AN4563,AN4667,AN4716,AN4878,AN5660,AN6243,AN6688,AN7030,AN7104,AN7698
Cluster_6	GO:0097308	cellular response to farnesol	0.00024	46	14	4.98	0.304	3.62	AN0182,AN10518,AN2435,AN4159,AN4376,AN4479,AN4667,AN4695,AN5129,AN5564,AN5746,AN5999,AN7590,AN7594
Cluster_6	GO:0048315	conidium formation	0.00046	132	29	14.28	0.22	3.337	AN0182,AN0363,AN0410,AN0651,AN0863,AN0931,AN1016,AN1017,AN10515,AN1171,AN1189,AN1324,AN1539,AN2009,AN3416,AN3719,AN4189,AN4563,AN4566,AN4695,AN4716,AN4987,AN5296,AN5757,AN6243,AN7030,AN7032,AN7104,AN7757
Cluster_6	GO:0034221	fungal-type cell wall chitin biosynthetic process	0.00062	6	5	0.65	0.833	3.208	AN1069,AN10709,AN1554,AN4501,AN4566
Cluster_6	GO:0031505	fungal-type cell wall organization	0.00112	108	27	11.69	0.25	2.951	AN0106,AN0472,AN0931,AN1017,AN11152,AN1189,AN1242,AN1573,AN2067,AN3113,AN3148,AN3583,AN3719,AN3729,AN3730,AN3914,AN4189,AN4390,AN4515,AN4566,AN5740,AN6733,AN7032,AN7511,AN7533,AN7698,AN9380
Cluster_6	GO:0019676	ammonia assimilation cycle	0.00126	3	3	0.32	1	2.9	AN4159,AN4376,AN5134
Cluster_6	GO:0006973	intracellular accumulation of glycerol	0.00126	3	3	0.32	1	2.9	AN0351,AN1017,AN5563
Cluster_6	GO:0097271	protein localization to bud neck	0.00126	3	3	0.32	1	2.9	AN0182,AN4667,AN4987
Cluster_6	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.00132	73	19	7.9	0.26	2.879	AN0082,AN0182,AN10030,AN1017,AN1632,AN2067,AN2936,AN3113,AN3470,AN4238,AN4501,AN4987,AN5131,AN5635,AN5660,AN5740,AN6578,AN6920,AN7032
Cluster_6	GO:0032005	signal transduction involved in positive regulation of conjugation with cellular fusion	0.00169	24	9	2.6	0.375	2.772	AN0182,AN0651,AN10227,AN1025,AN3719,AN4998,AN6892,AN7030,AN7252
Cluster_6	GO:0034605	cellular response to heat	0.00185	57	18	6.17	0.316	2.733	AN0182,AN0931,AN1017,AN2731,AN3583,AN4189,AN4310,AN4501,AN4716,AN4987,AN5129,AN5523,AN5635,AN6892,AN7104,AN7698,AN8269,AN8643
Cluster_6	GO:0007015	actin filament organization	0.00219	48	12	5.19	0.25	2.66	AN0163,AN0931,AN1025,AN10515,AN1324,AN2995,AN3735,AN4218,AN4743,AN4998,AN5981,AN6685
Cluster_6	GO:0035690	cellular response to drug	0.00277	204	37	22.08	0.181	2.558	AN0363,AN0595,AN0651,AN0927,AN1017,AN10351,AN10709,AN10949,AN1189,AN1242,AN1518,AN2300,AN2997,AN3113,AN3368,AN3506,AN3719,AN3729,AN4189,AN4390,AN4758,AN4770,AN4923,AN5296,AN5493,AN5523,AN5632,AN5660,AN5740,AN5908,AN6207,AN6330,AN7513,AN8269,AN8414,AN8489,AN8643
Cluster_6	GO:0071852	fungal-type cell wall organization or biogenesis	0.00344	145	37	15.69	0.255	2.463	AN0106,AN0472,AN0931,AN1017,AN1069,AN10709,AN11152,AN1189,AN1242,AN1554,AN1573,AN1950,AN2067,AN3113,AN3148,AN3583,AN3719,AN3729,AN3730,AN3914,AN4169,AN4189,AN4390,AN4501,AN4515,AN4566,AN5660,AN5740,AN5746,AN6733,AN7032,AN7511,AN7533,AN7576,AN7698,AN8117,AN9380
Cluster_6	GO:2000769	regulation of establishment or maintenance of cell polarity regulating cell shape	0.00364	15	6	1.62	0.4	2.439	AN0106,AN0182,AN2067,AN5740,AN6685,AN7030
