GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
GO:0009405	pathogenesis	0.00024	142	64	43.82	0.451	3.62	AN0121,AN0182,AN0253,AN0609,AN0807,AN10057,AN1016,AN1017,AN1069,AN10763,AN1085,AN1131,AN1242,AN1358,AN1418,AN1428,AN1502,AN1555,AN1844,AN2067,AN2516,AN2996,AN3147,AN3387,AN3583,AN3719,AN3729,AN3730,AN3735,AN3765,AN4238,AN4361,AN4390,AN4419,AN4479,AN4501,AN4515,AN4685,AN4915,AN4987,AN5218,AN5296,AN5634,AN5803,AN5823,AN5832,AN5918,AN6230,AN6293,AN6541,AN6566,AN6892,AN7032,AN7050,AN7111,AN7170,AN7250,AN7468,AN7487,AN7661,AN8251,AN8269,AN8741,AN9397
GO:0070787	conidiophore development	3e-04	83	45	25.61	0.542	3.523	AN0098,AN0363,AN0568,AN0689,AN0863,AN0928,AN0988,AN10192,AN10515,AN1052,AN1171,AN1189,AN1536,AN1539,AN1800,AN1848,AN2009,AN2269,AN2412,AN2489,AN2701,AN3113,AN3422,AN3719,AN4238,AN4479,AN4563,AN4667,AN4702,AN4716,AN4878,AN4935,AN5651,AN5660,AN5836,AN6150,AN6243,AN6688,AN7030,AN7104,AN7464,AN7572,AN7661,AN7698,AN8741
GO:0006083	acetate metabolic process	0.00035	16	12	4.94	0.75	3.456	AN0554,AN0689,AN1059,AN1547,AN1918,AN5356,AN5626,AN5634,AN5833,AN6279,AN6525,AN6653
GO:0000160	phosphorelay signal transduction system	0.00036	20	14	6.17	0.7	3.444	AN1800,AN2005,AN2581,AN3102,AN3214,AN3688,AN4113,AN4134,AN4479,AN4818,AN5296,AN6820,AN7572,AN9008
GO:0043650	dicarboxylic acid biosynthetic process	0.00036	18	13	5.55	0.722	3.444	AN0708,AN10991,AN1731,AN1733,AN2493,AN2998,AN2999,AN4376,AN4384,AN5134,AN6032,AN6048,AN8188
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.00036	18	13	5.55	0.722	3.444	AN0081,AN0182,AN0651,AN1025,AN2269,AN2430,AN3090,AN3422,AN3719,AN5893,AN6892,AN7487,AN7743
GO:0000909	sporocarp development involved in sexual reproduction	0.00048	110	53	33.94	0.482	3.319	AN0081,AN0082,AN0098,AN0279,AN0410,AN0641,AN0651,AN0931,AN0988,AN1016,AN1017,AN10306,AN10515,AN1171,AN1402,AN1536,AN1539,AN1848,AN2269,AN2290,AN2412,AN2489,AN2505,AN2701,AN2742,AN3036,AN3416,AN3422,AN3607,AN3719,AN4189,AN4483,AN4702,AN4783,AN4935,AN5156,AN5457,AN5614,AN5651,AN5759,AN5798,AN5836,AN6243,AN6866,AN7104,AN7252,AN7678,AN7743,AN8741,AN8751,AN9008,AN9408,AN9450
GO:0006796	phosphate-containing compound metabolic process	0.00067	569	223	175.59	0.392	3.174	AN0067,AN0106,AN0129,AN0182,AN0210,AN0252,AN0259,AN0270,AN0285,AN0351,AN0395,AN0410,AN0495,AN0565,AN0579,AN0593,AN0640,AN0651,AN0664,AN0688,AN0716,AN0802,AN0891,AN0913,AN0914,AN0918,AN0929,AN0931,AN0942,AN0988,AN10019,AN10131,AN10156,AN1016,AN1017,AN10515,AN10663,AN1068,AN10780,AN10819,AN10824,AN10844,AN10854,AN10864,AN10869,AN10937,AN1096,AN1097,AN11126,AN11252,AN1171,AN11859,AN11961,AN1202,AN12478,AN1339,AN1357,AN1358,AN1396,AN1485,AN1624,AN1632,AN1671,AN1675,AN1713,AN1745,AN1769,AN1800,AN1867,AN1918,AN2067,AN2240,AN2243,AN2265,AN2269,AN2303,AN2311,AN2315,AN2335,AN2373,AN2412,AN2489,AN2509,AN2581,AN2742,AN2875,AN2877,AN2902,AN2911,AN2927,AN2943,AN3001,AN3090,AN3102,AN3132,AN3169,AN3177,AN3181,AN3188,AN3214,AN3222,AN3223,AN3422,AN3431,AN3719,AN3755,AN3793,AN3869,AN3916,AN3941,AN4113,AN4189,AN4196,AN4238,AN4255,AN4278,AN4279,AN4295,AN4310,AN4322,AN4388,AN4389,AN4419,AN4439,AN4462,AN4479,AN4483,AN4500,AN4544,AN4563,AN4570,AN4667,AN4668,AN4691,AN4702,AN4743,AN4778,AN4818,AN4859,AN4896,AN4923,AN4935,AN4957,AN4984,AN4987,AN5057,AN5144,AN5156,AN5159,AN5200,AN5210,AN5217,AN5296,AN5492,AN5566,AN5589,AN5599,AN5604,AN5655,AN5660,AN5674,AN5676,AN5728,AN5740,AN5746,AN5751,AN5757,AN5759,AN5822,AN5888,AN5909,AN5939,AN5952,AN5973,AN6037,AN6192,AN6195,AN6207,AN6209,AN6243,AN6251,AN6347,AN6508,AN6534,AN6541,AN6610,AN6712,AN6768,AN6820,AN6824,AN6892,AN6982,AN6985,AN7028,AN7030,AN7104,AN7115,AN7469,AN7537,AN7563,AN7572,AN7588,AN7661,AN7666,AN7678,AN7711,AN7725,AN8118,AN8121,AN8190,AN8234,AN8288,AN8689,AN8751,AN8830,AN8837,AN9064,AN9083,AN9095,AN9116,AN9461,AN9500,AN9504
GO:0051592	response to calcium ion	0.00072	11	9	3.39	0.818	3.143	AN0703,AN1189,AN1652,AN4169,AN4614,AN5341,AN6249,AN6566,AN7464
GO:0043405	regulation of MAP kinase activity	0.00083	13	10	4.01	0.769	3.081	AN0931,AN1358,AN2269,AN3422,AN4189,AN4702,AN5660,AN5740,AN6892,AN6982
GO:0006879	cellular iron ion homeostasis	0.00118	26	16	8.02	0.615	2.928	AN0176,AN0607,AN2508,AN3681,AN4655,AN4990,AN5132,AN5378,AN5823,AN6293,AN7468,AN7567,AN7661,AN7666,AN8251,AN8791
GO:0031505	fungal-type cell wall organization	0.00149	109	48	33.64	0.44	2.827	AN0106,AN0472,AN0667,AN0931,AN1017,AN10311,AN10763,AN11152,AN1168,AN1189,AN1242,AN1358,AN1555,AN1573,AN1950,AN2067,AN2412,AN2516,AN3113,AN3148,AN3152,AN3422,AN3583,AN3719,AN3729,AN3730,AN3914,AN4189,AN4390,AN4419,AN4515,AN4566,AN4615,AN5740,AN6293,AN6317,AN6318,AN6487,AN6566,AN6733,AN7032,AN7464,AN7511,AN7533,AN7657,AN7698,AN8877,AN9380
GO:0015718	monocarboxylic acid transport	0.00152	22	14	6.79	0.636	2.818	AN0066,AN0225,AN10078,AN1014,AN1059,AN10905,AN2962,AN4287,AN4387,AN5226,AN6014,AN6279,AN6578,AN6703
GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.0016	145	70	44.75	0.483	2.796	AN0078,AN0098,AN0182,AN0363,AN0410,AN0420,AN0640,AN0651,AN0721,AN0733,AN0807,AN0931,AN0988,AN1016,AN1017,AN10306,AN10516,AN1052,AN10610,AN10902,AN1171,AN11891,AN1536,AN1555,AN1848,AN2059,AN2071,AN2269,AN2412,AN2426,AN2489,AN2505,AN2919,AN3090,AN3148,AN3152,AN3387,AN3422,AN3607,AN3719,AN4169,AN4390,AN4419,AN4501,AN4566,AN4570,AN4601,AN4615,AN4935,AN5028,AN5170,AN5523,AN5579,AN5635,AN5759,AN5803,AN5836,AN6243,AN6578,AN6749,AN7104,AN7169,AN7513,AN7657,AN7678,AN8262,AN8605,AN9121,AN9380,AN9504
GO:0070301	cellular response to hydrogen peroxide	0.00169	20	13	6.17	0.65	2.772	AN0363,AN0609,AN0757,AN1639,AN2846,AN3688,AN4758,AN5324,AN5523,AN5918,AN6849,AN8643,AN9339
GO:0017001	antibiotic catabolic process	0.00178	29	17	8.95	0.586	2.75	AN0170,AN0689,AN1059,AN10950,AN1226,AN2846,AN5226,AN5356,AN5626,AN5634,AN5918,AN6279,AN6525,AN6650,AN6653,AN8978,AN9339
GO:0043943	regulation of asexual sporulation resulting in formation of a cellular spore	0.00194	25	14	7.71	0.56	2.712	AN0082,AN0182,AN0186,AN0641,AN0721,AN1052,AN2059,AN2742,AN4987,AN5028,AN5836,AN6578,AN8741,AN8945
GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	0.00194	10	8	3.09	0.8	2.712	AN0655,AN0931,AN1017,AN2489,AN3941,AN4896,AN7572,AN9504
GO:0070793	regulation of conidiophore development	0.00194	10	8	3.09	0.8	2.712	AN0363,AN0988,AN1052,AN1800,AN4563,AN5836,AN7698,AN8741
GO:0019521	D-gluconate metabolic process	0.00201	16	11	4.94	0.688	2.697	AN0285,AN1414,AN2493,AN3641,AN4055,AN5918,AN7388,AN7890,AN8553,AN8977,AN9339
GO:0075306	regulation of conidium formation	0.00208	36	21	11.11	0.583	2.682	AN0081,AN0182,AN0279,AN0363,AN0651,AN0721,AN1016,AN1052,AN2421,AN2742,AN3607,AN3688,AN4563,AN5156,AN5296,AN5836,AN5893,AN6230,AN6243,AN8129,AN9121
GO:0071850	mitotic cell cycle arrest	0.0021	12	9	3.7	0.75	2.678	AN0182,AN0931,AN1017,AN2269,AN2911,AN2965,AN3090,AN3422,AN3719
GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.00268	73	39	22.53	0.534	2.572	AN0082,AN0182,AN0186,AN0641,AN0721,AN0787,AN10030,AN1017,AN1037,AN1052,AN1555,AN1632,AN2059,AN2067,AN2505,AN2742,AN2919,AN2936,AN3113,AN3470,AN4238,AN4501,AN4570,AN4897,AN4987,AN5028,AN5131,AN5635,AN5660,AN5740,AN5836,AN5893,AN6318,AN6578,AN6731,AN6920,AN7032,AN8741,AN8945
GO:0043605	cellular amide catabolic process	0.00364	19	12	5.86	0.632	2.439	AN0232,AN0660,AN0891,AN10950,AN1226,AN2248,AN2270,AN2944,AN4603,AN6653,AN8667,AN8777
GO:0006508	proteolysis	0.00436	266	82	82.08	0.308	2.361	AN0122,AN0127,AN0224,AN0226,AN0295,AN0369,AN0927,AN10030,AN10351,AN10513,AN10540,AN10673,AN10872,AN10900,AN10929,AN1097,AN11684,AN1339,AN1426,AN1539,AN1573,AN1638,AN1761,AN1780,AN1844,AN2062,AN2071,AN2072,AN2157,AN2194,AN2212,AN2237,AN2240,AN2302,AN2366,AN2572,AN2731,AN2761,AN2810,AN2903,AN2946,AN2965,AN3149,AN3393,AN3449,AN3470,AN3583,AN3587,AN3787,AN3918,AN3943,AN3959,AN4255,AN4286,AN4422,AN4439,AN4783,AN4925,AN5055,AN5129,AN5133,AN5199,AN5558,AN5588,AN5607,AN5675,AN5712,AN5747,AN6250,AN6359,AN6438,AN6487,AN6543,AN6741,AN6888,AN6920,AN7159,AN7962,AN8074,AN8102,AN8445,AN8681
GO:0006875	cellular metal ion homeostasis	0.00436	76	37	23.45	0.487	2.361	AN0176,AN0471,AN0607,AN1016,AN1168,AN1189,AN1265,AN1628,AN1950,AN2508,AN2919,AN2977,AN3681,AN3793,AN4655,AN4814,AN4920,AN4990,AN5132,AN5378,AN5583,AN5823,AN5856,AN6107,AN6293,AN6541,AN6566,AN7250,AN7464,AN7468,AN7567,AN7661,AN7666,AN8029,AN8251,AN8791,AN8830
GO:0019637	organophosphate metabolic process	0.00437	332	115	102.45	0.346	2.36	AN0067,AN0210,AN0252,AN0259,AN0270,AN0285,AN0351,AN0495,AN0565,AN0579,AN0593,AN0640,AN0651,AN0664,AN0688,AN0716,AN0802,AN0891,AN0913,AN0918,AN0929,AN0942,AN10131,AN10156,AN1016,AN10663,AN1068,AN10824,AN10844,AN11126,AN11252,AN11859,AN1202,AN12478,AN1357,AN1396,AN1624,AN1671,AN1675,AN1713,AN1745,AN1769,AN1918,AN2240,AN2243,AN2303,AN2311,AN2315,AN2335,AN2509,AN2742,AN2875,AN3132,AN3169,AN3177,AN3188,AN3222,AN3223,AN3431,AN3869,AN3916,AN4278,AN4295,AN4388,AN4389,AN4439,AN4462,AN4500,AN4691,AN4743,AN4778,AN4859,AN4923,AN4987,AN5144,AN5159,AN5200,AN5210,AN5492,AN5566,AN5589,AN5599,AN5604,AN5655,AN5746,AN5757,AN5888,AN5909,AN5939,AN5952,AN6037,AN6195,AN6209,AN6251,AN6534,AN6541,AN6610,AN6712,AN6824,AN7028,AN7115,AN7469,AN7588,AN7661,AN7666,AN7711,AN7725,AN8118,AN8121,AN8288,AN8689,AN8837,AN9064,AN9083,AN9116
GO:1900443	regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.0044	25	16	7.71	0.64	2.357	AN0098,AN0182,AN0568,AN0689,AN0891,AN1016,AN1017,AN1800,AN3688,AN3719,AN4479,AN4501,AN4745,AN4987,AN7487,AN8414
GO:1901135	carbohydrate derivative metabolic process	0.0044	357	118	110.17	0.331	2.357	AN0067,AN0086,AN0128,AN0210,AN0252,AN0285,AN0299,AN0351,AN0495,AN0593,AN0640,AN0651,AN0667,AN0688,AN0787,AN0918,AN0942,AN1016,AN1068,AN1069,AN10709,AN10824,AN10844,AN1102,AN11059,AN1165,AN11859,AN1202,AN12279,AN12280,AN1396,AN1418,AN1428,AN1502,AN1554,AN1555,AN1624,AN1798,AN1918,AN1989,AN2240,AN2303,AN2315,AN2335,AN2523,AN2742,AN2761,AN2875,AN3169,AN3222,AN3223,AN3547,AN3787,AN3881,AN3916,AN4071,AN4234,AN4332,AN4388,AN4462,AN4501,AN4515,AN4566,AN4691,AN4716,AN4743,AN4859,AN4871,AN4987,AN4991,AN5144,AN5210,AN5237,AN5558,AN5566,AN5589,AN5604,AN5682,AN5746,AN5888,AN5909,AN6037,AN6182,AN6195,AN6209,AN6251,AN6317,AN6318,AN6384,AN6405,AN6534,AN6541,AN6610,AN6857,AN7028,AN7032,AN7115,AN7123,AN7469,AN7576,AN7588,AN7711,AN8118,AN8121,AN8226,AN8323,AN8388,AN8457,AN8524,AN8545,AN8611,AN8689,AN9064,AN9083,AN9094,AN9148,AN9390,AN9426
GO:1905039	carboxylic acid transmembrane transport	0.00452	47	24	14.5	0.511	2.345	AN1014,AN1059,AN10905,AN1339,AN1659,AN2043,AN2468,AN2875,AN3304,AN3345,AN3347,AN4287,AN4387,AN4477,AN4478,AN5226,AN6118,AN6279,AN6578,AN6703,AN8274,AN8279,AN8785,AN9010
GO:0071470	cellular response to osmotic stress	0.00475	62	39	19.13	0.629	2.323	AN0351,AN0423,AN0554,AN0641,AN0931,AN1017,AN10763,AN10902,AN1168,AN1358,AN1624,AN1769,AN1800,AN2005,AN2269,AN2911,AN2919,AN2997,AN3583,AN3688,AN3725,AN4189,AN4479,AN4668,AN4745,AN5057,AN5129,AN5563,AN5746,AN6010,AN6318,AN6892,AN6982,AN7698,AN7799,AN7895,AN8690,AN8692,AN8830
GO:0006071	glycerol metabolic process	0.00479	24	14	7.41	0.583	2.32	AN0034,AN0351,AN0484,AN0567,AN1396,AN1868,AN3741,AN3916,AN4310,AN4829,AN5563,AN5589,AN5604,AN7193
GO:0006835	dicarboxylic acid transport	0.00496	13	9	4.01	0.692	2.305	AN0066,AN2875,AN6118,AN6703,AN6782,AN7729,AN8274,AN8785,AN9010
GO:0097308	cellular response to farnesol	0.00506	46	23	14.2	0.5	2.296	AN0179,AN0182,AN0797,AN10518,AN1396,AN1800,AN2435,AN2846,AN4159,AN4376,AN4467,AN4479,AN4667,AN4695,AN5129,AN5324,AN5564,AN5746,AN5886,AN5999,AN7590,AN7594,AN8863
GO:0033246	positive regulation of penicillin metabolic process	0.00519	11	8	3.39	0.727	2.285	AN0106,AN0651,AN0807,AN1052,AN1844,AN3719,AN8741,AN9008
GO:0075308	negative regulation of conidium formation	0.00519	11	8	3.39	0.727	2.285	AN0081,AN0363,AN1016,AN1052,AN3607,AN5156,AN8129,AN9121
GO:0019933	cAMP-mediated signaling	0.00519	11	8	3.39	0.727	2.285	AN0182,AN0651,AN1016,AN2130,AN2911,AN3090,AN4419,AN5341
GO:0007124	pseudohyphal growth	0.00562	22	13	6.79	0.591	2.25	AN0182,AN1016,AN10171,AN1025,AN10516,AN1324,AN2269,AN3422,AN4071,AN4439,AN4501,AN4896,AN7487
GO:0006629	lipid metabolic process	0.00636	403	142	124.36	0.352	2.197	AN0338,AN0408,AN0432,AN0484,AN0579,AN0608,AN0609,AN0640,AN0649,AN0654,AN0664,AN0716,AN0802,AN0913,AN0918,AN0929,AN0963,AN10156,AN10215,AN1037,AN10396,AN10512,AN10610,AN10673,AN1068,AN10747,AN10841,AN10887,AN1102,AN11072,AN11126,AN1165,AN11859,AN12429,AN1303,AN1330,AN1339,AN1357,AN1409,AN1425,AN1547,AN1671,AN1675,AN1713,AN1769,AN1792,AN1794,AN1798,AN1799,AN1855,AN1921,AN1950,AN1989,AN2069,AN2240,AN2303,AN2311,AN2528,AN2877,AN2925,AN3132,AN3177,AN3188,AN3318,AN3380,AN3506,AN3636,AN3869,AN4042,AN4056,AN4071,AN4154,AN4208,AN4238,AN4243,AN4278,AN4295,AN4310,AN4329,AN4332,AN4353,AN4601,AN4778,AN4878,AN4923,AN4991,AN5028,AN5159,AN5217,AN5309,AN5356,AN5402,AN5585,AN5599,AN5626,AN5634,AN5644,AN5646,AN5757,AN5777,AN5812,AN5823,AN5833,AN5888,AN5905,AN5990,AN5991,AN6014,AN6126,AN6159,AN6236,AN6279,AN6382,AN6534,AN6555,AN6610,AN6650,AN6653,AN6712,AN6731,AN6752,AN6787,AN6973,AN7008,AN7050,AN7111,AN7123,AN7146,AN7158,AN7375,AN7661,AN7873,AN7880,AN8046,AN8117,AN8280,AN8288,AN8615,AN8743,AN9106,AN9339,AN9408
GO:0046777	protein autophosphorylation	0.00764	18	11	5.55	0.611	2.117	AN0931,AN0988,AN1632,AN1800,AN4113,AN4279,AN4483,AN4563,AN4935,AN5676,AN5757
GO:0044275	cellular carbohydrate catabolic process	0.00773	66	31	20.37	0.47	2.112	AN0034,AN0787,AN0942,AN10060,AN1015,AN1016,AN10420,AN10550,AN10599,AN11778,AN2017,AN3201,AN3368,AN3369,AN3515,AN3641,AN4102,AN4238,AN4691,AN4843,AN5604,AN5635,AN5672,AN5985,AN6035,AN6697,AN7610,AN8138,AN8347,AN9064,AN9340
GO:0009651	response to salt stress	0.00875	29	18	8.95	0.621	2.058	AN10019,AN1017,AN1168,AN1493,AN1558,AN1624,AN2919,AN3730,AN4189,AN4238,AN4479,AN4716,AN5563,AN5564,AN7250,AN7657,AN8830,AN9450
GO:0072348	sulfur compound transport	0.00883	16	10	4.94	0.625	2.054	AN0066,AN0275,AN12476,AN2730,AN3150,AN3665,AN4517,AN5801,AN7188,AN7729
GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00883	16	10	4.94	0.625	2.054	AN0081,AN0363,AN0807,AN1052,AN2742,AN3607,AN3719,AN5893,AN6243,AN8741
GO:0071396	cellular response to lipid	0.00896	50	27	15.43	0.54	2.048	AN0179,AN0182,AN0771,AN0797,AN1037,AN10518,AN10949,AN1396,AN1800,AN2435,AN2846,AN4159,AN4376,AN4467,AN4479,AN4667,AN4695,AN5129,AN5324,AN5564,AN5746,AN5886,AN5999,AN7590,AN7594,AN8269,AN8863
GO:0030004	cellular monovalent inorganic cation homeostasis	0.00905	16	8	4.94	0.5	2.043	AN0703,AN1339,AN2302,AN3793,AN4332,AN5583,AN7250,AN8029
GO:0051278	fungal-type cell wall polysaccharide biosynthetic process	0.00932	23	13	7.1	0.565	2.031	AN0106,AN1069,AN10709,AN1554,AN2062,AN3113,AN3729,AN3730,AN4234,AN4501,AN4566,AN5740,AN7657
GO:0009408	response to heat	0.0097	70	45	21.6	0.643	2.013	AN0182,AN0410,AN0651,AN0858,AN0931,AN1015,AN1016,AN1017,AN10673,AN1282,AN1546,AN1652,AN2269,AN2731,AN2761,AN2911,AN3583,AN3592,AN3725,AN4189,AN4310,AN4462,AN4467,AN4501,AN4668,AN4702,AN4716,AN4897,AN4987,AN5129,AN5217,AN5324,AN5523,AN5635,AN5755,AN5975,AN6293,AN6849,AN7388,AN7513,AN7572,AN7698,AN8269,AN8643,AN9450
GO:0035690	cellular response to drug	0.00971	210	87	64.8	0.414	2.013	AN0363,AN0595,AN0609,AN0651,AN0757,AN0771,AN0927,AN0931,AN1017,AN10351,AN10709,AN10763,AN1085,AN10949,AN1139,AN11705,AN1189,AN12054,AN1242,AN12478,AN1404,AN1518,AN1639,AN1743,AN1923,AN2210,AN2300,AN2332,AN2846,AN2997,AN3113,AN3368,AN3422,AN3506,AN3688,AN3719,AN3729,AN4189,AN4277,AN4281,AN4390,AN4615,AN4668,AN4707,AN4758,AN4770,AN4894,AN4923,AN5119,AN5148,AN5296,AN5324,AN5341,AN5378,AN5493,AN5523,AN5632,AN5660,AN5740,AN5865,AN5885,AN5888,AN5908,AN5918,AN5985,AN6118,AN6129,AN6207,AN6293,AN6330,AN6566,AN6849,AN6982,AN7146,AN7464,AN7513,AN7657,AN8269,AN8414,AN8489,AN8502,AN8643,AN8753,AN8793,AN9339,AN9340,AN9408
GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore	0.0101	14	9	4.32	0.643	1.996	AN0363,AN1052,AN3387,AN5170,AN6243,AN6578,AN6749,AN7169,AN8262
