GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
GO:0071470	cellular response to osmotic stress	0.00033	62	39	17.64	0.629	3.481	AN0134,AN0351,AN0554,AN0641,AN0931,AN1017,AN10763,AN10902,AN1358,AN1503,AN1624,AN1800,AN2005,AN2911,AN2919,AN2968,AN2997,AN3441,AN3688,AN3725,AN4189,AN4479,AN4668,AN4745,AN5129,AN5563,AN5746,AN6010,AN6318,AN6505,AN6982,AN7484,AN7698,AN7799,AN7895,AN8041,AN8690,AN8692,AN8830
GO:0048315	conidium formation	0.00041	132	65	37.56	0.492	3.387	AN0055,AN0182,AN0279,AN0363,AN0410,AN0651,AN0721,AN0863,AN0931,AN1017,AN10193,AN1052,AN10610,AN1189,AN1536,AN1539,AN1555,AN1661,AN1848,AN2009,AN2306,AN2421,AN2489,AN2523,AN2740,AN2742,AN2911,AN3416,AN3422,AN3607,AN3688,AN3719,AN4189,AN4563,AN4566,AN4632,AN4695,AN4716,AN4887,AN4935,AN4987,AN5156,AN5296,AN5726,AN5755,AN5757,AN5836,AN5893,AN6197,AN6230,AN6243,AN6317,AN6318,AN6341,AN6566,AN7030,AN7104,AN7542,AN7657,AN7687,AN7757,AN8071,AN8129,AN9121,AN9339
GO:0098849	cellular detoxification of cadmium ion	0.00053	6	6	1.71	1	3.276	AN12476,AN1795,AN3150,AN4517,AN7729,AN8346
GO:0097308	cellular response to farnesol	0.00058	46	24	13.09	0.522	3.237	AN0179,AN0182,AN0240,AN10518,AN1396,AN1800,AN2435,AN2530,AN2846,AN4159,AN4376,AN4479,AN4667,AN4695,AN5129,AN5564,AN5746,AN5886,AN5999,AN6231,AN6505,AN7208,AN7594,AN8863
GO:0034605	cellular response to heat	0.00071	54	31	15.37	0.574	3.149	AN0182,AN0858,AN0931,AN1017,AN10507,AN1652,AN2530,AN2731,AN2761,AN2911,AN3441,AN3725,AN4189,AN4310,AN4501,AN4668,AN4716,AN4887,AN4897,AN4987,AN5129,AN5523,AN5602,AN5755,AN5975,AN6849,AN7388,AN7572,AN7698,AN8269,AN8643
GO:0015976	carbon utilization	0.00072	24	16	6.83	0.667	3.143	AN0689,AN1017,AN10550,AN1918,AN3597,AN4462,AN4668,AN5604,AN5626,AN5634,AN5746,AN6195,AN6279,AN7468,AN7610,AN9461
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.00107	15	10	4.27	0.667	2.971	AN0988,AN10741,AN1096,AN3755,AN3941,AN4984,AN5156,AN5822,AN9424,AN9500
GO:0034354	'de novo' NAD biosynthetic process from tryptophan	0.00186	5	5	1.42	1	2.73	AN11252,AN2509,AN3431,AN5200,AN5952
GO:0000909	sporocarp development involved in sexual reproduction	0.00189	110	49	31.3	0.445	2.724	AN0082,AN0098,AN0279,AN0410,AN0641,AN0651,AN0931,AN0988,AN1017,AN10193,AN10223,AN1222,AN1376,AN1402,AN1536,AN1539,AN1661,AN1848,AN2290,AN2489,AN2505,AN2701,AN2742,AN3036,AN3416,AN3422,AN3607,AN3719,AN3813,AN4189,AN4483,AN4702,AN4887,AN4935,AN5156,AN5457,AN5651,AN5759,AN5836,AN6046,AN6231,AN6243,AN6505,AN7104,AN8071,AN8741,AN9008,AN9408,AN9450
GO:0000160	phosphorelay signal transduction system	0.00233	20	14	5.69	0.7	2.633	AN1800,AN2005,AN2581,AN3101,AN3102,AN3214,AN3688,AN4113,AN4134,AN4479,AN4818,AN5296,AN7572,AN9008
GO:0006696	ergosterol biosynthetic process	0.00279	34	18	9.67	0.529	2.554	AN0608,AN0609,AN11008,AN1339,AN1901,AN2069,AN2311,AN3869,AN4042,AN4329,AN4923,AN5823,AN6236,AN6506,AN6973,AN7146,AN7661,AN8283
GO:0046656	folic acid biosynthetic process	0.0028	7	6	1.99	0.857	2.553	AN10991,AN2493,AN2998,AN4384,AN6032,AN8188
GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.00305	13	10	3.7	0.769	2.516	AN0363,AN0807,AN1052,AN1661,AN3152,AN3607,AN3719,AN5028,AN6505,AN9121
GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.00359	145	72	41.26	0.497	2.445	AN0055,AN0078,AN0098,AN0182,AN0363,AN0410,AN0640,AN0651,AN0721,AN0733,AN0807,AN0931,AN0988,AN1017,AN10193,AN10516,AN1052,AN10610,AN10902,AN11891,AN1222,AN1267,AN1475,AN1536,AN1555,AN1661,AN1848,AN1967,AN2059,AN2071,AN2419,AN2489,AN2505,AN2919,AN3148,AN3152,AN3387,AN3422,AN3607,AN3719,AN4169,AN4390,AN4419,AN4501,AN4566,AN4570,AN4615,AN4632,AN4887,AN4935,AN5028,AN5170,AN5195,AN5523,AN5579,AN5759,AN5836,AN6197,AN6243,AN6505,AN6542,AN6578,AN7104,AN7169,AN7513,AN7657,AN7993,AN8071,AN8262,AN9121,AN9380,AN9504
GO:0031505	fungal-type cell wall organization	0.00367	109	49	31.02	0.45	2.435	AN0235,AN0241,AN0667,AN0931,AN1017,AN10311,AN10367,AN10763,AN10779,AN11152,AN11694,AN1189,AN1358,AN1555,AN1573,AN1950,AN2067,AN2172,AN3113,AN3148,AN3152,AN3422,AN3441,AN3719,AN3729,AN3730,AN3914,AN4052,AN4189,AN4390,AN4419,AN4515,AN4566,AN4615,AN5105,AN5740,AN6317,AN6318,AN6542,AN6566,AN6733,AN7149,AN7511,AN7533,AN7657,AN7683,AN7698,AN7993,AN9380
GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00467	16	10	4.55	0.625	2.331	AN0363,AN0807,AN1052,AN2742,AN3607,AN3719,AN5893,AN6243,AN6505,AN8741
GO:0009408	response to heat	0.00542	70	40	19.92	0.571	2.266	AN0182,AN0410,AN0651,AN0858,AN0931,AN1015,AN1017,AN10507,AN1282,AN1652,AN2530,AN2731,AN2761,AN2911,AN3441,AN3725,AN4189,AN4310,AN4462,AN4501,AN4668,AN4702,AN4716,AN4887,AN4897,AN4987,AN5129,AN5217,AN5523,AN5602,AN5755,AN5975,AN6849,AN7388,AN7513,AN7572,AN7698,AN8269,AN8643,AN9450
GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore	0.00562	14	9	3.98	0.643	2.25	AN0363,AN1052,AN1967,AN3387,AN5170,AN6243,AN6578,AN7169,AN8262
GO:0043943	regulation of asexual sporulation resulting in formation of a cellular spore	0.0065	25	15	7.11	0.6	2.187	AN0082,AN0182,AN0186,AN0641,AN0721,AN1052,AN1967,AN2059,AN2742,AN4987,AN5028,AN5836,AN6578,AN8741,AN8945
GO:0046938	phytochelatin biosynthetic process	0.00655	4	4	1.14	1	2.184	AN12476,AN3150,AN5442,AN8346
GO:0006000	fructose metabolic process	0.00655	4	4	1.14	1	2.184	AN10824,AN10844,AN5144,AN7459
GO:0042744	hydrogen peroxide catabolic process	0.00655	4	4	1.14	1	2.184	AN0170,AN2846,AN5918,AN9339
GO:0030007	cellular potassium ion homeostasis	0.00655	4	4	1.14	1	2.184	AN3793,AN5583,AN7250,AN8029
GO:0009097	isoleucine biosynthetic process	0.00655	4	4	1.14	1	2.184	AN3830,AN4323,AN4793,AN4956
GO:0008272	sulfate transport	0.00655	4	4	1.14	1	2.184	AN0066,AN2730,AN3157,AN3665
GO:0009102	biotin biosynthetic process	0.00655	4	4	1.14	1	2.184	AN5953,AN6643,AN6644,AN6645
GO:0061709	reticulophagy	0.00655	4	4	1.14	1	2.184	AN1632,AN4915,AN5131,AN5491
GO:0044416	induction by symbiont of host defense response	0.00666	12	8	3.41	0.667	2.177	AN1246,AN12473,AN2875,AN4443,AN5210,AN5525,AN5746,AN8041
GO:0006486	protein glycosylation	0.00667	51	18	14.51	0.353	2.176	AN0086,AN0210,AN0667,AN0787,AN10367,AN10709,AN2761,AN4071,AN4716,AN4727,AN5105,AN5586,AN5682,AN5888,AN6610,AN6857,AN8226,AN9148
GO:0006094	gluconeogenesis	0.00679	26	14	7.4	0.538	2.168	AN10854,AN1246,AN1761,AN1918,AN2875,AN3059,AN3223,AN4462,AN5210,AN5604,AN5746,AN7459,AN7468,AN8041
GO:0071277	cellular response to calcium ion	0.00849	8	6	2.28	0.75	2.071	AN1652,AN4169,AN4614,AN5341,AN5726,AN6249
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	0.0085	34	13	9.67	0.382	2.071	AN3067,AN3102,AN3118,AN3450,AN3725,AN3941,AN4483,AN4501,AN5482,AN5822,AN6978,AN6982,AN7007
GO:0006750	glutathione biosynthetic process	0.00852	6	5	1.71	0.833	2.07	AN12476,AN2846,AN3150,AN4462,AN8346
GO:0071333	cellular response to glucose stimulus	0.00853	12	6	3.41	0.5	2.069	AN0182,AN1052,AN2130,AN3607,AN5757,AN6923
GO:0006874	cellular calcium ion homeostasis	0.01052	25	12	7.11	0.48	1.978	AN0471,AN10367,AN1189,AN1628,AN1950,AN2919,AN4814,AN4920,AN4990,AN6566,AN7571,AN8830
GO:0006357	regulation of transcription by RNA polymerase II	0.01303	207	85	58.9	0.411	1.885	AN0098,AN0241,AN0279,AN0410,AN0440,AN0689,AN0891,AN10059,AN1017,AN10191,AN10436,AN10550,AN1060,AN10763,AN10854,AN10956,AN1170,AN11704,AN11910,AN11961,AN1227,AN1272,AN1303,AN1339,AN1416,AN1425,AN1518,AN1720,AN2172,AN2290,AN2421,AN2489,AN2852,AN2855,AN2902,AN2911,AN2944,AN2996,AN3224,AN3422,AN3423,AN3468,AN3506,AN3675,AN3688,AN3879,AN4160,AN4210,AN4377,AN4486,AN4501,AN4558,AN4570,AN4741,AN4785,AN4935,AN5643,AN5651,AN5726,AN5747,AN5752,AN5758,AN5836,AN5893,AN6129,AN6195,AN6505,AN6733,AN7189,AN7297,AN7303,AN7468,AN7513,AN7542,AN7610,AN7661,AN8039,AN8168,AN8251,AN8282,AN8285,AN8858,AN8978,AN9095,AN9397
GO:0006096	glycolytic process	0.01766	23	12	6.54	0.522	1.753	AN1246,AN1918,AN2875,AN3059,AN3223,AN4462,AN5210,AN5604,AN5746,AN7459,AN8041,AN8689
GO:0030036	actin cytoskeleton organization	0.01932	93	31	26.46	0.333	1.714	AN0135,AN0410,AN0655,AN0697,AN0931,AN1025,AN1162,AN1339,AN1558,AN2067,AN2126,AN2484,AN2687,AN2995,AN4171,AN4501,AN4706,AN4963,AN5677,AN5740,AN5768,AN5981,AN6341,AN6542,AN6685,AN7567,AN7576,AN7683,AN7698,AN8831,AN9504
GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	0.01934	10	7	2.85	0.7	1.714	AN0655,AN0931,AN1017,AN2489,AN3941,AN7572,AN9504
GO:0046835	carbohydrate phosphorylation	0.01936	9	6	2.56	0.667	1.713	AN4255,AN4957,AN5144,AN6985,AN7459,AN8689
GO:0005982	starch metabolic process	0.01936	9	6	2.56	0.667	1.713	AN10420,AN2016,AN2017,AN2314,AN3388,AN8953
GO:0006525	arginine metabolic process	0.01941	25	9	7.11	0.36	1.712	AN0565,AN2914,AN3957,AN5999,AN8075,AN8231,AN8667,AN8777,AN9090
GO:0009267	cellular response to starvation	0.02004	142	56	40.41	0.394	1.698	AN0118,AN0241,AN0279,AN0607,AN0609,AN0931,AN10030,AN10080,AN1017,AN10171,AN10420,AN10434,AN10854,AN11008,AN12473,AN1428,AN1812,AN1989,AN2067,AN2130,AN2903,AN3085,AN3422,AN3441,AN3636,AN3642,AN3675,AN3688,AN3719,AN4014,AN4042,AN4080,AN4159,AN4255,AN4390,AN4462,AN4716,AN4923,AN4987,AN5200,AN5210,AN5604,AN5774,AN5823,AN5918,AN6064,AN6400,AN6505,AN6731,AN7388,AN7468,AN7485,AN7572,AN8251,AN8540,AN9492
GO:0016310	phosphorylation	0.02141	270	114	76.83	0.422	1.669	AN0182,AN0235,AN0259,AN0357,AN0914,AN0931,AN0988,AN1017,AN10193,AN10682,AN10741,AN10854,AN1096,AN1097,AN11347,AN11961,AN1246,AN1272,AN1358,AN1632,AN1800,AN1918,AN2067,AN2265,AN2306,AN2311,AN2315,AN2316,AN2489,AN2581,AN2875,AN2911,AN2927,AN2943,AN3001,AN3059,AN3101,AN3102,AN3181,AN3214,AN3223,AN3422,AN3450,AN3719,AN3755,AN3941,AN3946,AN4113,AN4189,AN4196,AN4255,AN4258,AN4322,AN4388,AN4462,AN4479,AN4483,AN4525,AN4563,AN4570,AN4667,AN4668,AN4702,AN4818,AN4887,AN4935,AN4957,AN4984,AN4987,AN5144,AN5156,AN5210,AN5211,AN5217,AN5296,AN5604,AN5660,AN5674,AN5728,AN5740,AN5746,AN5757,AN5759,AN5822,AN5843,AN5973,AN5996,AN6044,AN6207,AN6243,AN6347,AN6508,AN6570,AN6758,AN6927,AN6982,AN6985,AN7030,AN7104,AN7459,AN7537,AN7572,AN7683,AN8041,AN8118,AN8190,AN8285,AN8689,AN8830,AN9095,AN9424,AN9461,AN9500,AN9504
GO:0019740	nitrogen utilization	0.02271	19	12	5.41	0.632	1.644	AN0098,AN1181,AN1339,AN2944,AN3675,AN4159,AN5226,AN6129,AN7463,AN8168,AN8374,AN8667
GO:0006801	superoxide metabolic process	0.02279	10	7	2.85	0.7	1.642	AN0182,AN0241,AN3581,AN4215,AN5148,AN5457,AN6045
GO:0033212	iron assimilation	0.02282	7	5	1.99	0.714	1.642	AN0607,AN5823,AN7468,AN7801,AN8251
GO:0010106	cellular response to iron ion starvation	0.02285	15	9	4.27	0.6	1.641	AN0241,AN0607,AN0609,AN10080,AN5823,AN6400,AN7485,AN8251,AN8540
GO:0042762	regulation of sulfur metabolic process	0.0229	25	15	7.11	0.6	1.64	AN0651,AN0807,AN1052,AN1226,AN1844,AN2302,AN2742,AN2855,AN3607,AN3675,AN3719,AN6359,AN8346,AN8741,AN9008
GO:0019933	cAMP-mediated signaling	0.02298	11	7	3.13	0.636	1.639	AN0182,AN0651,AN1661,AN2130,AN2911,AN4419,AN5341
GO:0019344	cysteine biosynthetic process	0.023	7	5	1.99	0.714	1.638	AN3675,AN4770,AN5820,AN8277,AN8565
GO:0071473	cellular response to cation stress	0.02301	4	4	1.14	1	1.638	AN1017,AN4479,AN6505,AN8830
GO:0006973	intracellular accumulation of glycerol	0.02302	3	3	0.85	1	1.638	AN0351,AN1017,AN5563
GO:0042256	mature ribosome assembly	0.02302	3	3	0.85	1	1.638	AN5443,AN6067,AN8824
GO:0006002	fructose 6-phosphate metabolic process	0.02302	3	3	0.85	1	1.638	AN3223,AN7459,AN8689
GO:0006003	fructose 2,6-bisphosphate metabolic process	0.02302	3	3	0.85	1	1.638	AN10824,AN10844,AN5144
GO:0070941	eisosome assembly	0.02302	3	3	0.85	1	1.638	AN4171,AN5217,AN7683
GO:0071970	fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process	0.02302	3	3	0.85	1	1.638	AN3729,AN3730,AN7657
GO:0090029	negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.02302	3	3	0.85	1	1.638	AN2430,AN2555,AN5893
GO:0061091	regulation of phospholipid translocation	0.02302	3	3	0.85	1	1.638	AN7149,AN7683,AN8374
GO:0009099	valine biosynthetic process	0.02302	3	3	0.85	1	1.638	AN3830,AN4323,AN4956
GO:1900444	negative regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.02302	3	3	0.85	1	1.638	AN1017,AN4745,AN4987
GO:1900409	positive regulation of cellular response to oxidative stress	0.02302	3	3	0.85	1	1.638	AN0170,AN1652,AN9090
GO:1990145	maintenance of translational fidelity	0.02302	3	3	0.85	1	1.638	AN1162,AN4742,AN6330
GO:0015707	nitrite transport	0.02302	3	3	0.85	1	1.638	AN0399,AN1008,AN8647
GO:1990277	parasexual conjugation with cellular fusion	0.02302	3	3	0.85	1	1.638	AN2067,AN3422,AN3719
GO:0000304	response to singlet oxygen	0.02302	3	3	0.85	1	1.638	AN0394,AN3688,AN7513
GO:0097271	protein localization to bud neck	0.02302	3	3	0.85	1	1.638	AN0182,AN4667,AN4987
GO:0000199	activation of MAPK activity involved in cell wall organization or biogenesis	0.02302	3	3	0.85	1	1.638	AN4189,AN5660,AN6927
GO:0010142	farnesyl diphosphate biosynthetic process, mevalonate pathway	0.02302	3	3	0.85	1	1.638	AN2311,AN3869,AN4923
GO:0010913	regulation of sterigmatocystin biosynthetic process	0.02514	26	15	7.4	0.577	1.6	AN0363,AN0651,AN0807,AN1052,AN2742,AN3607,AN3719,AN4570,AN5028,AN5893,AN6243,AN6505,AN7513,AN8741,AN9008
GO:0007088	regulation of mitotic nuclear division	0.02517	69	26	19.63	0.377	1.599	AN0065,AN0182,AN0410,AN0655,AN0733,AN0808,AN1333,AN2067,AN2141,AN2302,AN2761,AN2862,AN2965,AN3941,AN3946,AN4360,AN4501,AN4632,AN4775,AN4969,AN5133,AN6508,AN6553,AN6978,AN8071,AN9504
GO:0071474	cellular hyperosmotic response	0.02522	8	7	2.28	0.875	1.598	AN0351,AN0931,AN1017,AN3688,AN4479,AN4668,AN5563
GO:0008360	regulation of cell shape	0.02525	39	15	11.1	0.385	1.598	AN0134,AN0182,AN0410,AN1334,AN1475,AN1558,AN2067,AN2126,AN2687,AN4214,AN5740,AN6542,AN6685,AN7030,AN7576
GO:0009409	response to cold	0.02526	9	6	2.56	0.667	1.598	AN10902,AN4702,AN6149,AN7657,AN9340,AN9450
GO:0034221	fungal-type cell wall chitin biosynthetic process	0.02527	6	5	1.71	0.833	1.597	AN1069,AN10709,AN4234,AN4501,AN4566
GO:0009098	leucine biosynthetic process	0.02527	6	5	1.71	0.833	1.597	AN0840,AN2793,AN4323,AN4486,AN5886
GO:0016237	lysosomal microautophagy	0.02528	21	9	5.98	0.429	1.597	AN10213,AN10637,AN12017,AN1334,AN1632,AN2903,AN4666,AN5131,AN5491
GO:0006268	DNA unwinding involved in DNA replication	0.02529	5	4	1.42	0.8	1.597	AN0228,AN0582,AN6070,AN7423
GO:0007234	osmosensory signaling via phosphorelay pathway	0.02529	5	4	1.42	0.8	1.597	AN1800,AN2005,AN3688,AN4479
GO:0006567	threonine catabolic process	0.02529	5	4	1.42	0.8	1.597	AN0554,AN3830,AN7564,AN8978
GO:0070795	positive regulation of conidiophore development	0.02529	5	4	1.42	0.8	1.597	AN1800,AN5836,AN7698,AN8741
GO:0006013	mannose metabolic process	0.02904	12	7	3.41	0.583	1.537	AN0551,AN0667,AN0787,AN2936,AN5586,AN7459,AN8689
GO:0006979	response to oxidative stress	0.03179	136	71	38.7	0.522	1.498	AN0158,AN0170,AN0182,AN0241,AN0363,AN0394,AN0607,AN0609,AN0771,AN0988,AN1017,AN10193,AN10220,AN10223,AN10949,AN1274,AN1401,AN1632,AN1652,AN1967,AN2067,AN2099,AN2846,AN2911,AN3441,AN3581,AN3688,AN3725,AN3793,AN3954,AN3973,AN4064,AN4215,AN4483,AN4668,AN4716,AN4736,AN4747,AN4758,AN4935,AN4987,AN5028,AN5131,AN5159,AN5447,AN5523,AN5755,AN5823,AN5918,AN5975,AN5991,AN6542,AN6849,AN7189,AN7388,AN7513,AN7567,AN7572,AN7632,AN7698,AN8080,AN8285,AN8414,AN8553,AN8643,AN8692,AN8805,AN8837,AN9090,AN9339,AN9450
GO:0071216	cellular response to biotic stimulus	0.03193	111	41	31.58	0.369	1.496	AN0098,AN0118,AN0182,AN0891,AN1017,AN10420,AN10434,AN10854,AN11008,AN1418,AN1428,AN1844,AN2130,AN3085,AN3636,AN3642,AN3688,AN3719,AN4014,AN4042,AN4390,AN4419,AN4479,AN4501,AN4745,AN4915,AN4923,AN4987,AN5200,AN5210,AN5688,AN5746,AN5774,AN5857,AN6064,AN6505,AN6506,AN7468,AN7698,AN8414,AN9492
GO:0045454	cell redox homeostasis	0.03253	28	13	7.97	0.464	1.488	AN0170,AN0241,AN2846,AN3581,AN3973,AN4215,AN4402,AN7436,AN7567,AN7632,AN7729,AN8080,AN8374
GO:0030148	sphingolipid biosynthetic process	0.03673	20	11	5.69	0.55	1.435	AN0640,AN1950,AN4592,AN4991,AN5217,AN5688,AN5861,AN5868,AN6534,AN7683,AN8117
