seqnames	start	end	name	peakId.An_kdmB_20h_HA_1	overlap.An_kdmB_20h_HA_1	peakEnrichment.An_kdmB_20h_HA_1	peakPval.An_kdmB_20h_HA_1	peakId.An_sntB_20h_HA_1	overlap.An_sntB_20h_HA_1	peakEnrichment.An_sntB_20h_HA_1	peakPval.An_sntB_20h_HA_1	peakId.An_ecoA_20h_HA_1	overlap.An_ecoA_20h_HA_1	peakEnrichment.An_ecoA_20h_HA_1	peakPval.An_ecoA_20h_HA_1	peakId.An_rpdA_20h_HA_1	overlap.An_rpdA_20h_HA_1	peakEnrichment.An_rpdA_20h_HA_1	peakPval.An_rpdA_20h_HA_1
ChrIII_A_nidulans_FGSC_A4	71722	72369	peak_region_14	An_kdmB_20h_HA_1_withCtrl_peak_12	TRUE	2.32758	4.25918	An_sntB_20h_HA_1_withCtrl_peak_8	TRUE	2.46989	11.83081	An_ecoA_20h_HA_1_withCtrl_peak_4	TRUE	2.25667	3.92557	An_rpdA_20h_HA_1_withCtrl_peak_13	TRUE	3.16557	24.34613
ChrIII_A_nidulans_FGSC_A4	90516	91083	peak_region_15	An_kdmB_20h_HA_1_withCtrl_peak_13	TRUE	2.69124	5.66414	An_sntB_20h_HA_1_withCtrl_peak_9	TRUE	2.55984	13.78182	An_ecoA_20h_HA_1_withCtrl_peak_5	TRUE	2.49361	4.61823	An_rpdA_20h_HA_1_withCtrl_peak_14	TRUE	2.12386	7.81028
ChrIII_A_nidulans_FGSC_A4	91377	91761	peak_region_16	NA	FALSE	NA	NA	An_sntB_20h_HA_1_withCtrl_peak_10	TRUE	2.77744	14.7886	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_15	TRUE	2.38077	10.05153
ChrIII_A_nidulans_FGSC_A4	92917	94796	peak_region_17	An_kdmB_20h_HA_1_withCtrl_peak_14	TRUE	7.88471	40.18255	An_sntB_20h_HA_1_withCtrl_peak_11	TRUE	5.25837	60.27639	An_ecoA_20h_HA_1_withCtrl_peak_6	TRUE	4.12167	13.13358	An_rpdA_20h_HA_1_withCtrl_peak_16	TRUE	4.19852	46.86839
ChrIII_A_nidulans_FGSC_A4	97264	97702	peak_region_18	An_kdmB_20h_HA_1_withCtrl_peak_15	TRUE	4.23387	12.92617	NA	FALSE	NA	NA	An_ecoA_20h_HA_1_withCtrl_peak_7	TRUE	2.29368	3.79371	An_rpdA_20h_HA_1_withCtrl_peak_17	TRUE	2.87987	17.03771
ChrIII_A_nidulans_FGSC_A4	131411	131753	peak_region_19	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_18	TRUE	2.03495	7.85984
ChrIII_A_nidulans_FGSC_A4	136614	136996	peak_region_20	An_kdmB_20h_HA_1_withCtrl_peak_16	TRUE	3.51264	13.30254	An_sntB_20h_HA_1_withCtrl_peak_12	TRUE	2.96341	27.09747	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_19	TRUE	2.89819	25.66142
ChrIII_A_nidulans_FGSC_A4	140798	142316	peak_region_21	An_kdmB_20h_HA_1_withCtrl_peak_17	TRUE	7.97498	62.45885	An_sntB_20h_HA_1_withCtrl_peak_13	TRUE	4.46612	72.65725	An_ecoA_20h_HA_1_withCtrl_peak_8	TRUE	3.41577	13.5344	An_rpdA_20h_HA_1_withCtrl_peak_20	TRUE	5.60963	95.44546
ChrIII_A_nidulans_FGSC_A4	140798	142316	peak_region_21	An_kdmB_20h_HA_1_withCtrl_peak_18	TRUE	3.30385	7.48389	An_sntB_20h_HA_1_withCtrl_peak_13	TRUE	4.46612	72.65725	An_ecoA_20h_HA_1_withCtrl_peak_8	TRUE	3.41577	13.5344	An_rpdA_20h_HA_1_withCtrl_peak_20	TRUE	5.60963	95.44546
ChrIII_A_nidulans_FGSC_A4	152783	154113	peak_region_22	An_kdmB_20h_HA_1_withCtrl_peak_19	TRUE	6.52855	36.88522	An_sntB_20h_HA_1_withCtrl_peak_14	TRUE	3.50905	35.61551	An_ecoA_20h_HA_1_withCtrl_peak_9	TRUE	2.6445	6.30195	An_rpdA_20h_HA_1_withCtrl_peak_21	TRUE	3.81528	42.515
ChrIII_A_nidulans_FGSC_A4	152783	154113	peak_region_22	An_kdmB_20h_HA_1_withCtrl_peak_19	TRUE	6.52855	36.88522	An_sntB_20h_HA_1_withCtrl_peak_14	TRUE	3.50905	35.61551	An_ecoA_20h_HA_1_withCtrl_peak_10	TRUE	3.2622	9.7376	An_rpdA_20h_HA_1_withCtrl_peak_21	TRUE	3.81528	42.515
ChrIII_A_nidulans_FGSC_A4	156041	156448	peak_region_23	An_kdmB_20h_HA_1_withCtrl_peak_20	TRUE	2.89193	6.09704	An_sntB_20h_HA_1_withCtrl_peak_15	TRUE	2.5059	11.33333	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_22	TRUE	2.39136	9.98791
ChrIII_A_nidulans_FGSC_A4	156599	157845	peak_region_24	An_kdmB_20h_HA_1_withCtrl_peak_21	TRUE	6.58124	50.66074	An_sntB_20h_HA_1_withCtrl_peak_16	TRUE	2.54066	21.28258	An_ecoA_20h_HA_1_withCtrl_peak_11	TRUE	2.95395	10.01447	An_rpdA_20h_HA_1_withCtrl_peak_23	TRUE	3.32036	41.26877
ChrIII_A_nidulans_FGSC_A4	157924	158189	peak_region_25	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_24	TRUE	2.06391	6.70536
ChrIII_A_nidulans_FGSC_A4	159496	159880	peak_region_26	An_kdmB_20h_HA_1_withCtrl_peak_22	TRUE	3.79457	10.13768	An_sntB_20h_HA_1_withCtrl_peak_17	TRUE	2.04646	6.13013	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_25	TRUE	2.71327	13.46257
ChrIII_A_nidulans_FGSC_A4	214530	215527	peak_region_27	An_kdmB_20h_HA_1_withCtrl_peak_23	TRUE	4.7093	17.42076	An_sntB_20h_HA_1_withCtrl_peak_18	TRUE	3.76924	35.94125	An_ecoA_20h_HA_1_withCtrl_peak_12	TRUE	2.56439	5.26705	An_rpdA_20h_HA_1_withCtrl_peak_26	TRUE	2.98774	20.19849
ChrIII_A_nidulans_FGSC_A4	226148	226487	peak_region_28	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_27	TRUE	2.61779	11.00358
ChrIII_A_nidulans_FGSC_A4	242129	243074	peak_region_29	An_kdmB_20h_HA_1_withCtrl_peak_24	TRUE	3.51174	9.96739	An_sntB_20h_HA_1_withCtrl_peak_19	TRUE	1.87099	5.3064	An_ecoA_20h_HA_1_withCtrl_peak_13	TRUE	3.3419	8.70527	An_rpdA_20h_HA_1_withCtrl_peak_28	TRUE	1.58967	3.44441
ChrIII_A_nidulans_FGSC_A4	242129	243074	peak_region_29	An_kdmB_20h_HA_1_withCtrl_peak_24	TRUE	3.51174	9.96739	An_sntB_20h_HA_1_withCtrl_peak_19	TRUE	1.87099	5.3064	An_ecoA_20h_HA_1_withCtrl_peak_13	TRUE	3.3419	8.70527	An_rpdA_20h_HA_1_withCtrl_peak_29	TRUE	2.93078	18.7021
ChrIII_A_nidulans_FGSC_A4	243544	244066	peak_region_30	An_kdmB_20h_HA_1_withCtrl_peak_25	TRUE	3.7229	13.24479	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_30	TRUE	1.66037	4.18138
ChrIII_A_nidulans_FGSC_A4	261346	261923	peak_region_31	NA	FALSE	NA	NA	An_sntB_20h_HA_1_withCtrl_peak_20	TRUE	1.98082	6.52233	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_31	TRUE	1.9506	7.42454
ChrIII_A_nidulans_FGSC_A4	270232	270532	peak_region_32	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_32	TRUE	2.40212	9.33628
ChrIII_A_nidulans_FGSC_A4	277862	278484	peak_region_33	An_kdmB_20h_HA_1_withCtrl_peak_26	TRUE	1.95829	3.8724	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_33	TRUE	2.13677	13.6017
ChrIII_A_nidulans_FGSC_A4	284815	285416	peak_region_34	An_kdmB_20h_HA_1_withCtrl_peak_27	TRUE	5.23908	23.74773	An_sntB_20h_HA_1_withCtrl_peak_21	TRUE	2.87474	22.35068	An_ecoA_20h_HA_1_withCtrl_peak_14	TRUE	2.75242	5.68569	An_rpdA_20h_HA_1_withCtrl_peak_34	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	292537	292988	peak_region_35	NA	FALSE	NA	NA	An_sntB_20h_HA_1_withCtrl_peak_22	TRUE	1.87465	5.42553	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_35	TRUE	2.91115	17.51724
ChrIII_A_nidulans_FGSC_A4	294392	295809	peak_region_36	An_kdmB_20h_HA_1_withCtrl_peak_28	TRUE	11.77219	93.22246	An_sntB_20h_HA_1_withCtrl_peak_23	TRUE	5.03137	67.19191	An_ecoA_20h_HA_1_withCtrl_peak_15	TRUE	4.26788	16.33462	An_rpdA_20h_HA_1_withCtrl_peak_36	TRUE	6.12749	96.78913
ChrIII_A_nidulans_FGSC_A4	299707	300001	peak_region_37	NA	FALSE	NA	NA	An_sntB_20h_HA_1_withCtrl_peak_24	TRUE	2.21877	7.51608	NA	FALSE	NA	NA	NA	FALSE	NA	NA
ChrIII_A_nidulans_FGSC_A4	302711	303062	peak_region_38	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_ecoA_20h_HA_1_withCtrl_peak_16	TRUE	2.59784	5.82838	An_rpdA_20h_HA_1_withCtrl_peak_37	TRUE	1.74424	5.38052
ChrIII_A_nidulans_FGSC_A4	309567	309986	peak_region_39	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_38	TRUE	2.45669	9.87185
ChrIII_A_nidulans_FGSC_A4	311667	312012	peak_region_40	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_39	TRUE	2.34841	9.0673
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_29	TRUE	4.88944	22.57152	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_25	TRUE	3.63891	38.43925	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_26	TRUE	1.92242	6.94482	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_27	TRUE	2.04562	8.03204	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_17	TRUE	2.59162	5.95823	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_40	TRUE	3.43474	34.06801
ChrIII_A_nidulans_FGSC_A4	316698	320834	peak_region_41	An_kdmB_20h_HA_1_withCtrl_peak_30	TRUE	6.6577	52.5059	An_sntB_20h_HA_1_withCtrl_peak_28	TRUE	3.3627	44.53399	An_ecoA_20h_HA_1_withCtrl_peak_18	TRUE	4.18959	15.13085	An_rpdA_20h_HA_1_withCtrl_peak_41	TRUE	4.82741	83.07434
