hasPeak.An_kdmB_20h_HA_1	hasPeak.An_sntB_20h_HA_1	hasPeak.An_ecoA_20h_HA_1	hasPeak.An_rpdA_20h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	FALSE	FALSE	TRUE	1	GO:0051014	actin filament severing	0.0072	5	3	0.47	0.6	2.143	AN0999,AN2317,AN5686
FALSE	FALSE	FALSE	TRUE	1	GO:1902626	assembly of large subunit precursor of preribosome	0.0072	5	3	0.47	0.6	2.143	AN4560,AN5865,AN8491
FALSE	FALSE	FALSE	TRUE	1	GO:0098783	correction of merotelic kinetochore attachment, mitotic	0.0072	5	3	0.47	0.6	2.143	AN3648,AN5057,AN5815
FALSE	FALSE	FALSE	TRUE	1	GO:0030866	cortical actin cytoskeleton organization	0.00877	52	12	4.9	0.231	2.057	AN0113,AN11032,AN12237,AN1560,AN2317,AN2756,AN4085,AN5057,AN5529,AN5686,AN7032,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0030835	negative regulation of actin filament depolymerization	0.00885	7	3	0.66	0.429	2.053	AN12237,AN5686,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0009167	purine ribonucleoside monophosphate metabolic process	0.00888	96	10	9.04	0.104	2.052	AN0252,AN10032,AN10188,AN11499,AN4743,AN5162,AN5842,AN6037,AN6251,AN8872
FALSE	FALSE	FALSE	TRUE	1	GO:0006997	nucleus organization	0.0103	33	7	3.11	0.212	1.987	AN0420,AN3437,AN3910,AN4317,AN4493,AN5815,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0016558	protein import into peroxisome matrix	0.01032	15	5	1.41	0.333	1.986	AN10215,AN2925,AN4318,AN5113,AN7029
FALSE	FALSE	FALSE	TRUE	1	GO:0051017	actin filament bundle assembly	0.01033	10	4	0.94	0.4	1.986	AN1324,AN5686,AN8862,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.01083	21	6	1.98	0.286	1.965	AN0776,AN10943,AN1228,AN6374,AN7424,AN8491
FALSE	FALSE	FALSE	TRUE	1	GO:0001302	replicative cell aging	0.01083	21	6	1.98	0.286	1.965	AN2464,AN2925,AN4238,AN4493,AN6717,AN9116
FALSE	FALSE	FALSE	TRUE	1	GO:0006364	rRNA processing	0.01254	133	39	12.53	0.293	1.902	AN0305,AN0421,AN0465,AN0776,AN10280,AN10719,AN10943,AN11145,AN1175,AN11773,AN1228,AN1345,AN1434,AN2292,AN2759,AN3167,AN3172,AN3313,AN3455,AN3745,AN4226,AN4594,AN4872,AN5222,AN5520,AN5865,AN6171,AN6202,AN6310,AN6374,AN6556,AN6561,AN6585,AN6632,AN7424,AN7526,AN8491,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	1	GO:0000183	chromatin silencing at rDNA	0.01318	21	7	1.98	0.333	1.88	AN0253,AN1546,AN2973,AN4493,AN7461,AN8042,AN9116
FALSE	FALSE	FALSE	TRUE	1	GO:0006085	acetyl-CoA biosynthetic process	0.0134	6	3	0.57	0.5	1.873	AN4830,AN5162,AN9403
FALSE	FALSE	FALSE	TRUE	1	GO:0016925	protein sumoylation	0.0134	6	3	0.57	0.5	1.873	AN0304,AN1191,AN2450
FALSE	FALSE	FALSE	TRUE	1	GO:0009612	response to mechanical stimulus	0.0134	6	3	0.57	0.5	1.873	AN1168,AN3735,AN4685
FALSE	FALSE	FALSE	TRUE	1	GO:0006751	glutathione catabolic process	0.0134	6	3	0.57	0.5	1.873	AN10444,AN1092,AN5658
FALSE	FALSE	FALSE	TRUE	1	GO:0006418	tRNA aminoacylation for protein translation	0.01418	35	8	3.3	0.229	1.848	AN3702,AN3824,AN4086,AN5662,AN7479,AN8800,AN8867,AN9157
FALSE	FALSE	FALSE	TRUE	1	GO:0030950	establishment or maintenance of actin cytoskeleton polarity	0.01504	11	4	1.04	0.364	1.823	AN10743,AN1171,AN2756,AN5529
FALSE	FALSE	FALSE	TRUE	1	GO:0048315	conidium formation	0.01697	132	19	12.43	0.144	1.77	AN0081,AN0420,AN0636,AN10635,AN11032,AN11063,AN1168,AN1171,AN1324,AN1491,AN3095,AN3437,AN4819,AN5529,AN6037,AN6510,AN7032,AN7697,AN8836
FALSE	FALSE	FALSE	TRUE	1	GO:0034613	cellular protein localization	0.01857	414	86	38.99	0.208	1.731	AN0112,AN0261,AN0349,AN0819,AN0843,AN0906,AN10215,AN10526,AN1068,AN10710,AN1089,AN10943,AN11004,AN11032,AN1157,AN1190,AN12237,AN1245,AN12491,AN1345,AN1560,AN1638,AN1973,AN2054,AN2143,AN2281,AN2480,AN2756,AN2925,AN3026,AN3172,AN3437,AN3455,AN3470,AN3648,AN3745,AN3842,AN3843,AN3934,AN4053,AN4060,AN4085,AN4087,AN4317,AN4318,AN4493,AN4513,AN4685,AN4743,AN4804,AN5020,AN5057,AN5100,AN5113,AN5494,AN5519,AN5529,AN5631,AN5693,AN5717,AN5815,AN5824,AN5865,AN5915,AN5997,AN6006,AN6147,AN6248,AN6334,AN6351,AN6510,AN6556,AN6580,AN6590,AN6591,AN6632,AN6687,AN7029,AN7047,AN7296,AN7462,AN8836,AN8862,AN9124,AN9398,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0006888	ER to Golgi vesicle-mediated transport	0.01956	44	9	4.14	0.205	1.709	AN0261,AN10313,AN10878,AN11500,AN3026,AN4317,AN6825,AN8488,AN8828
FALSE	FALSE	FALSE	TRUE	1	GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	0.01959	92	16	8.67	0.174	1.708	AN0163,AN0305,AN10701,AN1546,AN3095,AN4202,AN4238,AN4380,AN4685,AN6496,AN6687,AN7697,AN7766,AN8044,AN8836,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:0042274	ribosomal small subunit biogenesis	0.0208	70	27	6.59	0.386	1.682	AN0305,AN0421,AN0465,AN10719,AN1345,AN1434,AN2292,AN2759,AN3167,AN3172,AN3313,AN3745,AN4060,AN4226,AN4594,AN4872,AN5222,AN5702,AN5979,AN6171,AN6556,AN6561,AN6585,AN6632,AN7526,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	1	GO:0001300	chronological cell aging	0.02091	12	4	1.13	0.333	1.68	AN2246,AN4238,AN6225,AN6717
FALSE	FALSE	FALSE	TRUE	1	GO:0006415	translational termination	0.02091	12	4	1.13	0.333	1.68	AN12011,AN3462,AN7554,AN8853
FALSE	FALSE	FALSE	TRUE	1	GO:0006906	vesicle fusion	0.02091	12	4	1.13	0.333	1.68	AN10878,AN1229,AN1973,AN8488
FALSE	FALSE	FALSE	TRUE	1	GO:0009267	cellular response to starvation	0.02147	146	23	13.75	0.158	1.668	AN0163,AN0305,AN0953,AN0978,AN10701,AN1546,AN1732,AN2246,AN3095,AN4163,AN4202,AN4238,AN4380,AN4685,AN5057,AN5635,AN6496,AN6687,AN7697,AN7766,AN8044,AN8836,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:0090529	cell septum assembly	0.02163	35	9	3.3	0.257	1.665	AN10635,AN11032,AN1560,AN4085,AN5057,AN5518,AN5885,AN7032,AN8244
FALSE	FALSE	FALSE	TRUE	1	GO:0045835	negative regulation of meiotic nuclear division	0.02179	12	4	1.13	0.333	1.662	AN3806,AN4493,AN5494,AN5815
FALSE	FALSE	FALSE	TRUE	1	GO:1903313	positive regulation of mRNA metabolic process	0.02182	7	3	0.66	0.429	1.661	AN1521,AN4936,AN6632
FALSE	FALSE	FALSE	TRUE	1	GO:1903464	negative regulation of mitotic cell cycle DNA replication	0.02182	7	3	0.66	0.429	1.661	AN0872,AN1019,AN9113
FALSE	FALSE	FALSE	TRUE	1	GO:0020012	evasion or tolerance of host immune response	0.02182	7	3	0.66	0.429	1.661	AN1131,AN1158,AN7697
FALSE	FALSE	FALSE	TRUE	1	GO:0042401	cellular biogenic amine biosynthetic process	0.02182	7	3	0.66	0.429	1.661	AN0687,AN3634,AN3846
FALSE	FALSE	FALSE	TRUE	1	GO:0009226	nucleotide-sugar biosynthetic process	0.02182	7	3	0.66	0.429	1.661	AN10710,AN6182,AN9094
FALSE	FALSE	FALSE	TRUE	1	GO:0030011	maintenance of cell polarity	0.02182	7	3	0.66	0.429	1.661	AN2756,AN3735,AN4685
FALSE	FALSE	FALSE	TRUE	1	GO:0007534	gene conversion at mating-type locus	0.02182	7	3	0.66	0.429	1.661	AN10621,AN10755,AN4331
FALSE	FALSE	FALSE	TRUE	1	GO:0061587	transfer RNA gene-mediated silencing	0.02182	7	3	0.66	0.429	1.661	AN1546,AN2426,AN4493
FALSE	FALSE	FALSE	TRUE	1	GO:0031532	actin cytoskeleton reorganization	0.02182	7	3	0.66	0.429	1.661	AN1324,AN5686,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0043666	regulation of phosphoprotein phosphatase activity	0.02182	7	3	0.66	0.429	1.661	AN1168,AN1400,AN5814
FALSE	FALSE	FALSE	TRUE	1	GO:0007264	small GTPase mediated signal transduction	0.02205	86	20	8.1	0.233	1.657	AN0112,AN0113,AN0163,AN0999,AN11032,AN1560,AN3092,AN3735,AN3842,AN3934,AN4085,AN4167,AN4685,AN4743,AN4782,AN5020,AN5057,AN5787,AN6590,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0030010	establishment of cell polarity	0.02216	46	13	4.33	0.283	1.654	AN0268,AN11145,AN1171,AN12237,AN1324,AN2756,AN3622,AN3735,AN4685,AN4743,AN5020,AN7462,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0000469	cleavage involved in rRNA processing	0.02454	45	14	4.24	0.311	1.61	AN0305,AN0421,AN0776,AN11773,AN1434,AN2759,AN3167,AN3172,AN3745,AN6556,AN6561,AN6632,AN7424,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:0030838	positive regulation of actin filament polymerization	0.02478	24	7	2.26	0.292	1.606	AN0306,AN12237,AN1324,AN2317,AN4743,AN5686,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0045017	glycerolipid biosynthetic process	0.0248	50	9	4.71	0.18	1.606	AN0636,AN10701,AN11072,AN1263,AN2240,AN2261,AN4303,AN4992,AN6496
FALSE	FALSE	FALSE	TRUE	1	GO:0016973	poly(A)+ mRNA export from nucleus	0.02788	19	5	1.79	0.263	1.555	AN1157,AN1190,AN12491,AN4053,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:0006897	endocytosis	0.02897	64	12	6.03	0.188	1.538	AN0982,AN10743,AN10804,AN1089,AN2516,AN2756,AN3842,AN5020,AN5100,AN5606,AN5824,AN6598
FALSE	FALSE	FALSE	TRUE	1	GO:0006348	chromatin silencing at telomere	0.03109	43	9	4.05	0.209	1.507	AN1546,AN2973,AN4493,AN4891,AN6214,AN7461,AN8042,AN9116,AN9399
FALSE	FALSE	FALSE	TRUE	1	GO:0030490	maturation of SSU-rRNA	0.03126	60	23	5.65	0.383	1.505	AN0305,AN0421,AN0465,AN10719,AN1345,AN1434,AN2292,AN2759,AN3167,AN3172,AN3313,AN3745,AN4226,AN4594,AN4872,AN5222,AN6556,AN6561,AN6585,AN6632,AN7526,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	1	GO:0032880	regulation of protein localization	0.03217	50	11	4.71	0.22	1.493	AN1089,AN11032,AN11063,AN1324,AN1560,AN3648,AN4238,AN4993,AN5631,AN7296,AN8836
FALSE	FALSE	FALSE	TRUE	1	GO:0044114	development of symbiont in host	0.03251	8	3	0.75	0.375	1.488	AN3583,AN4238,AN8836
FALSE	FALSE	FALSE	TRUE	1	GO:1902402	signal transduction involved in mitotic DNA damage checkpoint	0.03251	8	3	0.75	0.375	1.488	AN0872,AN2246,AN5494
FALSE	FALSE	FALSE	TRUE	1	GO:0019388	galactose catabolic process	0.03251	8	3	0.75	0.375	1.488	AN0423,AN2867,AN6182
FALSE	FALSE	FALSE	TRUE	1	GO:0042276	error-prone translesion synthesis	0.03251	8	3	0.75	0.375	1.488	AN2163,AN3909,AN7439
FALSE	FALSE	FALSE	TRUE	1	GO:0017148	negative regulation of translation	0.03632	21	5	1.98	0.238	1.44	AN0974,AN1158,AN11773,AN2246,AN2856
FALSE	FALSE	FALSE	TRUE	1	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	0.03636	14	4	1.32	0.286	1.439	AN1560,AN4513,AN4804,AN5057
FALSE	FALSE	FALSE	TRUE	1	GO:0034629	cellular protein-containing complex localization	0.04173	21	5	1.98	0.238	1.38	AN2054,AN3437,AN4317,AN5057,AN7296
FALSE	FALSE	FALSE	TRUE	1	GO:0000398	mRNA splicing, via spliceosome	0.04238	45	10	4.24	0.222	1.373	AN0714,AN10007,AN10280,AN10557,AN10719,AN10944,AN4523,AN4936,AN6110,AN9362
FALSE	FALSE	FALSE	TRUE	1	GO:1901137	carbohydrate derivative biosynthetic process	0.04498	202	25	19.03	0.124	1.347	AN0104,AN0252,AN0636,AN0999,AN10032,AN10188,AN10710,AN11499,AN1683,AN2240,AN4380,AN4691,AN4830,AN5162,AN5842,AN6037,AN6182,AN6496,AN6711,AN7032,AN7123,AN8848,AN8872,AN8878,AN9094
FALSE	FALSE	FALSE	TRUE	1	GO:0007076	mitotic chromosome condensation	0.04537	15	4	1.41	0.267	1.343	AN0253,AN4597,AN5815,AN5899
FALSE	FALSE	FALSE	TRUE	1	GO:0045005	DNA-dependent DNA replication maintenance of fidelity	0.04538	27	5	2.54	0.185	1.343	AN10414,AN10621,AN5494,AN6896,AN7439
FALSE	FALSE	FALSE	TRUE	1	GO:0007095	mitotic G2 DNA damage checkpoint	0.04542	9	3	0.85	0.333	1.343	AN5494,AN6147,AN6896
FALSE	FALSE	FALSE	TRUE	1	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.04542	9	3	0.85	0.333	1.343	AN1019,AN4783,AN9113
FALSE	FALSE	FALSE	TRUE	1	GO:1904262	negative regulation of TORC1 signaling	0.04542	9	3	0.85	0.333	1.343	AN0953,AN2246,AN6590
FALSE	FALSE	FALSE	TRUE	1	GO:0060237	regulation of fungal-type cell wall organization	0.04542	9	3	0.85	0.333	1.343	AN1158,AN4167,AN4873
FALSE	FALSE	FALSE	TRUE	1	GO:0043392	negative regulation of DNA binding	0.04542	9	3	0.85	0.333	1.343	AN2143,AN7296,AN7554
FALSE	FALSE	FALSE	TRUE	1	GO:0006342	chromatin silencing	0.04572	89	22	8.38	0.247	1.34	AN0253,AN0297,AN10280,AN1039,AN10621,AN10635,AN1191,AN1491,AN1546,AN2426,AN2973,AN4493,AN4783,AN4891,AN6147,AN6214,AN6687,AN7461,AN8042,AN9116,AN9120,AN9399
FALSE	FALSE	FALSE	TRUE	1	GO:0045842	positive regulation of mitotic metaphase/anaphase transition	0.04599	15	4	1.41	0.267	1.337	AN1560,AN1922,AN4513,AN8013
FALSE	FALSE	FALSE	TRUE	1	GO:0044380	protein localization to cytoskeleton	0.04651	17	6	1.6	0.353	1.332	AN11032,AN12237,AN1560,AN4085,AN5057,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0010876	lipid localization	0.04654	42	8	3.96	0.19	1.332	AN1014,AN1059,AN10622,AN11072,AN4992,AN5100,AN5879,AN8836
FALSE	FALSE	FALSE	TRUE	1	GO:1902850	microtubule cytoskeleton organization involved in mitosis	0.04657	35	7	3.3	0.2	1.332	AN0316,AN0420,AN1560,AN4513,AN5057,AN8783,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0034968	histone lysine methylation	0.04658	26	6	2.45	0.231	1.332	AN10489,AN1191,AN2426,AN2850,AN6147,AN9399
FALSE	FALSE	TRUE	FALSE	2	GO:0009267	cellular response to starvation	0.0023	146	4	0.56	0.027	2.638	AN0463,AN3913,AN4611,AN8681
FALSE	FALSE	TRUE	FALSE	2	GO:0071028	nuclear mRNA surveillance	0.0229	6	1	0.02	0.167	1.64	AN0707
FALSE	FALSE	TRUE	FALSE	2	GO:0042891	antibiotic transport	0.0229	6	1	0.02	0.167	1.64	AN4313
FALSE	FALSE	TRUE	FALSE	2	GO:0030847	termination of RNA polymerase II transcription, exosome-dependent	0.0229	6	1	0.02	0.167	1.64	AN0707
FALSE	FALSE	TRUE	FALSE	2	GO:0015846	polyamine transport	0.0229	6	1	0.02	0.167	1.64	AN4313
FALSE	FALSE	TRUE	FALSE	2	GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process	0.0229	6	1	0.02	0.167	1.64	AN0707
FALSE	FALSE	TRUE	FALSE	2	GO:1900437	regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus	0.0229	6	1	0.02	0.167	1.64	AN3913
FALSE	FALSE	TRUE	FALSE	2	GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	0.0229	6	1	0.02	0.167	1.64	AN0707
FALSE	FALSE	TRUE	FALSE	2	GO:0046827	positive regulation of protein export from nucleus	0.0267	7	1	0.03	0.143	1.573	AN4862
