cluster	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
Cluster_1	GO:0034757	negative regulation of iron ion transport	0.03112	2	1	0.03	0.5	1.507	AN0176
Cluster_1	GO:0031388	organic acid phosphorylation	0.03112	2	1	0.03	0.5	1.507	AN2311
Cluster_1	GO:0007160	cell-matrix adhesion	0.03112	2	1	0.03	0.5	1.507	AN8041
Cluster_1	GO:0044407	single-species biofilm formation in or on host organism	0.03112	2	1	0.03	0.5	1.507	AN4052
Cluster_1	GO:1990344	secondary cell septum biogenesis	0.03112	2	1	0.03	0.5	1.507	AN3729
Cluster_1	GO:0071491	cellular response to red light	0.03112	2	1	0.03	0.5	1.507	AN1052
Cluster_1	GO:0010846	activation of reciprocal meiotic recombination	0.03112	2	1	0.03	0.5	1.507	AN2911
Cluster_1	GO:0031671	primary cell septum biogenesis	0.03112	2	1	0.03	0.5	1.507	AN3729
Cluster_1	GO:0030999	linear element assembly	0.03112	2	1	0.03	0.5	1.507	AN4563
Cluster_1	GO:0006437	tyrosyl-tRNA aminoacylation	0.03112	2	1	0.03	0.5	1.507	AN0057
Cluster_1	GO:0061417	negative regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.03112	2	1	0.03	0.5	1.507	AN2911
Cluster_1	GO:0045046	protein import into peroxisome membrane	0.03112	2	1	0.03	0.5	1.507	AN4899
Cluster_1	GO:0018158	protein oxidation	0.03112	2	1	0.03	0.5	1.507	AN9339
Cluster_1	GO:0006043	glucosamine catabolic process	0.03112	2	1	0.03	0.5	1.507	AN1418
Cluster_1	GO:0001080	nitrogen catabolite activation of transcription from RNA polymerase II promoter	0.03112	2	1	0.03	0.5	1.507	AN2944
Cluster_1	GO:0071242	cellular response to ammonium ion	0.03112	2	1	0.03	0.5	1.507	AN6730
Cluster_1	GO:0016577	histone demethylation	0.03112	2	1	0.03	0.5	1.507	AN1060
Cluster_1	GO:1900699	negative regulation of o-orsellinic acid biosynthetic process	0.03112	2	1	0.03	0.5	1.507	AN1052
Cluster_1	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.03827	73	5	1.14	0.068	1.417	AN0186,AN1037,AN1052,AN1632,AN6318
Cluster_1	GO:0000909	sporocarp development involved in sexual reproduction	0.03935	110	5	1.73	0.045	1.405	AN0098,AN1536,AN1848,AN2701,AN4935
Cluster_1	GO:0006915	apoptotic process	0.04225	21	2	0.33	0.095	1.374	AN7513,AN8041
Cluster_1	GO:0006099	tricarboxylic acid cycle	0.04225	21	2	0.33	0.095	1.374	AN2435,AN2436
Cluster_1	GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.04393	110	5	1.73	0.045	1.357	AN0098,AN1418,AN2130,AN5857,AN9492
Cluster_1	GO:0045807	positive regulation of endocytosis	0.04606	5	2	0.08	0.4	1.337	AN0056,AN3729
Cluster_1	GO:1904659	glucose transmembrane transport	0.04607	8	2	0.13	0.25	1.337	AN5860,AN6669
Cluster_1	GO:0019933	cAMP-mediated signaling	0.0461	14	2	0.22	0.143	1.336	AN2130,AN2911
Cluster_1	GO:0006694	steroid biosynthetic process	0.0462	39	2	0.61	0.051	1.335	AN2311,AN4243
Cluster_1	GO:0009051	pentose-phosphate shunt, oxidative branch	0.04632	3	1	0.05	0.333	1.334	AN6195
Cluster_1	GO:0070086	ubiquitin-dependent endocytosis	0.04632	3	1	0.05	0.333	1.334	AN0056
Cluster_1	GO:0000304	response to singlet oxygen	0.04632	3	1	0.05	0.333	1.334	AN7513
Cluster_1	GO:1903694	positive regulation of mitotic G1 cell cycle arrest in response to nitrogen starvation	0.04632	3	1	0.05	0.333	1.334	AN2911
Cluster_1	GO:0050708	regulation of protein secretion	0.04632	3	1	0.05	0.333	1.334	AN6195
Cluster_1	GO:0006741	NADP biosynthetic process	0.04632	3	1	0.05	0.333	1.334	AN6824
Cluster_1	GO:0015886	heme transport	0.04632	3	1	0.05	0.333	1.334	AN8041
Cluster_1	GO:0070794	negative regulation of conidiophore development	0.04632	3	1	0.05	0.333	1.334	AN1052
Cluster_1	GO:0032874	positive regulation of stress-activated MAPK cascade	0.04632	3	1	0.05	0.333	1.334	AN3102
Cluster_1	GO:0006542	glutamine biosynthetic process	0.04632	3	1	0.05	0.333	1.334	AN4159
Cluster_1	GO:0015671	oxygen transport	0.04632	3	1	0.05	0.333	1.334	AN4051
Cluster_1	GO:0006046	N-acetylglucosamine catabolic process	0.04632	3	1	0.05	0.333	1.334	AN1418
Cluster_1	GO:0006003	fructose 2,6-bisphosphate metabolic process	0.04632	3	1	0.05	0.333	1.334	AN5144
Cluster_1	GO:1900409	positive regulation of cellular response to oxidative stress	0.04632	3	1	0.05	0.333	1.334	AN1652
Cluster_1	GO:0042759	long-chain fatty acid biosynthetic process	0.04632	3	1	0.05	0.333	1.334	AN6126
Cluster_1	GO:0044011	single-species biofilm formation on inanimate substrate	0.04942	31	3	0.49	0.097	1.306	AN0098,AN2944,AN4052
Cluster_3	GO:0071470	cellular response to osmotic stress	9.4e-05	58	9	1.6	0.155	4.027	AN0554,AN0641,AN1800,AN2919,AN5746,AN6010,AN7895,AN8690,AN8692
Cluster_3	GO:0043335	protein unfolding	0.00076	2	2	0.06	1	3.119	AN0858,AN6010
Cluster_3	GO:0042026	protein refolding	0.00216	10	3	0.28	0.3	2.666	AN0858,AN2731,AN6010
Cluster_3	GO:0015813	L-glutamate transmembrane transport	0.00224	3	2	0.08	0.667	2.65	AN6118,AN8785
Cluster_3	GO:0006002	fructose 6-phosphate metabolic process	0.00224	3	2	0.08	0.667	2.65	AN3223,AN8689
Cluster_3	GO:0044416	induction by symbiont of host defense response	0.00381	12	3	0.33	0.25	2.419	AN5210,AN5525,AN5746
Cluster_3	GO:0030007	cellular potassium ion homeostasis	0.00439	4	2	0.11	0.5	2.358	AN8029,AN8830
Cluster_3	GO:0006828	manganese ion transport	0.00439	4	2	0.11	0.5	2.358	AN1612,AN4990
Cluster_3	GO:0043458	ethanol biosynthetic process involved in glucose fermentation to ethanol	0.00439	4	2	0.11	0.5	2.358	AN2286,AN4888
Cluster_3	GO:0015677	copper ion import	0.00439	4	2	0.11	0.5	2.358	AN3813,AN8683
Cluster_3	GO:0006675	mannosyl-inositol phosphorylceramide metabolic process	0.00439	4	2	0.11	0.5	2.358	AN0640,AN0918
Cluster_3	GO:0006874	cellular calcium ion homeostasis	0.0045	26	5	0.72	0.192	2.347	AN2919,AN4814,AN4920,AN4990,AN8830
Cluster_3	GO:0070795	positive regulation of conidiophore development	0.00719	5	2	0.14	0.4	2.143	AN1800,AN8741
Cluster_3	GO:0070798	positive regulation of cleistothecium development	0.00719	5	2	0.14	0.4	2.143	AN0641,AN8741
Cluster_3	GO:0009408	response to heat	0.00865	73	8	2.02	0.11	2.063	AN0858,AN1015,AN10507,AN2731,AN4702,AN4897,AN6849,AN9450
Cluster_3	GO:0042128	nitrate assimilation	0.01059	6	2	0.17	0.333	1.975	AN1006,AN1007
Cluster_3	GO:0006636	unsaturated fatty acid biosynthetic process	0.01059	6	2	0.17	0.333	1.975	AN4135,AN6731
Cluster_3	GO:0030433	ubiquitin-dependent ERAD pathway	0.01676	20	3	0.55	0.15	1.776	AN2731,AN4439,AN5747
Cluster_3	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.01797	73	7	2.02	0.096	1.745	AN0641,AN10030,AN2919,AN4897,AN5131,AN6731,AN8741
Cluster_3	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	0.01905	8	2	0.22	0.25	1.72	AN0565,AN0919
Cluster_3	GO:0033212	iron assimilation	0.01905	8	2	0.22	0.25	1.72	AN0607,AN5823
Cluster_3	GO:0006817	phosphate ion transport	0.01905	8	2	0.22	0.25	1.72	AN1612,AN3781
Cluster_3	GO:0005982	starch metabolic process	0.02405	9	2	0.25	0.222	1.619	AN2016,AN2017
Cluster_3	GO:0009409	response to cold	0.02405	9	2	0.25	0.222	1.619	AN4702,AN9450
Cluster_3	GO:0006096	glycolytic process	0.02431	25	4	0.69	0.16	1.614	AN3223,AN5210,AN5746,AN8689
Cluster_3	GO:0006811	ion transport	0.02661	307	20	8.47	0.065	1.575	AN11705,AN1612,AN2251,AN3345,AN3347,AN3361,AN3781,AN3799,AN3813,AN4295,AN4328,AN4814,AN4859,AN4920,AN4990,AN6118,AN8029,AN8647,AN8683,AN8785
Cluster_3	GO:0019660	glycolytic fermentation	0.02743	5	3	0.14	0.6	1.562	AN2286,AN4888,AN8689
Cluster_3	GO:0031169	ferrichrome biosynthetic process	0.02752	5	2	0.14	0.4	1.56	AN0607,AN5823
Cluster_3	GO:0045991	carbon catabolite activation of transcription	0.02753	7	2	0.19	0.286	1.56	AN0554,AN4785
Cluster_3	GO:0034620	cellular response to unfolded protein	0.02754	13	2	0.36	0.154	1.56	AN10507,AN9397
Cluster_3	GO:0070590	spore wall biogenesis	0.02757	24	2	0.66	0.083	1.56	AN4419,AN5586
Cluster_3	GO:0016095	polyprenol catabolic process	0.0276	1	1	0.03	1	1.559	AN4071
Cluster_3	GO:1904728	positive regulation of replicative senescence	0.0276	1	1	0.03	1	1.559	AN1612
Cluster_3	GO:1902269	positive regulation of polyamine transmembrane transport	0.0276	1	1	0.03	1	1.559	AN4328
Cluster_3	GO:1902274	positive regulation of (R)-carnitine transmembrane transport	0.0276	1	1	0.03	1	1.559	AN4328
Cluster_3	GO:0015720	allantoin transport	0.0276	1	1	0.03	1	1.559	AN0660
Cluster_3	GO:0043200	response to amino acid	0.0276	1	1	0.03	1	1.559	AN11921
Cluster_3	GO:1901512	(-)-microperfuranone biosynthetic process	0.0276	1	1	0.03	1	1.559	AN3396
Cluster_3	GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	0.0276	1	1	0.03	1	1.559	AN9397
Cluster_3	GO:0006880	intracellular sequestering of iron ion	0.0276	1	1	0.03	1	1.559	AN0607
Cluster_3	GO:0019295	coenzyme M biosynthetic process	0.0276	1	1	0.03	1	1.559	AN10197
Cluster_3	GO:1990573	potassium ion import across plasma membrane	0.0276	1	1	0.03	1	1.559	AN8029
Cluster_3	GO:0070778	L-aspartate transmembrane transport	0.0276	1	1	0.03	1	1.559	AN6118
Cluster_3	GO:0034089	establishment of meiotic sister chromatid cohesion	0.0276	1	1	0.03	1	1.559	AN4360
Cluster_3	GO:0035719	tRNA import into nucleus	0.0276	1	1	0.03	1	1.559	AN2731
Cluster_3	GO:0044209	AMP salvage	0.0276	1	1	0.03	1	1.559	AN9083
Cluster_3	GO:0030388	fructose 1,6-bisphosphate metabolic process	0.0276	1	1	0.03	1	1.559	AN3223
Cluster_3	GO:1902801	regulation of heterochromatin island assembly	0.0276	1	1	0.03	1	1.559	AN5747
Cluster_3	GO:1900854	positive regulation of terrequinone A biosynthetic process	0.0276	1	1	0.03	1	1.559	AN8741
Cluster_3	GO:0032468	Golgi calcium ion homeostasis	0.0276	1	1	0.03	1	1.559	AN4814
Cluster_3	GO:0040010	positive regulation of growth rate	0.0276	1	1	0.03	1	1.559	AN4419
Cluster_3	GO:0035865	cellular response to potassium ion	0.0276	1	1	0.03	1	1.559	AN2919
Cluster_3	GO:0006532	aspartate biosynthetic process	0.0276	1	1	0.03	1	1.559	AN6048
Cluster_3	GO:0006168	adenine salvage	0.0276	1	1	0.03	1	1.559	AN9083
Cluster_3	GO:0032079	positive regulation of endodeoxyribonuclease activity	0.0276	1	1	0.03	1	1.559	AN6010
Cluster_3	GO:0071211	protein targeting to vacuole involved in autophagy	0.0276	1	1	0.03	1	1.559	AN5131
Cluster_3	GO:2000786	positive regulation of autophagosome assembly	0.0276	1	1	0.03	1	1.559	AN4419
Cluster_3	GO:0018106	peptidyl-histidine phosphorylation	0.0276	1	1	0.03	1	1.559	AN1800
Cluster_3	GO:0010230	alternative respiration	0.0276	1	1	0.03	1	1.559	AN2099
Cluster_3	GO:0001113	transcriptional open complex formation at RNA polymerase II promoter	0.0276	1	1	0.03	1	1.559	AN5752
Cluster_3	GO:1900695	regulation of N',N'',N'''-triacetylfusarinine C biosynthetic process	0.0276	1	1	0.03	1	1.559	AN2855
Cluster_3	GO:0006633	fatty acid biosynthetic process	0.02962	49	6	1.35	0.122	1.528	AN0640,AN0918,AN4135,AN6731,AN7873,AN7880
Cluster_3	GO:0006094	gluconeogenesis	0.03388	26	3	0.72	0.115	1.47	AN3223,AN5210,AN5746
Cluster_3	GO:0075308	negative regulation of conidium formation	0.03544	11	2	0.3	0.182	1.451	AN5156,AN8129
Cluster_3	GO:0009251	glucan catabolic process	0.03707	30	4	0.83	0.133	1.431	AN1015,AN1551,AN7533,AN7950
Cluster_3	GO:0006013	mannose metabolic process	0.04176	12	2	0.33	0.167	1.379	AN5586,AN8689
Cluster_3	GO:0000768	syncytium formation by plasma membrane fusion	0.04484	29	3	0.8	0.103	1.348	AN4702,AN5131,AN5169
Cluster_4	GO:1903833	positive regulation of cellular response to amino acid starvation	0.004	7	2	0.1	0.286	2.398	AN10171,AN4080
Cluster_4	GO:0006313	transposition, DNA-mediated	0.0053	8	2	0.11	0.25	2.276	AN0263,AN5956
Cluster_4	GO:0001766	membrane raft polarization	0.0142	1	1	0.01	1	1.848	AN6542
Cluster_4	GO:0071361	cellular response to ethanol	0.0142	1	1	0.01	1	1.848	AN9340
Cluster_4	GO:0046836	glycolipid transport	0.0142	1	1	0.01	1	1.848	AN3147
Cluster_4	GO:0010961	cellular magnesium ion homeostasis	0.0142	1	1	0.01	1	1.848	AN5856
Cluster_4	GO:1903360	protein localization to lateral cortical node	0.0142	1	1	0.01	1	1.848	AN0134
Cluster_4	GO:1903359	lateral cortical node assembly	0.0142	1	1	0.01	1	1.848	AN0134
Cluster_4	GO:0018149	peptide cross-linking	0.0142	1	1	0.01	1	1.848	AN6092
Cluster_4	GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	0.0142	1	1	0.01	1	1.848	AN7103
Cluster_4	GO:0055092	sterol homeostasis	0.0142	1	1	0.01	1	1.848	AN10367
Cluster_4	GO:0006729	tetrahydrobiopterin biosynthetic process	0.0142	1	1	0.01	1	1.848	AN6276
Cluster_4	GO:0018057	peptidyl-lysine oxidation	0.0142	1	1	0.01	1	1.848	AN6092
Cluster_4	GO:0015811	L-cystine transport	0.0142	1	1	0.01	1	1.848	AN0275
Cluster_4	GO:0120009	intermembrane lipid transfer	0.0142	1	1	0.01	1	1.848	AN3147
Cluster_4	GO:0043610	regulation of carbohydrate utilization	0.0142	1	1	0.01	1	1.848	AN1416
Cluster_4	GO:0001208	histone H2A-H2B dimer displacement	0.0142	1	1	0.01	1	1.848	AN7103
Cluster_4	GO:0070301	cellular response to hydrogen peroxide	0.0265	18	2	0.26	0.111	1.577	AN0609,AN3688
Cluster_4	GO:0042761	very long-chain fatty acid biosynthetic process	0.0282	2	1	0.03	0.5	1.55	AN5861
Cluster_4	GO:2000785	regulation of autophagosome assembly	0.0282	2	1	0.03	0.5	1.55	AN10171
Cluster_4	GO:0070458	cellular detoxification of nitrogen compound	0.0282	2	1	0.03	0.5	1.55	AN7169
Cluster_4	GO:0007618	mating	0.0282	2	1	0.03	0.5	1.55	AN3152
Cluster_4	GO:0070899	mitochondrial tRNA wobble uridine modification	0.0282	2	1	0.03	0.5	1.55	AN6577
Cluster_4	GO:0071497	cellular response to freezing	0.0282	2	1	0.03	0.5	1.55	AN9340
Cluster_4	GO:0071465	cellular response to desiccation	0.0282	2	1	0.03	0.5	1.55	AN9340
Cluster_4	GO:0006428	isoleucyl-tRNA aminoacylation	0.0282	2	1	0.03	0.5	1.55	AN10393
Cluster_4	GO:1902450	negative regulation of ATP-dependent DNA helicase activity	0.0282	2	1	0.03	0.5	1.55	AN6070
Cluster_4	GO:1903830	magnesium ion transmembrane transport	0.0282	2	1	0.03	0.5	1.55	AN5856
Cluster_4	GO:0043486	histone exchange	0.0293	19	2	0.27	0.105	1.533	AN6542,AN7475
Cluster_4	GO:0030447	filamentous growth	0.0377	391	9	5.56	0.023	1.424	AN10171,AN1416,AN3688,AN4080,AN4745,AN5774,AN6058,AN6541,AN6542
Cluster_4	GO:0051410	detoxification of nitrogen compound	0.0418	5	2	0.07	0.4	1.379	AN5696,AN7169
Cluster_4	GO:0042758	long-chain fatty acid catabolic process	0.042	3	1	0.04	0.333	1.377	AN6752
Cluster_4	GO:0071500	cellular response to nitrosative stress	0.042	3	1	0.04	0.333	1.377	AN7169
Cluster_4	GO:0015680	intracellular copper ion transport	0.042	3	1	0.04	0.333	1.377	AN6045
Cluster_4	GO:0015671	oxygen transport	0.042	3	1	0.04	0.333	1.377	AN7169
Cluster_4	GO:0044571	[2Fe-2S] cluster assembly	0.042	3	1	0.04	0.333	1.377	AN4655
Cluster_4	GO:0006973	intracellular accumulation of glycerol	0.042	3	1	0.04	0.333	1.377	AN5563
Cluster_4	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	0.042	3	1	0.04	0.333	1.377	AN3688
Cluster_4	GO:0097316	cellular response to N-acetyl-D-glucosamine	0.042	3	1	0.04	0.333	1.377	AN1416
Cluster_4	GO:0071468	cellular response to acidic pH	0.042	3	1	0.04	0.333	1.377	AN4745
Cluster_4	GO:0006798	polyphosphate catabolic process	0.042	3	1	0.04	0.333	1.377	AN1148
Cluster_4	GO:0006642	triglyceride mobilization	0.042	3	1	0.04	0.333	1.377	AN1713
Cluster_4	GO:0000304	response to singlet oxygen	0.042	3	1	0.04	0.333	1.377	AN3688
Cluster_4	GO:1900444	negative regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.042	3	1	0.04	0.333	1.377	AN4745
Cluster_4	GO:0030497	fatty acid elongation	0.042	3	1	0.04	0.333	1.377	AN5861
Cluster_4	GO:0015074	DNA integration	0.0487	25	2	0.36	0.08	1.312	AN0263,AN5956
Cluster_5	GO:0075306	regulation of conidium formation	2.6e-05	36	7	1.2	0.194	4.585	AN0055,AN0363,AN0651,AN2421,AN5836,AN5893,AN6243
Cluster_5	GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00013	16	5	0.53	0.312	3.886	AN0363,AN0807,AN3719,AN5893,AN6243
Cluster_5	GO:0006355	regulation of transcription, DNA-templated	0.00029	687	46	22.93	0.067	3.538	AN0410,AN0928,AN10120,AN10128,AN11891,AN1217,AN1402,AN1414,AN1425,AN1518,AN1924,AN1984,AN2036,AN2290,AN2421,AN2984,AN3075,AN3101,AN3369,AN3433,AN3506,AN3587,AN3675,AN3730,AN3785,AN4034,AN4134,AN4210,AN4324,AN4479,AN4501,AN4987,AN5170,AN5220,AN5775,AN5836,AN5859,AN5893,AN5955,AN6733,AN6837,AN7572,AN8039,AN8168,AN8694,AN8825
Cluster_5	GO:0030448	hyphal growth	0.00055	188	16	6.28	0.085	3.26	AN0410,AN0651,AN1555,AN3719,AN3730,AN4987,AN5457,AN5660,AN5832,AN5836,AN6046,AN6243,AN6688,AN6697,AN7572,AN8831
Cluster_5	GO:0006109	regulation of carbohydrate metabolic process	0.00067	37	6	1.24	0.162	3.174	AN0410,AN2421,AN3369,AN4034,AN4501,AN4987
Cluster_5	GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore	0.00094	14	4	0.47	0.286	3.027	AN0363,AN5170,AN6243,AN6578
Cluster_5	GO:0019953	sexual reproduction	0.00101	272	27	9.08	0.099	2.996	AN0055,AN0078,AN0363,AN0410,AN0651,AN0807,AN0931,AN11891,AN1402,AN1555,AN2059,AN2290,AN2505,AN3148,AN3719,AN4169,AN4390,AN4501,AN5170,AN5457,AN5836,AN5893,AN6046,AN6243,AN6578,AN7388,AN8825
Cluster_5	GO:0030436	asexual sporulation	0.00105	203	26	6.78	0.128	2.979	AN0055,AN0363,AN0410,AN0453,AN0651,AN0931,AN11891,AN1555,AN2059,AN2421,AN2505,AN2740,AN3719,AN4501,AN4674,AN4695,AN4987,AN5457,AN5660,AN5757,AN5836,AN5893,AN6046,AN6243,AN6578,AN8945
Cluster_5	GO:0042939	tripeptide transport	0.00111	8	3	0.27	0.375	2.955	AN3408,AN4517,AN8915
Cluster_5	GO:0036278	positive regulation of transcription from RNA polymerase II promoter in response to nitrogen starvation	0.00111	2	2	0.07	1	2.955	AN3675,AN4987
Cluster_5	GO:0043945	positive regulation of asexual sporulation resulting in formation of a cellular spore	0.00124	15	4	0.5	0.267	2.907	AN4987,AN5836,AN6578,AN8945
Cluster_5	GO:0040009	regulation of growth rate	0.0017	39	6	1.3	0.154	2.77	AN0651,AN2290,AN3719,AN5588,AN5757,AN8825
Cluster_5	GO:0070787	conidiophore development	0.00281	83	10	2.77	0.12	2.551	AN0363,AN0928,AN3719,AN4479,AN5660,AN5836,AN6243,AN6688,AN7572,AN8547
Cluster_5	GO:0061406	positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation	0.00326	3	2	0.1	0.667	2.487	AN4987,AN7572
Cluster_5	GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.00413	146	20	4.87	0.137	2.384	AN0055,AN0078,AN0363,AN0410,AN0651,AN0807,AN0931,AN11891,AN1555,AN2059,AN2505,AN3148,AN3719,AN4169,AN4390,AN4501,AN5170,AN5836,AN6243,AN6578
Cluster_5	GO:0009847	spore germination	0.00547	56	7	1.87	0.125	2.262	AN0363,AN2421,AN3719,AN4501,AN4544,AN5836,AN6046
Cluster_5	GO:0000909	sporocarp development involved in sexual reproduction	0.00572	110	11	3.67	0.1	2.243	AN0410,AN0651,AN0931,AN1402,AN2290,AN2505,AN3719,AN5457,AN5836,AN6046,AN6243
Cluster_5	GO:0033246	positive regulation of penicillin metabolic process	0.00635	11	3	0.37	0.273	2.197	AN0651,AN0807,AN3719
