hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
TRUE	FALSE	3	03420	Nucleotide excision repair	6	36	0.17	0.0442483610067029	0.297126919016182	AN3797.2/AN3890.2/AN4331.2/AN6303.2/AN8201.2/AN8285.2
TRUE	FALSE	3	01040	Biosynthesis of unsaturated fatty acids	3	15	0.2	0.0451369057225683	0.297126919016182	AN1968.2/AN4135.2/AN5861.2
TRUE	FALSE	3	00261	Monobactam biosynthesis	1	4	0.25	0.0467916407899499	0.297126919016182	AN4793.2
TRUE	FALSE	3	00591	Linoleic acid metabolism	1	4	0.25	0.0467916407899499	0.297126919016182	AN1967.2
TRUE	TRUE	4	00440	Phosphonate and phosphinate metabolism	3	3	1	0	0	AN1357.2/AN4303.2/AN4778.2
TRUE	TRUE	4	00472	D-Arginine and D-ornithine metabolism	1	1	1	0	0	AN0174.2
TRUE	TRUE	4	00904	Diterpenoid biosynthesis	1	1	1	0	0	AN1598.2
TRUE	TRUE	4	01100	Metabolic pathways	355	904	0.39	1.75896918586852e-12	5.58472716513255e-11	AN0034.2/AN0067.2/AN0121.2/AN0174.2/AN0179.2/AN0240.2/AN0252.2/AN0259.2/AN0260.2/AN0270.2/AN0271.2/AN0285.2/AN0299.2/AN0321.2/AN0357.2/AN0423.2/AN0443.2/AN0451.2/AN0490.2/AN0494.2/AN0554.2/AN0565.2/AN0593.2/AN0636.2/AN0640.2/AN0654.2/AN0664.2/AN0667.2/AN0687.2/AN0688.2/AN0774.2/AN0775.2/AN0787.2/AN0797.2/AN0802.2/AN0809.2/AN0827.2/AN0840.2/AN0893.2/AN0896.2/AN0912.2/AN0929.2/AN1003.2/AN1015.2/AN1102.2/AN1140.2/AN1165.2/AN1198.2/AN1222.2/AN1226.2/AN1246.2/AN1263.2/AN1342.2/AN1357.2/AN1376.2/AN1403.2/AN1416.2/AN1418.2/AN1430.2/AN1446.2/AN1521.2/AN1523.2/AN1598.2/AN1624.2/AN1683.2/AN1713.2/AN1722.2/AN1745.2/AN1752.2/AN1769.2/AN1778.2/AN1854.2/AN1895.2/AN1896.2/AN1897.2/AN1899.2/AN1918.2/AN1923.2/AN1989.2/AN1990.2/AN1993.2/AN1999.2/AN2017.2/AN2045.2/AN2114.2/AN2135.2/AN2235.2/AN2243.2/AN2248.2/AN2284.2/AN2311.2/AN2314.2/AN2332.2/AN2335.2/AN2336.2/AN2414.2/AN2415.2/AN2435.2/AN2436.2/AN2440.2/AN2446.2/AN2463.2/AN2464.2/AN2508.2/AN2509.2/AN2526.2/AN2532.2/AN2623.2/AN2666.2/AN2723.2/AN2766.2/AN2793.2/AN2851.2/AN2858.2/AN2859.2/AN2867.2/AN2875.2/AN2900.2/AN2914.2/AN2916.2/AN2981.2/AN2998.2/AN2999.2/AN3031.2/AN3033.2/AN3058.2/AN3067.2/AN3150.2/AN3177.2/AN3184.2/AN3188.2/AN3222.2/AN3223.2/AN3308.2/AN3431.2/AN3432.2/AN3456.2/AN3466.2/AN3467.2/AN3569.2/AN3586.2/AN3591.2/AN3593.2/AN3626.2/AN3634.2/AN3638.2/AN3639.2/AN3641.2/AN3748.2/AN3817.2/AN3829.2/AN3830.2/AN3841.2/AN3846.2/AN3869.2/AN3879.2/AN3894.2/AN3901.2/AN3928.2/AN3933.2/AN3954.2/AN4042.2/AN4054.2/AN4081.2/AN4102.2/AN4159.2/AN4219.2/AN4234.2/AN4245.2/AN4255.2/AN4258.2/AN4269.2/AN4288.2/AN4294.2/AN4303.2/AN4323.2/AN4332.2/AN4348.2/AN4353.2/AN4376.2/AN4384.2/AN4388.2/AN4397.2/AN4401.2/AN4414.2/AN4424.2/AN4430.2/AN4439.2/AN4443.2/AN4462.2/AN4464.2/AN4525.2/AN4532.2/AN4569.2/AN4603.2/AN4690.2/AN4716.2/AN4727.2/AN4769.2/AN4778.2/AN4829.2/AN4830.2/AN4843.2/AN4864.2/AN4871.2/AN4923.2/AN4956.2/AN4957.2/AN4992.2/AN5077.2/AN5130.2/AN5134.2/AN5159.2/AN5162.2/AN5200.2/AN5206.2/AN5210.2/AN5447.2/AN5523.2/AN5525.2/AN5566.2/AN5585.2/AN5586.2/AN5589.2/AN5599.2/AN5604.2/AN5613.2/AN5626.2/AN5634.2/AN5635.2/AN5644.2/AN5646.2/AN5652.2/AN5658.2/AN5698.2/AN5701.2/AN5725.2/AN5731.2/AN5732.2/AN5746.2/AN5749.2/AN5820.2/AN5830.2/AN5867.2/AN5886.2/AN5888.2/AN5907.2/AN5909.2/AN5916.2/AN5939.2/AN5952.2/AN5957.2/AN5959.2/AN5976.2/AN5986.2/AN5999.2/AN6014.2/AN6032.2/AN6035.2/AN6037.2/AN6048.2/AN6126.2/AN6127.2/AN6159.2/AN6168.2/AN6182.2/AN6197.2/AN6209.2/AN6211.2/AN6231.2/AN6338.2/AN6346.2/AN6499.2/AN6506.2/AN6521.2/AN6525.2/AN6536.2/AN6541.2/AN6557.2/AN6558.2/AN6589.2/AN6643.2/AN6650.2/AN6653.2/AN6712.2/AN6752.2/AN6824.2/AN6857.2/AN6973.2/AN7008.2/AN7028.2/AN7146.2/AN7193.2/AN7325.2/AN7334.2/AN7387.2/AN7388.2/AN7429.2/AN7439.2/AN7451.2/AN7469.2/AN7564.2/AN7588.2/AN7600.2/AN7632.2/AN7684.2/AN7722.2/AN7752.2/AN7873.2/AN7878.2/AN7880.2/AN8009.2/AN8010.2/AN8041.2/AN8078.2/AN8117.2/AN8118.2/AN8121.2/AN8188.2/AN8203.2/AN8204.2/AN8231.2/AN8275.2/AN8277.2/AN8280.2/AN8288.2/AN8546.2/AN8566.2/AN8639.2/AN8689.2/AN8707.2/AN8755.2/AN8763.2/AN8770.2/AN8790.2/AN8793.2/AN8843.2/AN8859.2/AN8861.2/AN8866.2/AN8869.2/AN8953.2/AN9064.2/AN9083.2/AN9094.2/AN9102.2/AN9107.2/AN9116.2/AN9125.2/AN9148.2/AN9157.2/AN9388.2/AN9407.2/AN9408.2/AN9522.2
TRUE	TRUE	4	04011	MAPK signaling pathway - yeast	44	61	0.72	1.56704327110755e-08	3.98028990861317e-07	AN0081.2/AN0134.2/AN0351.2/AN0931.2/AN1017.2/AN1025.2/AN1339.2/AN1800.2/AN2005.2/AN2067.2/AN2269.2/AN2290.2/AN2522.2/AN2742.2/AN2766.2/AN2911.2/AN2984.2/AN3422.2/AN3719.2/AN3729.2/AN3941.2/AN4182.2/AN4189.2/AN4501.2/AN4544.2/AN4668.2/AN5660.2/AN5740.2/AN5744.2/AN5757.2/AN5822.2/AN5893.2/AN5918.2/AN6505.2/AN6892.2/AN6982.2/AN7030.2/AN7252.2/AN7650.2/AN7698.2/AN7743.2/AN8553.2/AN8676.2/AN9339.2
TRUE	TRUE	4	04146	Peroxisome	34	52	0.65	2.00193865710342e-05	0.000423743682420223	AN0174.2/AN0241.2/AN1014.2/AN1059.2/AN1262.2/AN1342.2/AN1483.2/AN1511.2/AN2281.2/AN2529.2/AN2925.2/AN2999.2/AN3412.2/AN3687.2/AN3869.2/AN4056.2/AN4353.2/AN4899.2/AN5113.2/AN5148.2/AN5613.2/AN5646.2/AN5681.2/AN5698.2/AN5918.2/AN5991.2/AN6014.2/AN6279.2/AN6752.2/AN8204.2/AN8280.2/AN8553.2/AN9339.2/AN9522.2
TRUE	TRUE	4	01210	2-Oxocarboxylic acid metabolism	29	43	0.67	2.88029748214734e-05	0.000522568257475304	AN0840.2/AN0912.2/AN1003.2/AN1923.2/AN1990.2/AN1993.2/AN2526.2/AN2793.2/AN2999.2/AN3894.2/AN4323.2/AN4430.2/AN4956.2/AN5206.2/AN5525.2/AN5749.2/AN5867.2/AN5886.2/AN5957.2/AN6048.2/AN6338.2/AN6346.2/AN6521.2/AN6650.2/AN7722.2/AN7878.2/AN8275.2/AN8770.2/AN8859.2
TRUE	TRUE	4	04933	AGE-RAGE signaling pathway in diabetic complications	9	10	0.9	7.59258661847104e-05	0.00120532312568228	AN0106.2/AN0182.2/AN0664.2/AN1017.2/AN3719.2/AN4668.2/AN4743.2/AN5457.2/AN5832.2
TRUE	TRUE	4	01110	Biosynthesis of secondary metabolites	157	358	0.44	0.00012204763242959	0.00172222770206199	AN0121.2/AN0240.2/AN0259.2/AN0285.2/AN0297.2/AN0351.2/AN0554.2/AN0654.2/AN0667.2/AN0688.2/AN0775.2/AN0797.2/AN0802.2/AN0840.2/AN0896.2/AN0912.2/AN1003.2/AN1015.2/AN1198.2/AN1222.2/AN1246.2/AN1342.2/AN1376.2/AN1396.2/AN1403.2/AN1713.2/AN1722.2/AN1778.2/AN1918.2/AN1993.2/AN1999.2/AN2284.2/AN2311.2/AN2314.2/AN2332.2/AN2336.2/AN2435.2/AN2436.2/AN2440.2/AN2526.2/AN2532.2/AN2723.2/AN2793.2/AN2867.2/AN2875.2/AN2914.2/AN2916.2/AN2981.2/AN2999.2/AN3031.2/AN3058.2/AN3177.2/AN3184.2/AN3188.2/AN3223.2/AN3432.2/AN3456.2/AN3466.2/AN3586.2/AN3626.2/AN3634.2/AN3638.2/AN3639.2/AN3641.2/AN3748.2/AN3817.2/AN3830.2/AN3846.2/AN3869.2/AN3879.2/AN3954.2/AN4054.2/AN4102.2/AN4255.2/AN4323.2/AN4348.2/AN4401.2/AN4414.2/AN4430.2/AN4443.2/AN4464.2/AN4569.2/AN4778.2/AN4923.2/AN4956.2/AN5130.2/AN5134.2/AN5159.2/AN5162.2/AN5210.2/AN5447.2/AN5525.2/AN5586.2/AN5599.2/AN5604.2/AN5613.2/AN5626.2/AN5634.2/AN5646.2/AN5698.2/AN5701.2/AN5731.2/AN5746.2/AN5749.2/AN5867.2/AN5886.2/AN5907.2/AN5916.2/AN5918.2/AN5939.2/AN5957.2/AN5959.2/AN5976.2/AN6037.2/AN6048.2/AN6126.2/AN6209.2/AN6211.2/AN6231.2/AN6338.2/AN6346.2/AN6499.2/AN6506.2/AN6536.2/AN6541.2/AN6650.2/AN6653.2/AN6712.2/AN6752.2/AN7146.2/AN7334.2/AN7387.2/AN7388.2/AN7469.2/AN7564.2/AN7588.2/AN7632.2/AN7722.2/AN7752.2/AN7878.2/AN8041.2/AN8117.2/AN8121.2/AN8275.2/AN8277.2/AN8546.2/AN8553.2/AN8689.2/AN8707.2/AN8755.2/AN8770.2/AN8793.2/AN8843.2/AN8859.2/AN8878.2/AN9339.2/AN9388.2
TRUE	TRUE	4	04111	Cell cycle - yeast	42	73	0.58	0.00022701947364574	0.0028831473153009	AN0134.2/AN0228.2/AN0814.2/AN0872.2/AN1867.2/AN2143.2/AN2296.2/AN2302.2/AN2491.2/AN2927.2/AN2965.2/AN3450.2/AN3451.2/AN3710.2/AN3941.2/AN3946.2/AN4085.2/AN4182.2/AN4265.2/AN4310.2/AN4571.2/AN4597.2/AN4873.2/AN5057.2/AN5494.2/AN5517.2/AN5676.2/AN5822.2/AN5899.2/AN5992.2/AN6070.2/AN6217.2/AN6364.2/AN6505.2/AN7465.2/AN7499.2/AN7723.2/AN7994.2/AN8676.2/AN8783.2/AN8844.2/AN9424.2
TRUE	TRUE	4	01230	Biosynthesis of amino acids	66	127	0.52	0.000278692547471807	0.00321763213899268	AN0240.2/AN0688.2/AN0797.2/AN0840.2/AN0912.2/AN1003.2/AN1222.2/AN1246.2/AN1446.2/AN1923.2/AN1990.2/AN1993.2/AN2440.2/AN2526.2/AN2723.2/AN2793.2/AN2875.2/AN2914.2/AN2999.2/AN3031.2/AN3058.2/AN3223.2/AN3456.2/AN3634.2/AN3748.2/AN3830.2/AN3894.2/AN4159.2/AN4323.2/AN4401.2/AN4430.2/AN4443.2/AN4462.2/AN4956.2/AN5134.2/AN5206.2/AN5210.2/AN5525.2/AN5701.2/AN5731.2/AN5746.2/AN5749.2/AN5820.2/AN5867.2/AN5886.2/AN5907.2/AN5957.2/AN6048.2/AN6231.2/AN6338.2/AN6346.2/AN6521.2/AN6536.2/AN6650.2/AN7387.2/AN7564.2/AN7588.2/AN7722.2/AN7878.2/AN8041.2/AN8275.2/AN8277.2/AN8770.2/AN8843.2/AN8859.2/AN8866.2
TRUE	TRUE	4	01200	Carbon metabolism	58	111	0.52	0.000565906362028648	0.00598917566480319	AN0034.2/AN0240.2/AN0285.2/AN0688.2/AN0896.2/AN1003.2/AN1198.2/AN1246.2/AN1342.2/AN1918.2/AN1923.2/AN1993.2/AN2332.2/AN2440.2/AN2875.2/AN2916.2/AN2981.2/AN2999.2/AN3058.2/AN3223.2/AN3466.2/AN3591.2/AN3641.2/AN3830.2/AN3954.2/AN4255.2/AN4462.2/AN5162.2/AN5210.2/AN5525.2/AN5604.2/AN5626.2/AN5634.2/AN5746.2/AN5907.2/AN5916.2/AN5918.2/AN6037.2/AN6048.2/AN6168.2/AN6499.2/AN6525.2/AN6650.2/AN6653.2/AN6933.2/AN7588.2/AN7632.2/AN8041.2/AN8275.2/AN8277.2/AN8553.2/AN8689.2/AN8707.2/AN8755.2/AN8782.2/AN8793.2/AN8866.2/AN9339.2
TRUE	TRUE	4	01130	Biosynthesis of antibiotics	121	270	0.45	0.000779413794181782	0.00761427322008356	AN0174.2/AN0240.2/AN0259.2/AN0285.2/AN0451.2/AN0554.2/AN0654.2/AN0667.2/AN0688.2/AN0896.2/AN1003.2/AN1198.2/AN1246.2/AN1342.2/AN1428.2/AN1446.2/AN1769.2/AN1918.2/AN1990.2/AN1993.2/AN2002.2/AN2311.2/AN2332.2/AN2435.2/AN2436.2/AN2440.2/AN2526.2/AN2623.2/AN2867.2/AN2875.2/AN2914.2/AN2916.2/AN2981.2/AN2999.2/AN3058.2/AN3184.2/AN3223.2/AN3432.2/AN3456.2/AN3466.2/AN3634.2/AN3638.2/AN3639.2/AN3641.2/AN3817.2/AN3830.2/AN3846.2/AN3869.2/AN3894.2/AN3954.2/AN4042.2/AN4054.2/AN4234.2/AN4255.2/AN4294.2/AN4323.2/AN4348.2/AN4414.2/AN4430.2/AN4464.2/AN4769.2/AN4923.2/AN4956.2/AN5134.2/AN5159.2/AN5162.2/AN5206.2/AN5210.2/AN5525.2/AN5565.2/AN5585.2/AN5604.2/AN5626.2/AN5646.2/AN5698.2/AN5701.2/AN5731.2/AN5746.2/AN5749.2/AN5820.2/AN5867.2/AN5907.2/AN5916.2/AN5918.2/AN5957.2/AN5959.2/AN6037.2/AN6048.2/AN6126.2/AN6209.2/AN6231.2/AN6338.2/AN6346.2/AN6499.2/AN6506.2/AN6521.2/AN6528.2/AN6541.2/AN6650.2/AN6973.2/AN7146.2/AN7387.2/AN7564.2/AN7588.2/AN7632.2/AN7722.2/AN7878.2/AN8041.2/AN8121.2/AN8275.2/AN8277.2/AN8553.2/AN8689.2/AN8707.2/AN8770.2/AN8793.2/AN8859.2/AN8866.2/AN9094.2/AN9148.2/AN9339.2
TRUE	TRUE	4	00240	Pyrimidine metabolism	32	58	0.55	0.00288135047195697	0.0261379649956097	AN0067.2/AN0179.2/AN0260.2/AN0271.2/AN0321.2/AN0490.2/AN0565.2/AN0809.2/AN1521.2/AN2135.2/AN2235.2/AN2243.2/AN2415.2/AN2446.2/AN3033.2/AN3067.2/AN3933.2/AN4075.2/AN4219.2/AN4258.2/AN4269.2/AN5909.2/AN5939.2/AN5999.2/AN6558.2/AN7028.2/AN7325.2/AN7429.2/AN7439.2/AN8869.2/AN9102.2/AN9125.2
TRUE	TRUE	4	00592	alpha-Linolenic acid metabolism	5	6	0.83	0.00340628331593206	0.0288398654082248	AN1713.2/AN5646.2/AN5698.2/AN6211.2/AN6752.2
TRUE	TRUE	4	00760	Nicotinate and nicotinamide metabolism	12	18	0.67	0.00403953579916342	0.0320638154058597	AN1226.2/AN1745.2/AN3222.2/AN3431.2/AN3829.2/AN4075.2/AN4439.2/AN5939.2/AN6824.2/AN8203.2/AN8204.2/AN9116.2
TRUE	TRUE	4	00020	Citrate cycle (TCA cycle)	17	28	0.61	0.00510821570870616	0.0381613761768048	AN0896.2/AN1003.2/AN1918.2/AN2332.2/AN2435.2/AN2436.2/AN2916.2/AN2999.2/AN3466.2/AN4462.2/AN5162.2/AN5525.2/AN6499.2/AN6650.2/AN8275.2/AN8707.2/AN8793.2
TRUE	TRUE	4	00660	C5-Branched dibasic acid metabolism	4	5	0.8	0.00879848592885875	0.0620782062758367	AN0912.2/AN2793.2/AN4430.2/AN4956.2
TRUE	TRUE	4	03010	Ribosome	47	96	0.49	0.00934655619153505	0.0624743492802606	AN0433.2/AN0445.2/AN0465.2/AN0570.2/AN0843.2/AN1095.2/AN1166.2/AN1228.2/AN1345.2/AN1964.2/AN2268.2/AN2980.2/AN3172.2/AN3413.2/AN3706.2/AN3823.2/AN4016.2/AN4087.2/AN4202.2/AN4222.2/AN4452.2/AN4468.2/AN4475.2/AN4522.2/AN4787.2/AN4794.2/AN4872.2/AN5014.2/AN5441.2/AN5715.2/AN5719.2/AN5800.2/AN5960.2/AN6082.2/AN6083.2/AN6202.2/AN6500.2/AN6629.2/AN6632.2/AN6679.2/AN7003.2/AN8705.2/AN8856.2/AN8870.2/AN9465.2/AN9468.2/AN9469.2
