hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
TRUE	FALSE	3	00591	Linoleic acid metabolism	2	4	0.5	0.0016485482392998	0.0566347812095622	AN1967.2/AN6211.2
TRUE	FALSE	3	00450	Selenocompound metabolism	3	8	0.38	0.00178377263652164	0.0566347812095622	AN3581.2/AN3865.2/AN4443.2
TRUE	FALSE	3	00030	Pentose phosphate pathway	6	26	0.23	0.00238739564189246	0.0606398493040685	AN0240.2/AN3223.2/AN3954.2/AN4591.2/AN4772.2/AN5907.2
TRUE	FALSE	3	03018	RNA degradation	8	43	0.19	0.00369403607752336	0.0781904303075778	AN0707.2/AN1387.2/AN3223.2/AN4000.2/AN5694.2/AN5746.2/AN6010.2/AN6111.2
TRUE	FALSE	3	00052	Galactose metabolism	6	31	0.19	0.00682627178944301	0.110446257911592	AN0022.2/AN2951.2/AN3223.2/AN4591.2/AN4727.2/AN8689.2
TRUE	FALSE	3	00750	Vitamin B6 metabolism	2	6	0.33	0.00732641283724616	0.110446257911592	AN3031.2/AN7725.2
TRUE	FALSE	3	01110	Biosynthesis of secondary metabolites	34	358	0.09	0.00782690016696324	0.110446257911592	AN0240.2/AN0912.2/AN1222.2/AN1722.2/AN2284.2/AN2286.2/AN2311.2/AN2332.2/AN2436.2/AN3031.2/AN3223.2/AN3638.2/AN3639.2/AN3748.2/AN3954.2/AN4443.2/AN4464.2/AN4591.2/AN4888.2/AN5130.2/AN5300.2/AN5311.2/AN5586.2/AN5731.2/AN5746.2/AN5907.2/AN5976.2/AN6211.2/AN6338.2/AN6499.2/AN6653.2/AN8041.2/AN8283.2/AN8689.2
TRUE	FALSE	3	00910	Nitrogen metabolism	4	18	0.22	0.00898209169014696	0.114072564464866	AN0399.2/AN1006.2/AN1007.2/AN1008.2
TRUE	FALSE	3	00780	Biotin metabolism	2	7	0.29	0.0120926005607861	0.139614570110894	AN6644.2/AN6645.2
TRUE	FALSE	3	00232	Caffeine metabolism	1	3	0.33	0.016497761373032	0.148339605325883	AN9470.2
TRUE	FALSE	3	00440	Phosphonate and phosphinate metabolism	1	3	0.33	0.016497761373032	0.148339605325883	AN1357.2
TRUE	FALSE	3	00785	Lipoic acid metabolism	1	3	0.33	0.016497761373032	0.148339605325883	AN5732.2
TRUE	FALSE	3	01230	Biosynthesis of amino acids	15	127	0.12	0.0182221216959201	0.148339605325883	AN0240.2/AN0912.2/AN1222.2/AN3031.2/AN3223.2/AN3748.2/AN4443.2/AN5300.2/AN5731.2/AN5746.2/AN5820.2/AN5907.2/AN6338.2/AN6521.2/AN8041.2
TRUE	FALSE	3	00010	Glycolysis / Gluconeogenesis	7	46	0.15	0.0186884542142845	0.148339605325883	AN2286.2/AN3223.2/AN4591.2/AN4888.2/AN5746.2/AN8041.2/AN8689.2
TRUE	FALSE	3	04139	Mitophagy - yeast	5	31	0.16	0.0253593000626061	0.189448888702998	AN1272.2/AN2055.2/AN5131.2/AN5588.2/AN8874.2
TRUE	FALSE	3	01200	Carbon metabolism	13	111	0.12	0.0276891726984093	0.195362496260999	AN0240.2/AN2332.2/AN3223.2/AN3591.2/AN3954.2/AN5300.2/AN5746.2/AN5907.2/AN6168.2/AN6499.2/AN6653.2/AN8041.2/AN8689.2
TRUE	FALSE	3	00590	Arachidonic acid metabolism	1	4	0.25	0.0313179295910992	0.209335634635242	AN6211.2
TRUE	FALSE	3	00100	Steroid biosynthesis	4	25	0.16	0.0357411036150513	0.226956007955576	AN3638.2/AN6973.2/AN8283.2/AN8907.2
TRUE	FALSE	3	00860	Porphyrin and chlorophyll metabolism	3	18	0.17	0.0421134921768887	0.254686357450708	AN1722.2/AN2284.2/AN5130.2
TRUE	FALSE	3	00520	Amino sugar and nucleotide sugar metabolism	7	55	0.13	0.0481518963440058	0.273667613345992	AN2951.2/AN4591.2/AN4727.2/AN5586.2/AN6386.2/AN8241.2/AN8689.2
TRUE	FALSE	3	00660	C5-Branched dibasic acid metabolism	1	5	0.2	0.0495618512358884	0.273667613345992	AN0912.2
TRUE	TRUE	4	01100	Metabolic pathways	128	904	0.14	3.44136398699844e-09	4.37053226348802e-07	AN0034.2/AN0067.2/AN0121.2/AN0270.2/AN0285.2/AN0494.2/AN0554.2/AN0565.2/AN0640.2/AN0654.2/AN0664.2/AN0688.2/AN0787.2/AN0802.2/AN1015.2/AN1416.2/AN1430.2/AN1624.2/AN1752.2/AN1778.2/AN1918.2/AN1923.2/AN1989.2/AN1993.2/AN2017.2/AN2114.2/AN2135.2/AN2248.2/AN2336.2/AN2435.2/AN2508.2/AN2509.2/AN2526.2/AN2532.2/AN2793.2/AN2858.2/AN2859.2/AN2875.2/AN2914.2/AN2998.2/AN3067.2/AN3150.2/AN3184.2/AN3188.2/AN3308.2/AN3586.2/AN3641.2/AN3817.2/AN3869.2/AN3901.2/AN4042.2/AN4081.2/AN4102.2/AN4159.2/AN4219.2/AN4255.2/AN4294.2/AN4323.2/AN4353.2/AN4376.2/AN4388.2/AN4439.2/AN4462.2/AN4532.2/AN4603.2/AN4769.2/AN4778.2/AN4829.2/AN4843.2/AN4871.2/AN4923.2/AN4956.2/AN4957.2/AN5077.2/AN5134.2/AN5200.2/AN5210.2/AN5447.2/AN5523.2/AN5525.2/AN5566.2/AN5589.2/AN5604.2/AN5626.2/AN5634.2/AN5652.2/AN5749.2/AN5830.2/AN5886.2/AN5908.2/AN5939.2/AN5999.2/AN6014.2/AN6048.2/AN6126.2/AN6159.2/AN6541.2/AN6558.2/AN6589.2/AN6643.2/AN6650.2/AN6824.2/AN6857.2/AN7146.2/AN7334.2/AN7387.2/AN7429.2/AN7451.2/AN7469.2/AN7564.2/AN7588.2/AN7600.2/AN7873.2/AN7878.2/AN7880.2/AN8117.2/AN8118.2/AN8121.2/AN8188.2/AN8277.2/AN8566.2/AN8707.2/AN8859.2/AN9064.2/AN9083.2/AN9148.2/AN9407.2/AN9408.2
TRUE	TRUE	4	04011	MAPK signaling pathway - yeast	24	61	0.39	1.98103723305294e-08	1.25795864298862e-06	AN0134.2/AN0351.2/AN1800.2/AN2005.2/AN2290.2/AN2522.2/AN2742.2/AN2911.2/AN2984.2/AN3719.2/AN3729.2/AN4544.2/AN5660.2/AN5740.2/AN5744.2/AN5757.2/AN5822.2/AN5893.2/AN5918.2/AN6982.2/AN7030.2/AN8553.2/AN8676.2/AN9339.2
TRUE	TRUE	4	00250	Alanine, aspartate and glutamate metabolism	12	33	0.36	0.000106211372930286	0.00449628145404876	AN0565.2/AN1923.2/AN1993.2/AN2248.2/AN2914.2/AN4159.2/AN4376.2/AN5134.2/AN5447.2/AN5999.2/AN6048.2/AN7451.2
TRUE	TRUE	4	01110	Biosynthesis of secondary metabolites	61	358	0.17	0.000165950990058526	0.00521699373807972	AN0121.2/AN0285.2/AN0351.2/AN0554.2/AN0654.2/AN0688.2/AN0802.2/AN1015.2/AN1396.2/AN1778.2/AN1918.2/AN1993.2/AN2336.2/AN2435.2/AN2526.2/AN2532.2/AN2793.2/AN2875.2/AN2914.2/AN3184.2/AN3188.2/AN3586.2/AN3641.2/AN3817.2/AN3869.2/AN4102.2/AN4255.2/AN4323.2/AN4778.2/AN4923.2/AN4956.2/AN5134.2/AN5210.2/AN5447.2/AN5525.2/AN5604.2/AN5626.2/AN5634.2/AN5749.2/AN5886.2/AN5908.2/AN5918.2/AN5939.2/AN6048.2/AN6126.2/AN6541.2/AN6650.2/AN7146.2/AN7334.2/AN7387.2/AN7469.2/AN7564.2/AN7588.2/AN7878.2/AN8117.2/AN8121.2/AN8277.2/AN8553.2/AN8707.2/AN8859.2/AN9339.2
TRUE	TRUE	4	00061	Fatty acid biosynthesis	7	15	0.47	0.000205393454255107	0.00521699373807972	AN4294.2/AN6014.2/AN6126.2/AN7873.2/AN7880.2/AN9407.2/AN9408.2
TRUE	TRUE	4	00220	Arginine biosynthesis	8	20	0.4	0.000410567487106039	0.0086903451437445	AN1923.2/AN1993.2/AN2914.2/AN4159.2/AN4376.2/AN5749.2/AN6048.2/AN7451.2
TRUE	TRUE	4	01210	2-Oxocarboxylic acid metabolism	13	43	0.3	0.000572221400940596	0.00920241068124868	AN1923.2/AN1993.2/AN2526.2/AN2793.2/AN4323.2/AN4956.2/AN5525.2/AN5749.2/AN5886.2/AN6048.2/AN6650.2/AN7878.2/AN8859.2
TRUE	TRUE	4	04933	AGE-RAGE signaling pathway in diabetic complications	5	10	0.5	0.000606961348168563	0.00920241068124868	AN0182.2/AN0664.2/AN3719.2/AN5457.2/AN5832.2
TRUE	TRUE	4	01130	Biosynthesis of antibiotics	48	270	0.18	0.000652139339616048	0.00920241068124868	AN0285.2/AN0554.2/AN0654.2/AN0688.2/AN1428.2/AN1918.2/AN1993.2/AN2002.2/AN2435.2/AN2526.2/AN2875.2/AN2914.2/AN3184.2/AN3641.2/AN3817.2/AN3869.2/AN4042.2/AN4255.2/AN4294.2/AN4323.2/AN4769.2/AN4923.2/AN4956.2/AN5134.2/AN5210.2/AN5525.2/AN5604.2/AN5626.2/AN5749.2/AN5908.2/AN5918.2/AN6048.2/AN6126.2/AN6528.2/AN6541.2/AN6650.2/AN7146.2/AN7387.2/AN7564.2/AN7588.2/AN7878.2/AN8121.2/AN8277.2/AN8553.2/AN8707.2/AN8859.2/AN9148.2/AN9339.2
TRUE	TRUE	4	01200	Carbon metabolism	24	111	0.22	0.00176360448227267	0.0223977769248629	AN0034.2/AN0285.2/AN0688.2/AN1918.2/AN1923.2/AN1993.2/AN2875.2/AN3641.2/AN4255.2/AN4462.2/AN5210.2/AN5525.2/AN5604.2/AN5626.2/AN5634.2/AN5908.2/AN5918.2/AN6048.2/AN6650.2/AN7588.2/AN8277.2/AN8553.2/AN8707.2/AN9339.2
TRUE	TRUE	4	00520	Amino sugar and nucleotide sugar metabolism	14	55	0.25	0.00265837789830958	0.0306921811895743	AN1277.2/AN1416.2/AN1428.2/AN1555.2/AN2523.2/AN4255.2/AN4566.2/AN4871.2/AN4957.2/AN5077.2/AN6317.2/AN6318.2/AN6366.2/AN9148.2
TRUE	TRUE	4	01212	Fatty acid metabolism	10	36	0.28	0.00400155058058259	0.0423497436444991	AN1037.2/AN4294.2/AN6014.2/AN6126.2/AN6731.2/AN7873.2/AN7880.2/AN8117.2/AN9407.2/AN9408.2
TRUE	TRUE	4	01230	Biosynthesis of amino acids	25	127	0.2	0.00533237547105635	0.0520932065249351	AN0688.2/AN1923.2/AN1993.2/AN2526.2/AN2793.2/AN2875.2/AN2914.2/AN4159.2/AN4323.2/AN4462.2/AN4956.2/AN5134.2/AN5210.2/AN5525.2/AN5749.2/AN5886.2/AN5908.2/AN6048.2/AN6650.2/AN7387.2/AN7564.2/AN7588.2/AN7878.2/AN8277.2/AN8859.2
TRUE	TRUE	4	00430	Taurine and hypotaurine metabolism	3	7	0.43	0.00709508535055836	0.0643625599657795	AN4081.2/AN5447.2/AN7451.2
TRUE	TRUE	4	00261	Monobactam biosynthesis	2	4	0.5	0.00788579461159403	0.0667663943781628	AN4769.2/AN8859.2
TRUE	TRUE	4	00620	Pyruvate metabolism	10	40	0.25	0.00945992374002755	0.0726365821333412	AN0554.2/AN0628.2/AN1918.2/AN3901.2/AN4462.2/AN5210.2/AN5626.2/AN6126.2/AN6840.2/AN8707.2
TRUE	TRUE	4	00900	Terpenoid backbone biosynthesis	6	20	0.3	0.0097230070572189	0.0726365821333412	AN0654.2/AN2002.2/AN3817.2/AN3869.2/AN4923.2/AN6528.2
TRUE	TRUE	4	00290	Valine, leucine and isoleucine biosynthesis	6	21	0.29	0.0129765711723257	0.0915569188269649	AN2526.2/AN2793.2/AN4323.2/AN4956.2/AN5886.2/AN7878.2
TRUE	TRUE	4	00051	Fructose and mannose metabolism	10	43	0.23	0.0163776376800373	0.10729441877211	AN0034.2/AN2815.2/AN2875.2/AN4255.2/AN5012.2/AN5144.2/AN5604.2/AN5672.2/AN5908.2/AN5975.2
TRUE	TRUE	4	01501	beta-Lactam resistance	1	2	0.5	0.0168967588617496	0.10729441877211	AN1416.2
TRUE	TRUE	4	00660	C5-Branched dibasic acid metabolism	2	5	0.4	0.0177977778590744	0.107634180385831	AN2793.2/AN4956.2
TRUE	TRUE	4	00910	Nitrogen metabolism	5	18	0.28	0.0212662832710056	0.122764453428078	AN4159.2/AN4376.2/AN5134.2/AN5611.2/AN7451.2
TRUE	TRUE	4	00630	Glyoxylate and dicarboxylate metabolism	9	40	0.22	0.0255247944263962	0.140941256180535	AN0495.2/AN4159.2/AN5525.2/AN5626.2/AN5634.2/AN5918.2/AN6650.2/AN8553.2/AN9339.2
TRUE	TRUE	4	04113	Meiosis - yeast	11	53	0.21	0.0307764065875942	0.162858484859353	AN0228.2/AN0410.2/AN3793.2/AN3913.2/AN5822.2/AN5836.2/AN5860.2/AN5992.2/AN6015.2/AN6243.2/AN7572.2
TRUE	TRUE	4	01040	Biosynthesis of unsaturated fatty acids	4	15	0.27	0.0351225393028512	0.178422499658484	AN1037.2/AN4353.2/AN6731.2/AN8117.2
TRUE	TRUE	4	00230	Purine metabolism	15	80	0.19	0.0376685093103737	0.183996180092979	AN0067.2/AN2135.2/AN2740.2/AN3067.2/AN3913.2/AN4219.2/AN4603.2/AN4769.2/AN5210.2/AN5566.2/AN5939.2/AN6541.2/AN6558.2/AN8121.2/AN9083.2
TRUE	TRUE	4	00030	Pentose phosphate pathway	6	26	0.23	0.0411799176135725	0.193698130997174	AN0285.2/AN0688.2/AN2875.2/AN3641.2/AN5604.2/AN7588.2
TRUE	TRUE	4	00440	Phosphonate and phosphinate metabolism	1	3	0.33	0.0462759570000363	0.209894519250164	AN4778.2
TRUE	TRUE	4	00500	Starch and sucrose metabolism	12	63	0.19	0.0486444105136593	0.213028970180508	AN0494.2/AN1015.2/AN2017.2/AN3308.2/AN3729.2/AN4102.2/AN4255.2/AN4843.2/AN5523.2/AN7533.2/AN7950.2/AN9148.2
