hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	2	GO:0006508	proteolysis	0.0301	277	34	31.68	0.123	1.521	AN0226,AN10193,AN10673,AN10900,AN11684,AN1339,AN1426,AN1539,AN1573,AN1844,AN2062,AN2071,AN2072,AN2157,AN2180,AN2194,AN2503,AN2761,AN2903,AN2946,AN3393,AN3470,AN3583,AN4422,AN4925,AN5517,AN5619,AN6250,AN6438,AN6741,AN6888,AN7962,AN8074,AN9460
FALSE	TRUE	2	GO:0006820	anion transport	0.0359	152	24	17.38	0.158	1.445	AN0218,AN0225,AN0568,AN10622,AN10949,AN1339,AN2011,AN2043,AN2072,AN2477,AN4101,AN4477,AN4478,AN4517,AN4904,AN5100,AN5302,AN5378,AN6107,AN6254,AN6782,AN7149,AN8762,AN9010
FALSE	TRUE	2	GO:0032956	regulation of actin cytoskeleton organization	0.036	54	11	6.18	0.204	1.444	AN0113,AN1324,AN1339,AN1462,AN2067,AN2516,AN4743,AN5803,AN7487,AN7698,AN9463
FALSE	TRUE	2	GO:0006333	chromatin assembly or disassembly	0.0361	52	10	5.95	0.192	1.442	AN0253,AN10763,AN1339,AN1408,AN2426,AN4034,AN7545,AN8170,AN8282,AN8863
FALSE	TRUE	2	GO:0061171	establishment of bipolar cell polarity	0.0367	7	3	0.8	0.429	1.435	AN1171,AN2067,AN6685
FALSE	TRUE	2	GO:1902086	fumagillin biosynthetic process	0.0367	7	3	0.8	0.429	1.435	AN1036,AN6791,AN7084
FALSE	TRUE	2	GO:0006897	endocytosis	0.0367	64	14	7.32	0.219	1.435	AN1089,AN10999,AN1339,AN1462,AN2048,AN2071,AN2072,AN2516,AN3696,AN4963,AN5100,AN5224,AN5803,AN8877
FALSE	TRUE	2	GO:0016042	lipid catabolic process	0.0367	53	8	6.06	0.151	1.435	AN1713,AN1799,AN3013,AN5159,AN5646,AN7050,AN8046,AN9106
FALSE	TRUE	2	GO:0030010	establishment of cell polarity	0.048	46	12	5.26	0.261	1.319	AN1025,AN1171,AN1324,AN1475,AN2067,AN2936,AN4685,AN4743,AN5973,AN6685,AN7487,AN7698
TRUE	FALSE	3	GO:0006096	glycolytic process	0.00036	25	7	1.42	0.28	3.444	AN1202,AN2688,AN3223,AN3954,AN5746,AN8041,AN8689
TRUE	FALSE	3	GO:0071705	nitrogen compound transport	0.00148	431	43	24.43	0.1	2.83	AN0399,AN0417,AN0418,AN0643,AN0706,AN1008,AN1126,AN1181,AN1223,AN12344,AN1282,AN1341,AN1511,AN2014,AN2210,AN2266,AN2418,AN2468,AN2687,AN3643,AN3663,AN3720,AN3919,AN4182,AN4313,AN4501,AN4547,AN4862,AN5131,AN5482,AN5579,AN5588,AN5819,AN6010,AN6257,AN6542,AN6920,AN7687,AN8041,AN8279,AN8534,AN8647,AN8672
TRUE	FALSE	3	GO:0019660	glycolytic fermentation	0.00166	5	3	0.28	0.6	2.78	AN2286,AN4888,AN8689
TRUE	FALSE	3	GO:0006097	glyoxylate cycle	0.00166	5	3	0.28	0.6	2.78	AN0912,AN6653,AN7111
TRUE	FALSE	3	GO:0017144	drug metabolic process	0.00192	349	43	19.78	0.123	2.717	AN0357,AN10290,AN1069,AN10709,AN10991,AN11347,AN1202,AN1222,AN1226,AN1523,AN1547,AN1967,AN2286,AN2331,AN2332,AN2436,AN2688,AN3223,AN3829,AN3954,AN4384,AN4443,AN4501,AN4888,AN5300,AN5746,AN5820,AN5953,AN6032,AN6338,AN6390,AN6499,AN6644,AN6645,AN6653,AN7661,AN7725,AN8009,AN8041,AN8231,AN8241,AN8689,AN8869
TRUE	FALSE	3	GO:0006888	ER to Golgi vesicle-mediated transport	0.00294	44	8	2.49	0.182	2.532	AN0706,AN1069,AN10724,AN1126,AN3720,AN5131,AN5195,AN6257
TRUE	FALSE	3	GO:0034221	fungal-type cell wall chitin biosynthetic process	0.00318	6	3	0.34	0.5	2.498	AN1069,AN10709,AN4501
TRUE	FALSE	3	GO:0007020	microtubule nucleation	0.00351	12	4	0.68	0.333	2.455	AN2687,AN2862,AN3062,AN4867
TRUE	FALSE	3	GO:0044416	induction by symbiont of host defense response	0.00351	12	4	0.68	0.333	2.455	AN12478,AN4443,AN5746,AN8041
TRUE	FALSE	3	GO:0031330	negative regulation of cellular catabolic process	0.00484	13	4	0.74	0.308	2.315	AN1226,AN3919,AN4182,AN4546
TRUE	FALSE	3	GO:0043433	negative regulation of DNA-binding transcription factor activity	0.00534	7	3	0.4	0.429	2.272	AN1272,AN4501,AN6988
TRUE	FALSE	3	GO:0097428	protein maturation by iron-sulfur cluster transfer	0.00534	7	3	0.4	0.429	2.272	AN10237,AN1469,AN5953
TRUE	FALSE	3	GO:0046656	folic acid biosynthetic process	0.00534	7	3	0.4	0.429	2.272	AN10991,AN4384,AN6032
TRUE	FALSE	3	GO:0045944	positive regulation of transcription by RNA polymerase II	0.00555	108	13	6.12	0.12	2.256	AN0241,AN1227,AN1303,AN2996,AN3224,AN4182,AN4486,AN4785,AN5726,AN5747,AN6988,AN7661,AN8858
TRUE	FALSE	3	GO:0006783	heme biosynthetic process	0.00648	14	4	0.79	0.286	2.188	AN1722,AN2284,AN3663,AN5130
TRUE	FALSE	3	GO:0031589	cell-substrate adhesion	0.00924	25	4	1.42	0.16	2.034	AN1199,AN4052,AN4486,AN8041
TRUE	FALSE	3	GO:0042364	water-soluble vitamin biosynthetic process	0.01161	37	9	2.1	0.243	1.935	AN10290,AN10991,AN4384,AN5953,AN6032,AN6644,AN6645,AN7725,AN8009
TRUE	FALSE	3	GO:0006006	glucose metabolic process	0.01577	48	10	2.72	0.208	1.802	AN1761,AN2286,AN2688,AN3223,AN4182,AN4888,AN5746,AN7661,AN8041,AN8689
TRUE	FALSE	3	GO:0009117	nucleotide metabolic process	0.01737	197	21	11.17	0.107	1.76	AN0240,AN0357,AN11347,AN1202,AN12478,AN1523,AN1547,AN2286,AN2311,AN2688,AN3223,AN3639,AN3708,AN3954,AN4464,AN4500,AN4888,AN5746,AN5952,AN8041,AN8689
TRUE	FALSE	3	GO:0051253	negative regulation of RNA metabolic process	0.01769	155	13	8.78	0.084	1.752	AN0707,AN1226,AN1227,AN1255,AN1272,AN3919,AN4182,AN4486,AN4501,AN4546,AN5643,AN5747,AN8858
TRUE	FALSE	3	GO:0048278	vesicle docking	0.0177	17	5	0.96	0.294	1.752	AN0706,AN10061,AN2418,AN6210,AN6493
TRUE	FALSE	3	GO:0043144	snoRNA processing	0.01774	13	4	0.74	0.308	1.751	AN0065,AN0707,AN0745,AN8691
TRUE	FALSE	3	GO:0051054	positive regulation of DNA metabolic process	0.01782	20	3	1.13	0.15	1.749	AN4182,AN6010,AN6921
TRUE	FALSE	3	GO:0006094	gluconeogenesis	0.01997	26	5	1.47	0.192	1.7	AN1761,AN2688,AN3223,AN5746,AN8041
TRUE	FALSE	3	GO:0016226	iron-sulfur cluster assembly	0.02004	19	4	1.08	0.211	1.698	AN10237,AN1469,AN3632,AN5953
TRUE	FALSE	3	GO:0071470	cellular response to osmotic stress	0.02107	58	9	3.29	0.155	1.676	AN10902,AN2269,AN4745,AN5563,AN5746,AN6010,AN7484,AN8041,AN8690
TRUE	FALSE	3	GO:0000045	autophagosome assembly	0.02124	11	3	0.62	0.273	1.673	AN11055,AN1760,AN5131
TRUE	FALSE	3	GO:0000122	negative regulation of transcription by RNA polymerase II	0.02515	63	8	3.57	0.127	1.599	AN0707,AN1227,AN1272,AN4182,AN4486,AN4501,AN5643,AN8858
TRUE	FALSE	3	GO:0006886	intracellular protein transport	0.02674	281	31	15.93	0.11	1.573	AN0417,AN0643,AN0706,AN1126,AN1223,AN12344,AN1282,AN1341,AN1511,AN2014,AN2210,AN2266,AN2418,AN2687,AN3643,AN3720,AN3919,AN4182,AN4501,AN4547,AN4862,AN5131,AN5482,AN5579,AN5588,AN5819,AN6010,AN6257,AN6920,AN7687,AN8672
TRUE	FALSE	3	GO:0060303	regulation of nucleosome density	0.02714	12	3	0.68	0.25	1.566	AN1255,AN4182,AN6542
TRUE	FALSE	3	GO:0001300	chronological cell aging	0.02714	12	3	0.68	0.25	1.566	AN0241,AN6542,AN8874
TRUE	FALSE	3	GO:0007018	microtubule-based movement	0.02717	34	4	1.93	0.118	1.566	AN2862,AN3721,AN6875,AN8874
TRUE	FALSE	3	GO:0072525	pyridine-containing compound biosynthetic process	0.0281	45	10	2.55	0.222	1.551	AN10290,AN1202,AN2688,AN3223,AN3954,AN5746,AN5952,AN7725,AN8041,AN8689
TRUE	FALSE	3	GO:0006099	tricarboxylic acid cycle	0.0283	21	4	1.19	0.19	1.548	AN2332,AN2436,AN5300,AN6499
TRUE	FALSE	3	GO:0033048	negative regulation of mitotic sister chromatid segregation	0.02841	20	5	1.13	0.25	1.547	AN0065,AN2862,AN3946,AN4182,AN4360
TRUE	FALSE	3	GO:0006108	malate metabolic process	0.0286	5	2	0.28	0.4	1.544	AN6168,AN6499
TRUE	FALSE	3	GO:0051668	localization within membrane	0.0286	5	2	0.28	0.4	1.544	AN11008,AN6542
TRUE	FALSE	3	GO:0032210	regulation of telomere maintenance via telomerase	0.0286	5	2	0.28	0.4	1.544	AN4182,AN6921
TRUE	FALSE	3	GO:0043488	regulation of mRNA stability	0.0286	5	2	0.28	0.4	1.544	AN3919,AN4546
TRUE	FALSE	3	GO:0051177	meiotic sister chromatid cohesion	0.0286	5	2	0.28	0.4	1.544	AN3946,AN4360
TRUE	FALSE	3	GO:0051260	protein homooligomerization	0.0286	5	2	0.28	0.4	1.544	AN0235,AN8874
TRUE	FALSE	3	GO:0031110	regulation of microtubule polymerization or depolymerization	0.0286	5	2	0.28	0.4	1.544	AN2687,AN2862
TRUE	FALSE	3	GO:0006535	cysteine biosynthetic process from serine	0.0286	5	2	0.28	0.4	1.544	AN5820,AN7725
TRUE	FALSE	3	GO:0006688	glycosphingolipid biosynthetic process	0.0286	5	2	0.28	0.4	1.544	AN4332,AN4592
TRUE	FALSE	3	GO:0031031	positive regulation of septation initiation signaling	0.0286	5	2	0.28	0.4	1.544	AN4182,AN4501
TRUE	FALSE	3	GO:0006904	vesicle docking involved in exocytosis	0.03384	13	3	0.74	0.231	1.471	AN2418,AN6210,AN6493
TRUE	FALSE	3	GO:0009847	spore germination	0.0378	56	7	3.17	0.125	1.423	AN2269,AN3307,AN3813,AN4501,AN5726,AN6010,AN6125
TRUE	FALSE	3	GO:0015698	inorganic anion transport	0.04092	28	6	1.59	0.214	1.388	AN0066,AN0399,AN1008,AN1612,AN3665,AN8647
TRUE	FALSE	3	GO:0005977	glycogen metabolic process	0.04106	23	5	1.3	0.217	1.387	AN11055,AN4182,AN4501,AN7661,AN8010
TRUE	FALSE	3	GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms	0.04117	19	4	1.08	0.211	1.385	AN1069,AN1226,AN4745,AN5220
TRUE	FALSE	3	GO:0062014	negative regulation of small molecule metabolic process	0.04122	11	3	0.62	0.273	1.385	AN1226,AN1761,AN4500
TRUE	FALSE	3	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	0.0413	14	3	0.79	0.214	1.384	AN2862,AN3946,AN4182
TRUE	FALSE	3	GO:0090307	mitotic spindle assembly	0.0413	14	3	0.79	0.214	1.384	AN2862,AN4182,AN4867
TRUE	FALSE	3	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	0.04131	6	2	0.34	0.333	1.384	AN4182,AN5820
TRUE	FALSE	3	GO:0015846	polyamine transport	0.04131	6	2	0.34	0.333	1.384	AN0418,AN4313
TRUE	FALSE	3	GO:0042128	nitrate assimilation	0.04131	6	2	0.34	0.333	1.384	AN1006,AN1007
TRUE	FALSE	3	GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process	0.04131	6	2	0.34	0.333	1.384	AN0707,AN5694
TRUE	FALSE	3	GO:0030847	termination of RNA polymerase II transcription, exosome-dependent	0.04131	6	2	0.34	0.333	1.384	AN0065,AN0707
TRUE	FALSE	3	GO:0046513	ceramide biosynthetic process	0.04131	6	2	0.34	0.333	1.384	AN4332,AN4592
TRUE	FALSE	3	GO:0009098	leucine biosynthetic process	0.04131	6	2	0.34	0.333	1.384	AN0912,AN4486
TRUE	FALSE	3	GO:0031134	sister chromatid biorientation	0.04131	6	2	0.34	0.333	1.384	AN11055,AN4182
TRUE	FALSE	3	GO:0006636	unsaturated fatty acid biosynthetic process	0.04131	6	2	0.34	0.333	1.384	AN1967,AN4135
TRUE	FALSE	3	GO:0008272	sulfate transport	0.04131	6	2	0.34	0.333	1.384	AN0066,AN3665
TRUE	FALSE	3	GO:0019878	lysine biosynthetic process via aminoadipic acid	0.04131	6	2	0.34	0.333	1.384	AN6338,AN6521
TRUE	FALSE	3	GO:1903379	regulation of mitotic chromosome condensation	0.04131	6	2	0.34	0.333	1.384	AN0065,AN4182
TRUE	FALSE	3	GO:0006115	ethanol biosynthetic process	0.04131	6	2	0.34	0.333	1.384	AN2286,AN4888
TRUE	FALSE	3	GO:0006623	protein targeting to vacuole	0.04399	24	4	1.36	0.167	1.357	AN2418,AN3643,AN5131,AN5579
TRUE	FALSE	3	GO:0006418	tRNA aminoacylation for protein translation	0.0457	35	5	1.98	0.143	1.34	AN0936,AN10393,AN10475,AN3865,AN4086
TRUE	FALSE	3	GO:0044272	sulfur compound biosynthetic process	0.04906	92	12	5.21	0.13	1.309	AN1202,AN1222,AN3639,AN4443,AN4770,AN4888,AN5820,AN5953,AN6644,AN6645,AN7725,AN8009
TRUE	FALSE	3	GO:0033617	mitochondrial respiratory chain complex IV assembly	0.04951	15	3	0.85	0.2	1.305	AN1066,AN4863,AN6255
TRUE	TRUE	4	GO:0006355	regulation of transcription, DNA-templated	8.1e-08	687	149	95.39	0.217	7.092	AN0148,AN0176,AN0182,AN0263,AN0279,AN0364,AN0410,AN0554,AN0680,AN0689,AN0742,AN0766,AN0863,AN0885,AN0902,AN0928,AN0988,AN10019,AN10128,AN10191,AN10378,AN10550,AN1060,AN10610,AN10761,AN10912,AN11098,AN11753,AN1183,AN11891,AN11961,AN1217,AN1402,AN1414,AN1416,AN1425,AN1518,AN1536,AN1800,AN1812,AN1848,AN1893,AN1924,AN1984,AN2001,AN2009,AN2016,AN2036,AN2290,AN2375,AN2421,AN2500,AN2581,AN2597,AN2852,AN2855,AN2902,AN2911,AN2944,AN2984,AN3050,AN3067,AN3071,AN3075,AN3102,AN3152,AN3214,AN3216,AN3280,AN3433,AN3468,AN3506,AN3587,AN3607,AN3675,AN3688,AN3730,AN3785,AN3835,AN3911,AN3913,AN4175,AN4210,AN4247,AN4324,AN4335,AN4361,AN4479,AN4741,AN4744,AN4818,AN4900,AN4935,AN4976,AN4985,AN4987,AN5170,AN5218,AN5279,AN5296,AN5349,AN5351,AN5651,AN5752,AN5775,AN5836,AN5849,AN5870,AN5893,AN5924,AN5955,AN6062,AN6091,AN6129,AN6195,AN6733,AN6849,AN6858,AN6982,AN7012,AN7303,AN7468,AN7475,AN7507,AN7513,AN7572,AN7592,AN7610,AN7872,AN8039,AN8079,AN8129,AN8168,AN8186,AN8211,AN8251,AN8590,AN8636,AN8667,AN8694,AN8825,AN8885,AN8978,AN9008,AN9025,AN9095,AN9096,AN9141,AN9397
TRUE	TRUE	4	GO:0015976	carbon utilization	3.8e-06	24	13	3.33	0.542	5.42	AN0689,AN10550,AN1918,AN3597,AN4462,AN5604,AN5626,AN5634,AN6195,AN6279,AN7468,AN7610,AN9461
TRUE	TRUE	4	GO:0048315	conidium formation	7.7e-06	132	48	18.33	0.364	5.114	AN0182,AN0279,AN0363,AN0410,AN0863,AN10515,AN1052,AN10610,AN1189,AN1536,AN1555,AN1848,AN2009,AN2421,AN2523,AN2740,AN2742,AN2911,AN3416,AN3607,AN3688,AN3719,AN3913,AN4563,AN4566,AN4695,AN4935,AN4987,AN5156,AN5296,AN5755,AN5757,AN5836,AN5893,AN6230,AN6243,AN6317,AN6318,AN6341,AN6566,AN6589,AN7030,AN7657,AN7757,AN8129,AN8751,AN9121,AN9339
TRUE	TRUE	4	GO:0075306	regulation of conidium formation	3.9e-05	36	18	5	0.5	4.409	AN0182,AN0279,AN0363,AN1052,AN2421,AN2742,AN3607,AN3688,AN3913,AN4563,AN5156,AN5296,AN5836,AN5893,AN6230,AN6243,AN8129,AN9121
TRUE	TRUE	4	GO:0043936	asexual sporulation resulting in formation of a cellular spore	5.5e-05	73	28	10.14	0.384	4.26	AN0182,AN0186,AN0641,AN0787,AN10030,AN1037,AN1052,AN1555,AN1632,AN2059,AN2505,AN2742,AN2919,AN3113,AN4674,AN4706,AN4897,AN4987,AN5028,AN5660,AN5740,AN5836,AN5893,AN6318,AN6578,AN6731,AN8741,AN8945
TRUE	TRUE	4	GO:0030448	hyphal growth	6.5e-05	188	46	26.1	0.245	4.187	AN0182,AN0410,AN0640,AN0863,AN10515,AN11098,AN1536,AN1555,AN1628,AN1848,AN2009,AN2523,AN2701,AN3113,AN3416,AN3719,AN3730,AN3787,AN3795,AN4566,AN4667,AN4702,AN4935,AN4987,AN5296,AN5457,AN5651,AN5660,AN5740,AN5802,AN5832,AN5836,AN6195,AN6243,AN6317,AN6318,AN6330,AN6341,AN6566,AN6688,AN6697,AN7030,AN7572,AN7576,AN8831,AN9450
TRUE	TRUE	4	GO:0010914	positive regulation of sterigmatocystin biosynthetic process	8.5e-05	16	9	2.22	0.562	4.071	AN0363,AN0807,AN1052,AN2742,AN3607,AN3719,AN5893,AN6243,AN8741
TRUE	TRUE	4	GO:0009405	pathogenesis	9.6e-05	143	37	19.86	0.259	4.018	AN0121,AN0182,AN0609,AN0807,AN1358,AN1428,AN1555,AN1833,AN3719,AN3729,AN3730,AN3765,AN3913,AN4361,AN4390,AN4419,AN4479,AN4515,AN4915,AN4987,AN5218,AN5296,AN5634,AN5823,AN5832,AN5918,AN6230,AN6541,AN6566,AN7170,AN7250,AN7468,AN8251,AN8269,AN8741,AN9397,AN9407
TRUE	TRUE	4	GO:0006313	transposition, DNA-mediated	0.00015	8	6	1.11	0.75	3.824	AN0263,AN10066,AN10329,AN4335,AN5956,AN8186
TRUE	TRUE	4	GO:0034599	cellular response to oxidative stress	0.00017	121	36	16.8	0.298	3.77	AN0158,AN0170,AN0182,AN0363,AN0607,AN0609,AN0771,AN0914,AN0988,AN1632,AN1652,AN2099,AN2911,AN3102,AN3129,AN3163,AN3688,AN3793,AN4483,AN4987,AN5447,AN5523,AN5755,AN5823,AN5918,AN5975,AN5991,AN6849,AN7513,AN7567,AN7572,AN8251,AN8692,AN8805,AN9090,AN9339
TRUE	TRUE	4	GO:0075308	negative regulation of conidium formation	0.00019	11	7	1.53	0.636	3.721	AN0363,AN1052,AN3607,AN3913,AN5156,AN8129,AN9121
TRUE	TRUE	4	GO:0070787	conidiophore development	0.00024	83	29	11.52	0.349	3.62	AN0363,AN0689,AN0863,AN0928,AN0988,AN10515,AN1052,AN1189,AN1536,AN1800,AN1848,AN2009,AN2701,AN3113,AN3719,AN4479,AN4563,AN4667,AN4702,AN4878,AN4935,AN5651,AN5660,AN5836,AN6243,AN6688,AN7030,AN7572,AN8741
TRUE	TRUE	4	GO:0015074	DNA integration	0.00024	25	11	3.47	0.44	3.62	AN0263,AN10066,AN10256,AN10329,AN10846,AN2670,AN4289,AN4335,AN4976,AN5956,AN8186
TRUE	TRUE	4	GO:0071333	cellular response to glucose stimulus	0.00027	15	9	2.08	0.6	3.569	AN0182,AN1052,AN2130,AN2911,AN3607,AN3913,AN4987,AN5757,AN6923
TRUE	TRUE	4	GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.00041	14	8	1.94	0.571	3.387	AN0363,AN0807,AN1052,AN3152,AN3607,AN3719,AN5028,AN9121
TRUE	TRUE	4	GO:0006874	cellular calcium ion homeostasis	0.00062	26	9	3.61	0.346	3.208	AN1189,AN1628,AN1950,AN2919,AN4814,AN4920,AN4990,AN6566,AN8830
TRUE	TRUE	4	GO:0019740	nitrogen utilization	0.00089	21	11	2.92	0.524	3.051	AN10019,AN2944,AN3675,AN4159,AN4376,AN5134,AN5226,AN6129,AN7463,AN8168,AN8667
TRUE	TRUE	4	GO:0009408	response to heat	0.00134	73	22	10.14	0.301	2.873	AN0182,AN0410,AN0858,AN1015,AN1652,AN2731,AN2911,AN3913,AN4310,AN4462,AN4702,AN4897,AN4987,AN5129,AN5523,AN5755,AN5975,AN6849,AN7513,AN7572,AN8269,AN9450
TRUE	TRUE	4	GO:0070793	regulation of conidiophore development	0.00164	10	7	1.39	0.7	2.785	AN0363,AN0988,AN1052,AN1800,AN4563,AN5836,AN8741
TRUE	TRUE	4	GO:0031169	ferrichrome biosynthetic process	0.00165	5	4	0.69	0.8	2.783	AN0607,AN0609,AN5823,AN8251
TRUE	TRUE	4	GO:0007234	osmosensory signaling via phosphorelay pathway	0.00165	5	4	0.69	0.8	2.783	AN1800,AN2005,AN3688,AN4479
TRUE	TRUE	4	GO:0072593	reactive oxygen species metabolic process	0.00199	18	7	2.5	0.389	2.701	AN0170,AN0182,AN1094,AN5457,AN5604,AN5918,AN9339
