hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	TRUE	2	00590	Arachidonic acid metabolism	2	4	0.5	0.0066032243994155	0.0734548939223059	AN1713.2/AN5812.2
FALSE	TRUE	2	04136	Autophagy - other	6	20	0.3	0.00694061989817063	0.0734548939223059	AN0576.2/AN2076.2/AN2887.2/AN3470.2/AN5491.2/AN7428.2
FALSE	TRUE	2	04070	Phosphatidylinositol signaling system	5	16	0.31	0.00855919776074197	0.0836167781241715	AN0156.2/AN2047.2/AN4278.2/AN5797.2/AN6880.2
FALSE	TRUE	2	00071	Fatty acid degradation	7	26	0.27	0.00929064912024421	0.084279459876501	AN1409.2/AN3741.2/AN5646.2/AN5698.2/AN5916.2/AN6752.2/AN8280.2
FALSE	TRUE	2	00564	Glycerophospholipid metabolism	10	43	0.23	0.0105296862834057	0.0891513438661683	AN0137.2/AN1376.2/AN1671.2/AN1713.2/AN2154.2/AN2336.2/AN4303.2/AN6712.2/AN7691.2/AN8546.2
FALSE	TRUE	2	00561	Glycerolipid metabolism	8	33	0.24	0.0134601294708514	0.100243624765108	AN1671.2/AN1713.2/AN2860.2/AN3916.2/AN5986.2/AN7108.2/AN8138.2/AN9106.2
FALSE	TRUE	2	00906	Carotenoid biosynthesis	1	2	0.5	0.0149508603049255	0.100243624765108	AN5644.2
FALSE	TRUE	2	00311	Penicillin and cephalosporin biosynthesis	2	5	0.4	0.0149970777207641	0.100243624765108	AN0174.2/AN2623.2
FALSE	TRUE	2	00660	C5-Branched dibasic acid metabolism	2	5	0.4	0.0149970777207641	0.100243624765108	AN0912.2/AN4430.2
FALSE	TRUE	2	00600	Sphingolipid metabolism	6	24	0.25	0.0200148227326454	0.127094124352299	AN1165.2/AN2464.2/AN3201.2/AN4245.2/AN6847.2/AN8138.2
FALSE	TRUE	2	04933	AGE-RAGE signaling pathway in diabetic complications	3	10	0.3	0.0250771224932213	0.151656883649481	AN0106.2/AN4743.2/AN7487.2
FALSE	TRUE	2	00290	Valine, leucine and isoleucine biosynthesis	5	21	0.24	0.0339853006013091	0.187657964189837	AN0840.2/AN0912.2/AN3866.2/AN4430.2/AN6346.2
FALSE	TRUE	2	00640	Propanoate metabolism	5	21	0.24	0.0339853006013091	0.187657964189837	AN1193.2/AN1409.2/AN5833.2/AN5916.2/AN6639.2
FALSE	TRUE	2	00232	Caffeine metabolism	1	3	0.33	0.0411771000758575	0.209179668385356	AN5613.2
FALSE	TRUE	2	00440	Phosphonate and phosphinate metabolism	1	3	0.33	0.0411771000758575	0.209179668385356	AN4303.2
TRUE	FALSE	3	01100	Metabolic pathways	67	904	0.07	1.05635314707459e-05	0.00134156849678473	AN0034.2/AN0231.2/AN0451.2/AN0670.2/AN0827.2/AN0913.2/AN1003.2/AN1222.2/AN1503.2/AN1722.2/AN1745.2/AN1901.2/AN1915.2/AN1923.2/AN1999.2/AN2045.2/AN2286.2/AN2414.2/AN2415.2/AN2440.2/AN2509.2/AN2858.2/AN2859.2/AN2910.2/AN2951.2/AN3309.2/AN3638.2/AN3639.2/AN3928.2/AN4384.2/AN4401.2/AN4569.2/AN4591.2/AN4727.2/AN4770.2/AN4774.2/AN4888.2/AN4923.2/AN5077.2/AN5311.2/AN5444.2/AN5586.2/AN5731.2/AN5732.2/AN5867.2/AN5976.2/AN6252.2/AN6255.2/AN6499.2/AN6644.2/AN6645.2/AN6973.2/AN7358.2/AN7459.2/AN7625.2/AN7632.2/AN7684.2/AN7722.2/AN7752.2/AN7832.2/AN8041.2/AN8241.2/AN8283.2/AN8755.2/AN8907.2/AN8979.2/AN9470.2
TRUE	FALSE	3	00910	Nitrogen metabolism	5	18	0.28	0.000846579271098042	0.0363193657034624	AN0399.2/AN1006.2/AN1007.2/AN1008.2/AN5611.2
TRUE	FALSE	3	00100	Steroid biosynthesis	6	25	0.24	0.000984871926267865	0.0363193657034624	AN0451.2/AN1901.2/AN3638.2/AN6973.2/AN8283.2/AN8907.2
TRUE	FALSE	3	01110	Biosynthesis of secondary metabolites	34	358	0.09	0.00114391703003031	0.0363193657034624	AN0231.2/AN0670.2/AN1003.2/AN1222.2/AN1722.2/AN1901.2/AN1915.2/AN1999.2/AN2286.2/AN2440.2/AN3638.2/AN3639.2/AN4401.2/AN4569.2/AN4591.2/AN4774.2/AN4888.2/AN4923.2/AN5311.2/AN5444.2/AN5586.2/AN5731.2/AN5867.2/AN5976.2/AN6499.2/AN7358.2/AN7459.2/AN7632.2/AN7722.2/AN7752.2/AN8041.2/AN8283.2/AN8755.2/AN8979.2
TRUE	FALSE	3	00860	Porphyrin and chlorophyll metabolism	4	18	0.22	0.00568950287944263	0.144513373137843	AN1722.2/AN1915.2/AN4774.2/AN7752.2
TRUE	FALSE	3	00780	Biotin metabolism	2	7	0.29	0.00896186541710922	0.16079484150863	AN6644.2/AN6645.2
TRUE	FALSE	3	00520	Amino sugar and nucleotide sugar metabolism	8	55	0.15	0.00948490477201393	0.16079484150863	AN2951.2/AN4591.2/AN4727.2/AN5077.2/AN5586.2/AN6386.2/AN7459.2/AN8241.2
TRUE	FALSE	3	00010	Glycolysis / Gluconeogenesis	7	46	0.15	0.0101288089139295	0.16079484150863	AN2286.2/AN4591.2/AN4888.2/AN7459.2/AN7632.2/AN8041.2/AN8979.2
TRUE	FALSE	3	00232	Caffeine metabolism	1	3	0.33	0.013375934496252	0.1698743681024	AN9470.2
TRUE	FALSE	3	00785	Lipoic acid metabolism	1	3	0.33	0.013375934496252	0.1698743681024	AN5732.2
TRUE	FALSE	3	03450	Non-homologous end-joining	2	9	0.22	0.0193772987095179	0.199707122414873	AN2764.2/AN7753.2
TRUE	FALSE	3	01130	Biosynthesis of antibiotics	24	270	0.09	0.0195118471055977	0.199707122414873	AN0451.2/AN1003.2/AN1901.2/AN2286.2/AN2440.2/AN3638.2/AN3639.2/AN3867.2/AN4591.2/AN4923.2/AN5444.2/AN5731.2/AN5867.2/AN6499.2/AN6973.2/AN7358.2/AN7459.2/AN7625.2/AN7632.2/AN7722.2/AN8041.2/AN8283.2/AN8907.2/AN8979.2
TRUE	FALSE	3	04111	Cell cycle - yeast	9	73	0.12	0.0204424613495539	0.199707122414873	AN0814.2/AN3450.2/AN3451.2/AN3710.2/AN3946.2/AN4265.2/AN4571.2/AN7465.2/AN7723.2
TRUE	FALSE	3	00130	Ubiquinone and other terpenoid-quinone biosynthesis	2	10	0.2	0.0262836588881267	0.222534978586139	AN1999.2/AN4569.2
TRUE	FALSE	3	04933	AGE-RAGE signaling pathway in diabetic complications	2	10	0.2	0.0262836588881267	0.222534978586139	AN0182.2/AN4668.2
TRUE	FALSE	3	03410	Base excision repair	3	18	0.17	0.0298297805797233	0.236773883351553	AN2764.2/AN3129.2/AN3947.2
TRUE	FALSE	3	00220	Arginine biosynthesis	3	20	0.15	0.0423716203855612	0.316540928762722	AN1923.2/AN5867.2/AN7722.2
TRUE	FALSE	3	00620	Pyruvate metabolism	5	40	0.12	0.0484848656084821	0.34208766290429	AN0628.2/AN2098.2/AN4792.2/AN6499.2/AN9066.2
TRUE	TRUE	4	04011	MAPK signaling pathway - yeast	37	61	0.61	1.51241890083422e-12	1.22667396198315e-10	AN0134.2/AN0351.2/AN1017.2/AN1339.2/AN1800.2/AN2005.2/AN2067.2/AN2269.2/AN2290.2/AN2522.2/AN2742.2/AN2766.2/AN2911.2/AN2984.2/AN3422.2/AN3719.2/AN3729.2/AN3941.2/AN4182.2/AN4189.2/AN4501.2/AN4544.2/AN5660.2/AN5740.2/AN5744.2/AN5757.2/AN5822.2/AN5893.2/AN5918.2/AN6505.2/AN6892.2/AN6982.2/AN7030.2/AN7252.2/AN8553.2/AN8676.2/AN9339.2
TRUE	TRUE	4	01100	Metabolic pathways	207	904	0.23	1.93177001887111e-12	1.22667396198315e-10	AN0067.2/AN0121.2/AN0179.2/AN0240.2/AN0259.2/AN0260.2/AN0270.2/AN0271.2/AN0285.2/AN0299.2/AN0357.2/AN0443.2/AN0494.2/AN0551.2/AN0554.2/AN0565.2/AN0593.2/AN0640.2/AN0654.2/AN0664.2/AN0667.2/AN0688.2/AN0787.2/AN0797.2/AN0802.2/AN0896.2/AN0929.2/AN1015.2/AN1102.2/AN1226.2/AN1246.2/AN1342.2/AN1357.2/AN1416.2/AN1430.2/AN1624.2/AN1752.2/AN1769.2/AN1778.2/AN1854.2/AN1918.2/AN1989.2/AN1990.2/AN1993.2/AN2017.2/AN2114.2/AN2135.2/AN2248.2/AN2284.2/AN2311.2/AN2315.2/AN2332.2/AN2435.2/AN2436.2/AN2463.2/AN2508.2/AN2526.2/AN2532.2/AN2583.2/AN2666.2/AN2723.2/AN2766.2/AN2793.2/AN2851.2/AN2875.2/AN2900.2/AN2914.2/AN2916.2/AN2981.2/AN2998.2/AN2999.2/AN3033.2/AN3058.2/AN3059.2/AN3067.2/AN3150.2/AN3177.2/AN3188.2/AN3222.2/AN3223.2/AN3308.2/AN3431.2/AN3432.2/AN3456.2/AN3586.2/AN3591.2/AN3641.2/AN3748.2/AN3817.2/AN3829.2/AN3869.2/AN3894.2/AN3901.2/AN3954.2/AN4042.2/AN4081.2/AN4102.2/AN4154.2/AN4159.2/AN4219.2/AN4255.2/AN4269.2/AN4294.2/AN4323.2/AN4332.2/AN4353.2/AN4376.2/AN4388.2/AN4397.2/AN4439.2/AN4443.2/AN4462.2/AN4464.2/AN4525.2/AN4532.2/AN4603.2/AN4690.2/AN4769.2/AN4778.2/AN4829.2/AN4843.2/AN4871.2/AN4956.2/AN4957.2/AN5077.2/AN5130.2/AN5134.2/AN5200.2/AN5210.2/AN5447.2/AN5523.2/AN5525.2/AN5566.2/AN5585.2/AN5589.2/AN5599.2/AN5604.2/AN5626.2/AN5634.2/AN5652.2/AN5725.2/AN5746.2/AN5749.2/AN5830.2/AN5886.2/AN5888.2/AN5907.2/AN5908.2/AN5909.2/AN5939.2/AN5952.2/AN5959.2/AN5999.2/AN6014.2/AN6032.2/AN6035.2/AN6048.2/AN6126.2/AN6127.2/AN6159.2/AN6168.2/AN6209.2/AN6211.2/AN6338.2/AN6506.2/AN6541.2/AN6558.2/AN6643.2/AN6650.2/AN6653.2/AN6824.2/AN6857.2/AN7146.2/AN7193.2/AN7334.2/AN7387.2/AN7388.2/AN7451.2/AN7469.2/AN7564.2/AN7588.2/AN7600.2/AN7873.2/AN7878.2/AN7880.2/AN8009.2/AN8010.2/AN8117.2/AN8118.2/AN8121.2/AN8188.2/AN8231.2/AN8275.2/AN8277.2/AN8566.2/AN8639.2/AN8689.2/AN8707.2/AN8843.2/AN8859.2/AN8861.2/AN9064.2/AN9083.2/AN9102.2/AN9148.2/AN9407.2/AN9408.2
TRUE	TRUE	4	01110	Biosynthesis of secondary metabolites	99	358	0.28	3.5791725132717e-06	0.000151518303061835	AN0121.2/AN0240.2/AN0259.2/AN0285.2/AN0351.2/AN0554.2/AN0654.2/AN0667.2/AN0688.2/AN0797.2/AN0802.2/AN0896.2/AN1015.2/AN1246.2/AN1342.2/AN1396.2/AN1778.2/AN1918.2/AN1993.2/AN2284.2/AN2311.2/AN2332.2/AN2435.2/AN2436.2/AN2526.2/AN2532.2/AN2583.2/AN2723.2/AN2793.2/AN2875.2/AN2914.2/AN2916.2/AN2981.2/AN2999.2/AN3058.2/AN3059.2/AN3177.2/AN3188.2/AN3223.2/AN3432.2/AN3456.2/AN3586.2/AN3641.2/AN3748.2/AN3817.2/AN3869.2/AN3954.2/AN4102.2/AN4154.2/AN4255.2/AN4323.2/AN4443.2/AN4464.2/AN4778.2/AN4956.2/AN5130.2/AN5134.2/AN5210.2/AN5447.2/AN5525.2/AN5599.2/AN5604.2/AN5626.2/AN5634.2/AN5746.2/AN5749.2/AN5886.2/AN5907.2/AN5908.2/AN5918.2/AN5939.2/AN5959.2/AN6048.2/AN6126.2/AN6209.2/AN6211.2/AN6338.2/AN6506.2/AN6541.2/AN6650.2/AN6653.2/AN7146.2/AN7334.2/AN7387.2/AN7388.2/AN7469.2/AN7564.2/AN7588.2/AN7878.2/AN8117.2/AN8121.2/AN8275.2/AN8277.2/AN8553.2/AN8689.2/AN8707.2/AN8843.2/AN8859.2/AN9339.2
TRUE	TRUE	4	01200	Carbon metabolism	42	111	0.38	5.20628105126467e-06	0.000165299423377653	AN0240.2/AN0285.2/AN0688.2/AN0896.2/AN1246.2/AN1342.2/AN1918.2/AN1993.2/AN2332.2/AN2583.2/AN2875.2/AN2916.2/AN2981.2/AN2999.2/AN3058.2/AN3059.2/AN3223.2/AN3591.2/AN3641.2/AN3954.2/AN4255.2/AN4462.2/AN5210.2/AN5525.2/AN5604.2/AN5626.2/AN5634.2/AN5746.2/AN5907.2/AN5908.2/AN5918.2/AN6048.2/AN6168.2/AN6650.2/AN6653.2/AN7588.2/AN8275.2/AN8277.2/AN8553.2/AN8689.2/AN8707.2/AN9339.2
TRUE	TRUE	4	01130	Biosynthesis of antibiotics	79	270	0.29	1.24680417620952e-05	0.000316688260757218	AN0240.2/AN0259.2/AN0285.2/AN0554.2/AN0654.2/AN0667.2/AN0688.2/AN0896.2/AN1246.2/AN1342.2/AN1428.2/AN1769.2/AN1918.2/AN1990.2/AN1993.2/AN2311.2/AN2332.2/AN2435.2/AN2436.2/AN2526.2/AN2583.2/AN2875.2/AN2914.2/AN2916.2/AN2981.2/AN2999.2/AN3058.2/AN3059.2/AN3223.2/AN3432.2/AN3456.2/AN3641.2/AN3817.2/AN3869.2/AN3894.2/AN3954.2/AN4042.2/AN4154.2/AN4255.2/AN4294.2/AN4323.2/AN4464.2/AN4769.2/AN4956.2/AN5134.2/AN5210.2/AN5525.2/AN5565.2/AN5585.2/AN5604.2/AN5626.2/AN5746.2/AN5749.2/AN5907.2/AN5908.2/AN5918.2/AN5959.2/AN6048.2/AN6126.2/AN6209.2/AN6338.2/AN6506.2/AN6528.2/AN6541.2/AN6650.2/AN7146.2/AN7387.2/AN7564.2/AN7588.2/AN7878.2/AN8121.2/AN8275.2/AN8277.2/AN8553.2/AN8689.2/AN8707.2/AN8859.2/AN9148.2/AN9339.2
TRUE	TRUE	4	01230	Biosynthesis of amino acids	43	127	0.34	8.87247541289404e-05	0.00187800729572924	AN0240.2/AN0688.2/AN0797.2/AN1246.2/AN1990.2/AN1993.2/AN2526.2/AN2583.2/AN2723.2/AN2793.2/AN2875.2/AN2914.2/AN2999.2/AN3058.2/AN3059.2/AN3223.2/AN3456.2/AN3748.2/AN3894.2/AN4159.2/AN4323.2/AN4443.2/AN4462.2/AN4956.2/AN5134.2/AN5210.2/AN5525.2/AN5746.2/AN5749.2/AN5886.2/AN5907.2/AN5908.2/AN6048.2/AN6338.2/AN6650.2/AN7387.2/AN7564.2/AN7588.2/AN7878.2/AN8275.2/AN8277.2/AN8843.2/AN8859.2
TRUE	TRUE	4	00250	Alanine, aspartate and glutamate metabolism	14	33	0.42	0.00138618062606629	0.0232726568313838	AN0565.2/AN1342.2/AN1993.2/AN2248.2/AN2914.2/AN3829.2/AN4159.2/AN4376.2/AN5134.2/AN5447.2/AN5999.2/AN6048.2/AN6209.2/AN7451.2
TRUE	TRUE	4	01210	2-Oxocarboxylic acid metabolism	17	43	0.4	0.00146599413111079	0.0232726568313838	AN1990.2/AN1993.2/AN2526.2/AN2793.2/AN2999.2/AN3894.2/AN4323.2/AN4956.2/AN5525.2/AN5749.2/AN5886.2/AN6048.2/AN6338.2/AN6650.2/AN7878.2/AN8275.2/AN8859.2
TRUE	TRUE	4	00020	Citrate cycle (TCA cycle)	12	28	0.43	0.00231856941950762	0.0327175906974964	AN0896.2/AN1918.2/AN2332.2/AN2435.2/AN2436.2/AN2916.2/AN2999.2/AN4462.2/AN5525.2/AN6650.2/AN8275.2/AN8707.2
TRUE	TRUE	4	00030	Pentose phosphate pathway	11	26	0.42	0.00364427903176232	0.0441294684028649	AN0240.2/AN0285.2/AN0688.2/AN2875.2/AN2981.2/AN3223.2/AN3641.2/AN3954.2/AN5604.2/AN5907.2/AN7588.2
TRUE	TRUE	4	03060	Protein export	8	17	0.47	0.00382223742072058	0.0441294684028649	AN0417.2/AN0643.2/AN0834.2/AN2014.2/AN2062.2/AN3149.2/AN4580.2/AN4589.2
TRUE	TRUE	4	00061	Fatty acid biosynthesis	7	15	0.47	0.00607092120775788	0.0642505827821042	AN4294.2/AN6014.2/AN6126.2/AN7873.2/AN7880.2/AN9407.2/AN9408.2
TRUE	TRUE	4	04933	AGE-RAGE signaling pathway in diabetic complications	5	10	0.5	0.00859288354397002	0.0839458623141687	AN0664.2/AN1017.2/AN3719.2/AN5457.2/AN5832.2
TRUE	TRUE	4	00440	Phosphonate and phosphinate metabolism	2	3	0.67	0.00962889575405427	0.0873478400546351	AN1357.2/AN4778.2
TRUE	TRUE	4	00630	Glyoxylate and dicarboxylate metabolism	14	40	0.35	0.0119824723425401	0.101451599166839	AN0495.2/AN1342.2/AN3058.2/AN4159.2/AN4397.2/AN5525.2/AN5626.2/AN5634.2/AN5918.2/AN6650.2/AN6653.2/AN8275.2/AN8553.2/AN9339.2
TRUE	TRUE	4	00230	Purine metabolism	24	80	0.3	0.0161535118176404	0.128218500052521	AN0067.2/AN0259.2/AN0260.2/AN2135.2/AN2740.2/AN3033.2/AN3067.2/AN3222.2/AN4219.2/AN4269.2/AN4464.2/AN4603.2/AN4769.2/AN5210.2/AN5566.2/AN5939.2/AN6209.2/AN6541.2/AN6558.2/AN7711.2/AN8121.2/AN8861.2/AN9083.2/AN9102.2
TRUE	TRUE	4	00010	Glycolysis / Gluconeogenesis	15	46	0.33	0.0203671158630063	0.152154336153047	AN0554.2/AN1246.2/AN1918.2/AN2583.2/AN2875.2/AN3059.2/AN3223.2/AN3432.2/AN4255.2/AN5210.2/AN5604.2/AN5626.2/AN5746.2/AN5908.2/AN8689.2
TRUE	TRUE	4	00760	Nicotinate and nicotinamide metabolism	7	18	0.39	0.0224187972914673	0.158177069778686	AN1226.2/AN3222.2/AN3431.2/AN3829.2/AN4439.2/AN5939.2/AN6824.2
TRUE	TRUE	4	00051	Fructose and mannose metabolism	14	43	0.33	0.023910814473887	0.15982491779914	AN0667.2/AN2666.2/AN2815.2/AN2875.2/AN3223.2/AN4255.2/AN5012.2/AN5144.2/AN5604.2/AN5672.2/AN5907.2/AN5908.2/AN5975.2/AN8689.2
TRUE	TRUE	4	00520	Amino sugar and nucleotide sugar metabolism	17	55	0.31	0.0263072640161172	0.167051126502344	AN0299.2/AN0667.2/AN1277.2/AN1416.2/AN1428.2/AN1555.2/AN2523.2/AN4255.2/AN4566.2/AN4871.2/AN4957.2/AN5077.2/AN6317.2/AN6318.2/AN6366.2/AN8689.2/AN9148.2
TRUE	TRUE	4	00620	Pyruvate metabolism	13	40	0.32	0.028063882034344	0.169719667541033	AN0554.2/AN1547.2/AN1918.2/AN1990.2/AN3901.2/AN4462.2/AN5210.2/AN5626.2/AN6126.2/AN6168.2/AN6653.2/AN6840.2/AN8707.2
TRUE	TRUE	4	00261	Monobactam biosynthesis	2	4	0.5	0.0323478084587719	0.171173819761001	AN4769.2/AN8859.2
TRUE	TRUE	4	00590	Arachidonic acid metabolism	2	4	0.5	0.0323478084587719	0.171173819761001	AN2846.2/AN6211.2
TRUE	TRUE	4	00591	Linoleic acid metabolism	2	4	0.5	0.0323478084587719	0.171173819761001	AN5028.2/AN6211.2
TRUE	TRUE	4	00680	Methane metabolism	8	23	0.35	0.037480896703203	0.190402955252271	AN1342.2/AN2875.2/AN3058.2/AN3059.2/AN3223.2/AN5604.2/AN5626.2/AN5746.2
TRUE	TRUE	4	00430	Taurine and hypotaurine metabolism	3	7	0.43	0.0409557373223461	0.200053024612998	AN4081.2/AN5447.2/AN7451.2
TRUE	TRUE	4	00220	Arginine biosynthesis	7	20	0.35	0.0431747490782067	0.203081227145639	AN1993.2/AN2914.2/AN4159.2/AN4376.2/AN5749.2/AN6048.2/AN7451.2
TRUE	TRUE	4	01501	beta-Lactam resistance	1	2	0.5	0.0453425368187452	0.205660791999308	AN1416.2
