hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	2	GO:0034605	cellular response to heat	0.00716	57	13	6.2	0.228	2.145	AN0931,AN1191,AN1546,AN3441,AN3583,AN3592,AN3725,AN5324,AN5635,AN6246,AN6293,AN7104,AN8862
FALSE	TRUE	2	GO:0044255	cellular lipid metabolic process	0.01052	334	52	36.36	0.156	1.978	AN0137,AN0432,AN0609,AN0716,AN0824,AN0839,AN0868,AN10215,AN10340,AN1039,AN11072,AN1165,AN1376,AN1409,AN1663,AN1671,AN1921,AN2047,AN2240,AN2464,AN2611,AN2766,AN2947,AN4056,AN4278,AN4303,AN4465,AN4601,AN4684,AN4864,AN4997,AN5159,AN5192,AN5217,AN5644,AN5646,AN5698,AN5812,AN5833,AN5916,AN6496,AN6610,AN6639,AN6712,AN6752,AN6975,AN7008,AN7123,AN7604,AN8053,AN8280,AN9106
FALSE	TRUE	2	GO:0051726	regulation of cell cycle	0.01169	211	32	22.97	0.152	1.932	AN0113,AN0808,AN0931,AN1019,AN10336,AN10956,AN1661,AN1922,AN2047,AN2128,AN2143,AN2246,AN2489,AN2854,AN3435,AN3725,AN4263,AN4279,AN4936,AN5133,AN5627,AN5631,AN5717,AN6305,AN6553,AN6578,AN6975,AN6978,AN7007,AN7487,AN8071,AN9424
FALSE	TRUE	2	GO:0000272	polysaccharide catabolic process	0.01182	84	12	9.14	0.143	1.927	AN0388,AN0452,AN0472,AN10060,AN11143,AN1571,AN1772,AN3369,AN5267,AN8007,AN8138,AN8401
FALSE	TRUE	2	GO:1903509	liposaccharide metabolic process	0.01186	46	6	5.01	0.13	1.926	AN1165,AN1663,AN2240,AN2464,AN6496,AN7123
FALSE	TRUE	2	GO:0090307	mitotic spindle assembly	0.01309	14	5	1.52	0.357	1.883	AN2047,AN2128,AN4417,AN6340,AN6978
FALSE	TRUE	2	GO:0031327	negative regulation of cellular biosynthetic process	0.01678	195	31	21.23	0.159	1.775	AN0253,AN0295,AN10059,AN1019,AN1039,AN10621,AN10956,AN1132,AN1170,AN1179,AN1191,AN1485,AN1491,AN1546,AN2246,AN2426,AN2489,AN2854,AN3879,AN3913,AN4279,AN4465,AN4997,AN5217,AN5643,AN6221,AN6293,AN6305,AN7007,AN7545,AN8282
FALSE	TRUE	2	GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.01955	110	21	11.97	0.191	1.709	AN0118,AN0163,AN0891,AN10434,AN10854,AN11793,AN12408,AN12465,AN12478,AN1418,AN1546,AN2516,AN3583,AN3636,AN3913,AN4685,AN6293,AN6305,AN6496,AN7487,AN8044
FALSE	TRUE	2	GO:0015908	fatty acid transport	0.01998	6	3	0.65	0.5	1.699	AN1014,AN1059,AN5192
FALSE	TRUE	2	GO:0051055	negative regulation of lipid biosynthetic process	0.01998	6	3	0.65	0.5	1.699	AN4465,AN4997,AN5217
FALSE	TRUE	2	GO:0006751	glutathione catabolic process	0.01998	6	3	0.65	0.5	1.699	AN10444,AN1092,AN3459
FALSE	TRUE	2	GO:0019568	arabinose catabolic process	0.01998	6	3	0.65	0.5	1.699	AN0388,AN0423,AN4691
FALSE	TRUE	2	GO:0000183	chromatin silencing at rDNA	0.02372	21	6	2.29	0.286	1.625	AN0253,AN10956,AN1170,AN1546,AN3879,AN5643
FALSE	TRUE	2	GO:0005997	xylulose metabolic process	0.02462	11	4	1.2	0.364	1.609	AN0423,AN7590,AN8790,AN9114
FALSE	TRUE	2	GO:0030950	establishment or maintenance of actin cytoskeleton polarity	0.02462	11	4	1.2	0.364	1.609	AN10743,AN4953,AN5529,AN7487
FALSE	TRUE	2	GO:0006644	phospholipid metabolic process	0.02635	125	19	13.61	0.152	1.579	AN0137,AN0716,AN10340,AN1376,AN1671,AN2047,AN2240,AN2766,AN2947,AN4278,AN4303,AN4997,AN5159,AN6496,AN6610,AN6712,AN6975,AN7604,AN8053
FALSE	TRUE	2	GO:0000909	sporocarp development involved in sexual reproduction	0.02976	110	19	11.97	0.173	1.526	AN0144,AN0931,AN10504,AN1376,AN1491,AN1661,AN2129,AN2489,AN2520,AN3435,AN3913,AN4263,AN5798,AN6221,AN6305,AN6866,AN7104,AN7743,AN8071
FALSE	TRUE	2	GO:0007533	mating type switching	0.03201	14	6	1.52	0.429	1.495	AN10621,AN1170,AN2854,AN7007,AN8282,AN8713
FALSE	TRUE	2	GO:0009074	aromatic amino acid family catabolic process	0.03201	24	7	2.61	0.292	1.495	AN1895,AN1896,AN1897,AN1898,AN1899,AN5060,AN6889
FALSE	TRUE	2	GO:0032507	maintenance of protein location in cell	0.03201	24	7	2.61	0.292	1.495	AN0576,AN4278,AN4279,AN4685,AN4951,AN5529,AN5915
FALSE	TRUE	2	GO:1903466	regulation of mitotic DNA replication initiation	0.03217	7	3	0.76	0.429	1.493	AN1019,AN2854,AN4279
FALSE	TRUE	2	GO:0007534	gene conversion at mating-type locus	0.03217	7	3	0.76	0.429	1.493	AN10621,AN7007,AN8713
FALSE	TRUE	2	GO:0048478	replication fork protection	0.03217	7	3	0.76	0.429	1.493	AN10956,AN4279,AN7007
FALSE	TRUE	2	GO:0031532	actin cytoskeleton reorganization	0.03217	7	3	0.76	0.429	1.493	AN1324,AN5686,AN8862
FALSE	TRUE	2	GO:0006111	regulation of gluconeogenesis	0.03217	7	3	0.76	0.429	1.493	AN10854,AN1179,AN6293
FALSE	TRUE	2	GO:0006820	anion transport	0.0328	152	21	16.55	0.138	1.484	AN0218,AN1014,AN1059,AN10622,AN10804,AN2043,AN2477,AN2977,AN3304,AN3341,AN4477,AN4478,AN4904,AN4997,AN5100,AN5192,AN5302,AN6107,AN6578,AN6782,AN7437
FALSE	TRUE	2	GO:0030838	positive regulation of actin filament polymerization	0.03291	24	5	2.61	0.208	1.483	AN1324,AN1558,AN4743,AN5686,AN7487
FALSE	TRUE	2	GO:0000122	negative regulation of transcription by RNA polymerase II	0.03651	63	13	6.86	0.206	1.438	AN10059,AN1132,AN1170,AN1485,AN1546,AN2426,AN2489,AN2854,AN3879,AN5643,AN6221,AN6293,AN8282
FALSE	TRUE	2	GO:0044182	filamentous growth of a population of unicellular organisms	0.0383	210	36	22.86	0.171	1.417	AN0118,AN0163,AN0891,AN10434,AN10516,AN10854,AN10929,AN10956,AN11071,AN11793,AN12408,AN12465,AN12473,AN12478,AN1324,AN1418,AN1546,AN2047,AN2464,AN2516,AN2854,AN3441,AN3583,AN3636,AN3913,AN4278,AN4685,AN5162,AN5686,AN6293,AN6305,AN6496,AN7487,AN8044,AN8862,AN8877
FALSE	TRUE	2	GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.03883	18	5	1.96	0.278	1.411	AN2520,AN5791,AN5824,AN7487,AN7743
FALSE	TRUE	2	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.03956	52	10	5.66	0.192	1.403	AN0465,AN1486,AN2759,AN3313,AN3745,AN4298,AN6561,AN6585,AN7526,AN8870
FALSE	TRUE	2	GO:0000022	mitotic spindle elongation	0.04475	13	4	1.42	0.308	1.349	AN2128,AN3579,AN6340,AN6978
FALSE	TRUE	2	GO:0000011	vacuole inheritance	0.04475	13	4	1.42	0.308	1.349	AN0576,AN12408,AN4416,AN8862
FALSE	TRUE	2	GO:0010389	regulation of G2/M transition of mitotic cell cycle	0.04707	54	11	5.88	0.204	1.327	AN0931,AN2128,AN2489,AN3725,AN4279,AN5627,AN5717,AN6975,AN6978,AN7007,AN9424
FALSE	TRUE	2	GO:0044042	glucan metabolic process	0.04721	85	13	9.25	0.153	1.326	AN0106,AN0388,AN0452,AN10060,AN1332,AN3369,AN3913,AN4825,AN4953,AN7487,AN8149,AN8947,AN8953
FALSE	TRUE	2	GO:0030466	chromatin silencing at silent mating-type cassette	0.04727	35	9	3.81	0.257	1.325	AN1039,AN10621,AN1170,AN1191,AN1491,AN1546,AN2854,AN3879,AN8282
FALSE	TRUE	2	GO:0006913	nucleocytoplasmic transport	0.04731	107	20	11.65	0.187	1.325	AN0843,AN0931,AN11250,AN1190,AN1245,AN12473,AN1875,AN2047,AN2210,AN3745,AN4279,AN4743,AN5627,AN5717,AN6305,AN6978,AN7182,AN7487,AN7545,AN7602
FALSE	TRUE	2	GO:0006559	L-phenylalanine catabolic process	0.04738	8	3	0.87	0.375	1.324	AN1895,AN1896,AN1897
FALSE	TRUE	2	GO:0032889	regulation of vacuole fusion, non-autophagic	0.04738	8	3	0.87	0.375	1.324	AN0163,AN0914,AN7487
FALSE	TRUE	2	GO:0044030	regulation of DNA methylation	0.04738	8	3	0.87	0.375	1.324	AN2229,AN2848,AN3840
TRUE	FALSE	3	GO:0006783	heme biosynthetic process	0.00017	14	6	0.94	0.429	3.77	AN1722,AN1915,AN3663,AN4250,AN4774,AN7752
TRUE	FALSE	3	GO:0019660	glycolytic fermentation	0.00272	5	3	0.34	0.6	2.565	AN2286,AN4888,AN8979
TRUE	FALSE	3	GO:0006801	superoxide metabolic process	0.00305	10	4	0.67	0.4	2.516	AN0182,AN4215,AN5148,AN6045
TRUE	FALSE	3	GO:0000722	telomere maintenance via recombination	0.00305	10	4	0.67	0.4	2.516	AN2285,AN4407,AN6569,AN7753
TRUE	FALSE	3	GO:0015846	polyamine transport	0.00517	6	3	0.4	0.5	2.287	AN0418,AN1061,AN5678
TRUE	FALSE	3	GO:0006115	ethanol biosynthetic process	0.00517	6	3	0.4	0.5	2.287	AN2286,AN4888,AN8979
TRUE	FALSE	3	GO:0071705	nitrogen compound transport	0.00857	431	38	28.93	0.088	2.067	AN0182,AN0399,AN0418,AN1008,AN1061,AN10689,AN1163,AN11722,AN11775,AN1181,AN1223,AN12344,AN1401,AN2052,AN2418,AN2432,AN2474,AN2687,AN3663,AN3720,AN4043,AN4250,AN4402,AN5482,AN5668,AN5678,AN5801,AN5819,AN6257,AN6920,AN7149,AN7285,AN7687,AN8041,AN8233,AN8534,AN8647,AN8672
TRUE	FALSE	3	GO:0008361	regulation of cell size	0.0086	7	3	0.47	0.429	2.066	AN0817,AN6053,AN7571
TRUE	FALSE	3	GO:0007019	microtubule depolymerization	0.0086	7	3	0.47	0.429	2.066	AN1182,AN2687,AN2862
TRUE	FALSE	3	GO:0045991	carbon catabolite activation of transcription	0.0086	7	3	0.47	0.429	2.066	AN0182,AN2172,AN4785
TRUE	FALSE	3	GO:0034251	regulation of cellular amide catabolic process	0.0086	7	3	0.47	0.429	2.066	AN2270,AN4035,AN6115
TRUE	FALSE	3	GO:0006904	vesicle docking involved in exocytosis	0.00883	13	4	0.87	0.308	2.054	AN1002,AN2418,AN3144,AN6493
TRUE	FALSE	3	GO:0034599	cellular response to oxidative stress	0.01176	121	16	8.12	0.132	1.93	AN0182,AN10223,AN1401,AN2412,AN3129,AN3163,AN4215,AN4238,AN4747,AN5823,AN6045,AN7189,AN7632,AN7698,AN7708,AN8080
TRUE	FALSE	3	GO:0036177	filamentous growth of a population of unicellular organisms in response to pH	0.01285	28	5	1.88	0.179	1.891	AN1797,AN1844,AN4723,AN6886,AN7698
TRUE	FALSE	3	GO:0006744	ubiquinone biosynthetic process	0.01515	15	4	1.01	0.267	1.82	AN1860,AN1999,AN4569,AN4757
TRUE	FALSE	3	GO:0044011	single-species biofilm formation on inanimate substrate	0.01639	31	6	2.08	0.194	1.785	AN0182,AN0806,AN10367,AN10902,AN4052,AN4723
TRUE	FALSE	3	GO:0033609	oxalate metabolic process	0.01864	9	3	0.6	0.333	1.73	AN2286,AN7632,AN8979
TRUE	FALSE	3	GO:0043392	negative regulation of DNA binding	0.01864	9	3	0.6	0.333	1.73	AN3450,AN4407,AN6921
TRUE	FALSE	3	GO:0006696	ergosterol biosynthetic process	0.02399	34	6	2.28	0.176	1.62	AN11008,AN1901,AN4923,AN5823,AN6973,AN8283
TRUE	FALSE	3	GO:0043144	snoRNA processing	0.02463	13	3	0.87	0.231	1.609	AN2437,AN4570,AN8691
TRUE	FALSE	3	GO:0038202	TORC1 signaling	0.02464	16	3	1.07	0.188	1.608	AN1612,AN4238,AN7506
TRUE	FALSE	3	GO:0043248	proteasome assembly	0.03307	19	4	1.28	0.211	1.481	AN10708,AN11813,AN4731,AN5774
TRUE	FALSE	3	GO:0045454	cell redox homeostasis	0.03644	28	5	1.88	0.179	1.438	AN4215,AN4402,AN7436,AN7632,AN8080
TRUE	FALSE	3	GO:0031589	cell-substrate adhesion	0.03911	25	5	1.68	0.2	1.408	AN0182,AN0817,AN10367,AN4052,AN8041
TRUE	FALSE	3	GO:2000114	regulation of establishment of cell polarity	0.03928	5	2	0.34	0.4	1.406	AN4564,AN8233
TRUE	FALSE	3	GO:0032922	circadian regulation of gene expression	0.03928	5	2	0.34	0.4	1.406	AN0182,AN1255
TRUE	FALSE	3	GO:0030026	cellular manganese ion homeostasis	0.03928	5	2	0.34	0.4	1.406	AN10367,AN7464
TRUE	FALSE	3	GO:0006020	inositol metabolic process	0.03928	5	2	0.34	0.4	1.406	AN0235,AN7625
TRUE	FALSE	3	GO:0070911	global genome nucleotide-excision repair	0.03928	5	2	0.34	0.4	1.406	AN0091,AN4570
TRUE	FALSE	3	GO:0051230	spindle disassembly	0.03928	5	2	0.34	0.4	1.406	AN1182,AN3363
TRUE	FALSE	3	GO:0031110	regulation of microtubule polymerization or depolymerization	0.03928	5	2	0.34	0.4	1.406	AN2687,AN2862
TRUE	FALSE	3	GO:0006359	regulation of transcription by RNA polymerase III	0.03928	5	2	0.34	0.4	1.406	AN3116,AN4238
TRUE	FALSE	3	GO:1902405	mitotic actomyosin contractile ring localization	0.03928	5	2	0.34	0.4	1.406	AN4564,AN4963
TRUE	FALSE	3	GO:0071451	cellular response to superoxide	0.03928	5	2	0.34	0.4	1.406	AN4215,AN6045
TRUE	FALSE	3	GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA	0.03928	5	2	0.34	0.4	1.406	AN5694,AN6893
TRUE	FALSE	3	GO:0034729	histone H3-K79 methylation	0.03928	5	2	0.34	0.4	1.406	AN0091,AN4570
TRUE	FALSE	3	GO:0019583	galactonate metabolic process	0.03928	5	2	0.34	0.4	1.406	AN3524,AN7358
TRUE	FALSE	3	GO:0000956	nuclear-transcribed mRNA catabolic process	0.04115	43	6	2.89	0.14	1.386	AN0235,AN10164,AN2437,AN5694,AN6893,AN8691
TRUE	FALSE	3	GO:0006013	mannose metabolic process	0.04201	12	3	0.81	0.25	1.377	AN0667,AN5586,AN7459
TRUE	FALSE	3	GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.04798	146	14	9.8	0.096	1.319	AN0055,AN0182,AN0721,AN10902,AN11055,AN1222,AN1267,AN2412,AN2419,AN3090,AN3387,AN4407,AN4570,AN7169
TRUE	FALSE	3	GO:0006486	protein glycosylation	0.04858	55	5	3.69	0.091	1.314	AN0667,AN10367,AN4727,AN5586,AN8226
TRUE	TRUE	4	GO:0015976	carbon utilization	1e-08	24	18	4.82	0.75	8	AN0689,AN1017,AN10550,AN1918,AN3597,AN4462,AN4668,AN5356,AN5604,AN5626,AN5634,AN5746,AN6195,AN6279,AN6653,AN7468,AN7610,AN9461
TRUE	TRUE	4	GO:0006355	regulation of transcription, DNA-templated	2.4e-06	687	199	137.92	0.29	5.62	AN0096,AN0098,AN0148,AN0162,AN0176,AN0241,AN0263,AN0279,AN0364,AN0410,AN0554,AN0680,AN0689,AN0742,AN0766,AN0863,AN0902,AN0928,AN0988,AN10019,AN10120,AN10128,AN1017,AN10191,AN10378,AN10467,AN10541,AN10548,AN10550,AN1060,AN10610,AN10763,AN10912,AN11098,AN11099,AN11112,AN11165,AN11704,AN11753,AN1183,AN11891,AN11910,AN11961,AN1217,AN1226,AN1227,AN1272,AN1303,AN1339,AN1402,AN1414,AN1416,AN1425,AN1518,AN1536,AN1678,AN1800,AN1812,AN1848,AN1893,AN1924,AN1927,AN1984,AN2001,AN2009,AN2016,AN2020,AN2036,AN2290,AN2375,AN2421,AN2500,AN2581,AN2597,AN2761,AN2852,AN2855,AN2902,AN2911,AN2944,AN2984,AN2996,AN3048,AN3067,AN3071,AN3075,AN3102,AN3152,AN3214,AN3224,AN3250,AN3255,AN3422,AN3423,AN3433,AN3468,AN3506,AN3587,AN3607,AN3675,AN3684,AN3688,AN3730,AN3785,AN3835,AN3911,AN3919,AN4034,AN4113,AN4182,AN4210,AN4247,AN4324,AN4335,AN4361,AN4447,AN4479,AN4501,AN4558,AN4741,AN4744,AN4900,AN4935,AN4976,AN4985,AN4987,AN5170,AN5218,AN5279,AN5296,AN5349,AN5351,AN5651,AN5747,AN5752,AN5775,AN5836,AN5849,AN5859,AN5870,AN5893,AN5898,AN5924,AN5955,AN6062,AN6129,AN6195,AN6359,AN6392,AN6430,AN6505,AN6684,AN6733,AN6790,AN6837,AN6849,AN6858,AN6982,AN7012,AN7050,AN7103,AN7190,AN7297,AN7303,AN7332,AN7468,AN7475,AN7507,AN7513,AN7542,AN7572,AN7610,AN7661,AN7872,AN8039,AN8079,AN8125,AN8129,AN8164,AN8168,AN8186,AN8211,AN8251,AN8298,AN8414,AN8535,AN8590,AN8636,AN8643,AN8655,AN8667,AN8694,AN8885,AN8978,AN9008,AN9025,AN9095,AN9397,AN9492
TRUE	TRUE	4	GO:0006313	transposition, DNA-mediated	2.6e-06	8	8	1.61	1	5.585	AN0263,AN10066,AN10127,AN10329,AN3048,AN4335,AN5956,AN8186
TRUE	TRUE	4	GO:0035690	cellular response to drug	5.7e-06	204	72	40.95	0.353	5.244	AN0363,AN0451,AN0595,AN0651,AN0771,AN0827,AN0927,AN1017,AN10709,AN10763,AN1085,AN10949,AN1126,AN11694,AN11705,AN1189,AN12054,AN1272,AN1518,AN1697,AN2300,AN2332,AN2846,AN2997,AN3113,AN3368,AN3422,AN3506,AN3688,AN3719,AN3729,AN3817,AN4189,AN4390,AN4615,AN4668,AN4674,AN4707,AN4758,AN5119,AN5296,AN5341,AN5378,AN5493,AN5523,AN5660,AN5740,AN5888,AN5908,AN5918,AN5985,AN6064,AN6118,AN6129,AN6207,AN6330,AN6505,AN6506,AN6566,AN6570,AN6849,AN7146,AN7513,AN7657,AN8269,AN8414,AN8489,AN8502,AN8643,AN9339,AN9340,AN9408
TRUE	TRUE	4	GO:0070787	conidiophore development	9.9e-06	83	38	16.66	0.458	5.004	AN0098,AN0363,AN0689,AN0863,AN0928,AN0988,AN10193,AN10515,AN1052,AN1189,AN1536,AN1539,AN1800,AN1848,AN2009,AN2269,AN2701,AN3113,AN3422,AN3719,AN4479,AN4563,AN4667,AN4702,AN4878,AN4935,AN5651,AN5660,AN5836,AN6150,AN6243,AN6688,AN7030,AN7185,AN7572,AN7661,AN8547,AN8741
TRUE	TRUE	4	GO:0030448	hyphal growth	1.9e-05	188	62	37.74	0.33	4.721	AN0410,AN0640,AN0651,AN0863,AN10515,AN10709,AN11098,AN1536,AN1539,AN1555,AN1628,AN1848,AN2009,AN2067,AN2269,AN2523,AN2701,AN3113,AN3416,AN3422,AN3719,AN3730,AN3735,AN3787,AN3795,AN3813,AN4182,AN4189,AN4566,AN4667,AN4702,AN4935,AN4987,AN5020,AN5296,AN5457,AN5651,AN5660,AN5740,AN5803,AN5832,AN5836,AN6195,AN6243,AN6317,AN6318,AN6330,AN6542,AN6566,AN6685,AN6688,AN6697,AN7030,AN7077,AN7185,AN7572,AN7576,AN8009,AN8831,AN8842,AN8863,AN9450
TRUE	TRUE	4	GO:0000768	syncytium formation by plasma membrane fusion	3.1e-05	29	16	5.82	0.552	4.509	AN1848,AN2269,AN2701,AN3422,AN3719,AN4189,AN4264,AN4702,AN5131,AN5169,AN5457,AN5458,AN5776,AN6125,AN7297,AN8831
TRUE	TRUE	4	GO:0048315	conidium formation	5e-05	132	54	26.5	0.409	4.301	AN0279,AN0363,AN0410,AN0651,AN0863,AN1017,AN10193,AN10515,AN1052,AN10610,AN1189,AN1536,AN1539,AN1555,AN1848,AN2009,AN2269,AN2421,AN2523,AN2740,AN2742,AN2911,AN3416,AN3422,AN3607,AN3688,AN3719,AN4189,AN4563,AN4566,AN4695,AN4935,AN4987,AN5021,AN5156,AN5296,AN5755,AN5757,AN5836,AN5893,AN6230,AN6243,AN6317,AN6318,AN6566,AN7030,AN7185,AN7542,AN7657,AN7757,AN8129,AN8842,AN9121,AN9339
TRUE	TRUE	4	GO:0071470	cellular response to osmotic stress	5.2e-05	58	33	11.64	0.569	4.284	AN0134,AN0351,AN0554,AN0641,AN1017,AN10763,AN1358,AN1624,AN1769,AN1800,AN2005,AN2269,AN2911,AN2919,AN2968,AN2997,AN3688,AN4479,AN4483,AN4668,AN4745,AN5129,AN5563,AN5746,AN6010,AN6089,AN6318,AN6505,AN6982,AN7799,AN7895,AN8690,AN8692
TRUE	TRUE	4	GO:0034605	cellular response to heat	6.5e-05	57	25	11.44	0.439	4.187	AN0858,AN1017,AN1652,AN2269,AN2530,AN2731,AN2761,AN2911,AN4189,AN4310,AN4467,AN4501,AN4668,AN4897,AN4987,AN5129,AN5523,AN5755,AN5975,AN6089,AN6849,AN7388,AN7572,AN8269,AN8643
TRUE	TRUE	4	GO:0097308	cellular response to farnesol	7.7e-05	46	21	9.23	0.457	4.114	AN0179,AN0240,AN0797,AN1396,AN1800,AN2435,AN2530,AN2846,AN4159,AN4376,AN4467,AN4479,AN4667,AN4695,AN5129,AN5564,AN5746,AN5886,AN5999,AN6505,AN8863
TRUE	TRUE	4	GO:0043936	asexual sporulation resulting in formation of a cellular spore	8.6e-05	73	33	14.65	0.452	4.066	AN0082,AN0186,AN0641,AN0787,AN10030,AN1017,AN1037,AN1052,AN1555,AN1632,AN2059,AN2067,AN2505,AN2742,AN2919,AN2936,AN3113,AN3470,AN4501,AN4674,AN4897,AN4987,AN5028,AN5131,AN5660,AN5740,AN5836,AN5893,AN6318,AN6731,AN7542,AN8741,AN8945
TRUE	TRUE	4	GO:0009405	pathogenesis	9.8e-05	143	48	28.71	0.336	4.009	AN0121,AN0241,AN0807,AN1017,AN1069,AN10763,AN1085,AN1358,AN1428,AN1555,AN2067,AN2996,AN3147,AN3719,AN3729,AN3730,AN3735,AN3765,AN4361,AN4390,AN4419,AN4479,AN4501,AN4515,AN4915,AN4987,AN5218,AN5296,AN5634,AN5803,AN5832,AN5918,AN6230,AN6505,AN6506,AN6541,AN6566,AN7050,AN7111,AN7170,AN7250,AN7468,AN7661,AN8251,AN8269,AN8741,AN9397,AN9407
TRUE	TRUE	4	GO:0000909	sporocarp development involved in sexual reproduction	0.00014	110	43	22.08	0.391	3.854	AN0082,AN0098,AN0279,AN0410,AN0641,AN0651,AN0988,AN1017,AN10193,AN10306,AN10515,AN1402,AN1536,AN1539,AN1848,AN2269,AN2290,AN2505,AN2701,AN2742,AN3036,AN3416,AN3422,AN3607,AN3719,AN3813,AN4189,AN4483,AN4702,AN4935,AN5156,AN5457,AN5651,AN5759,AN5836,AN6243,AN6505,AN7185,AN7252,AN8741,AN9008,AN9408,AN9450
TRUE	TRUE	4	GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00025	16	10	3.21	0.625	3.602	AN0363,AN0807,AN1052,AN2742,AN3607,AN3719,AN5893,AN6243,AN6505,AN8741
TRUE	TRUE	4	GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.00032	14	9	2.81	0.643	3.495	AN0363,AN0807,AN1052,AN3152,AN3607,AN3719,AN5028,AN6505,AN9121
TRUE	TRUE	4	GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	0.00032	9	7	1.81	0.778	3.495	AN0241,AN1017,AN2911,AN3688,AN4558,AN7661,AN9397
TRUE	TRUE	4	GO:0034599	cellular response to oxidative stress	0.00037	121	48	24.29	0.397	3.432	AN0158,AN0170,AN0241,AN0363,AN0607,AN0771,AN0988,AN1017,AN10220,AN10949,AN1274,AN1632,AN1652,AN2099,AN2269,AN2846,AN2911,AN3102,AN3581,AN3688,AN3793,AN3829,AN3954,AN4483,AN4668,AN4758,AN4987,AN5131,AN5447,AN5523,AN5755,AN5803,AN5918,AN5975,AN5991,AN6542,AN6849,AN7513,AN7567,AN7572,AN8251,AN8414,AN8643,AN8692,AN8805,AN8837,AN9090,AN9339
TRUE	TRUE	4	GO:0006096	glycolytic process	0.00038	25	13	5.02	0.52	3.42	AN1246,AN1918,AN2875,AN3059,AN3223,AN3641,AN3954,AN4462,AN4690,AN5210,AN5604,AN5746,AN8689
TRUE	TRUE	4	GO:0015074	DNA integration	0.00038	25	13	5.02	0.52	3.42	AN0263,AN10066,AN10127,AN10256,AN10329,AN10846,AN2670,AN3048,AN4289,AN4335,AN4976,AN5956,AN8186
