hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	2	GO:0001403	invasive growth in response to glucose limitation	0.02091	23	6	2.26	0.261	1.68	AN0081,AN1016,AN2269,AN4896,AN5057,AN7487
FALSE	TRUE	2	GO:0034605	cellular response to heat	0.02149	57	11	5.61	0.193	1.668	AN10673,AN2269,AN3583,AN3592,AN4467,AN5324,AN5635,AN6293,AN6892,AN7104,AN7698
FALSE	TRUE	2	GO:1900376	regulation of secondary metabolite biosynthetic process	0.02427	58	8	5.71	0.138	1.615	AN0081,AN2269,AN2850,AN4933,AN6749,AN7252,AN7819,AN8645
FALSE	TRUE	2	GO:0030011	maintenance of cell polarity	0.02456	7	3	0.69	0.429	1.61	AN2877,AN3735,AN4685
FALSE	TRUE	2	GO:0051651	maintenance of location in cell	0.02704	27	6	2.66	0.222	1.568	AN4278,AN4279,AN4528,AN4685,AN7698,AN8751
FALSE	TRUE	2	GO:0030838	positive regulation of actin filament polymerization	0.02708	24	5	2.36	0.208	1.567	AN1324,AN4743,AN5803,AN5981,AN7487
FALSE	TRUE	2	GO:0006820	anion transport	0.02711	152	17	14.96	0.112	1.567	AN0218,AN0568,AN1014,AN1059,AN2043,AN2468,AN2977,AN3341,AN4287,AN4478,AN4904,AN5302,AN6107,AN6578,AN6782,AN8762,AN9010
FALSE	TRUE	2	GO:0030448	hyphal growth	0.02873	188	27	18.5	0.144	1.542	AN0163,AN0253,AN10515,AN1123,AN1168,AN1171,AN12408,AN1324,AN1733,AN2212,AN2269,AN2516,AN2901,AN3683,AN3735,AN4238,AN4685,AN4743,AN5057,AN5803,AN6037,AN7032,AN7104,AN7487,AN7678,AN7687,AN7698
FALSE	TRUE	2	GO:0006878	cellular copper ion homeostasis	0.03233	13	4	1.28	0.308	1.49	AN1016,AN2977,AN6045,AN6107
FALSE	TRUE	2	GO:0006468	protein phosphorylation	0.03242	182	22	17.91	0.121	1.489	AN0106,AN0988,AN10019,AN10515,AN10819,AN10869,AN10937,AN1171,AN1485,AN1867,AN2269,AN2373,AN3090,AN4238,AN4279,AN6192,AN6768,AN6892,AN7104,AN7563,AN7678,AN8751
FALSE	TRUE	2	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	0.03647	8	3	0.79	0.375	1.438	AN10131,AN2243,AN5909
FALSE	TRUE	2	GO:0035023	regulation of Rho protein signal transduction	0.03647	8	3	0.79	0.375	1.438	AN0113,AN4036,AN5787
FALSE	TRUE	2	GO:1903828	negative regulation of cellular protein localization	0.03647	8	3	0.79	0.375	1.438	AN4279,AN5631,AN8751
FALSE	TRUE	2	GO:0001676	long-chain fatty acid metabolic process	0.03647	8	3	0.79	0.375	1.438	AN6752,AN7050,AN8280
FALSE	TRUE	2	GO:0005993	trehalose catabolic process	0.03647	8	3	0.79	0.375	1.438	AN1016,AN4238,AN5635
FALSE	TRUE	2	GO:0045733	acetate catabolic process	0.03647	8	3	0.79	0.375	1.438	AN1059,AN5356,AN6653
FALSE	TRUE	2	GO:0044042	glucan metabolic process	0.03661	85	9	8.36	0.106	1.436	AN0106,AN0779,AN10060,AN1332,AN4825,AN5214,AN5885,AN7487,AN8149
FALSE	TRUE	2	GO:0007015	actin filament organization	0.0415	48	10	4.72	0.208	1.382	AN0163,AN10515,AN1324,AN2516,AN3735,AN4743,AN4998,AN5803,AN5981,AN7487
TRUE	FALSE	3	GO:0016925	protein sumoylation	0.00046	6	4	0.46	0.667	3.337	AN0304,AN2298,AN2450,AN4399
TRUE	FALSE	3	GO:0071705	nitrogen compound transport	0.00201	431	39	33.16	0.09	2.697	AN0399,AN0417,AN0418,AN0643,AN0821,AN10034,AN1008,AN1061,AN10767,AN10921,AN1126,AN1163,AN1181,AN1223,AN12473,AN2052,AN2418,AN2687,AN3012,AN3352,AN3720,AN4633,AN4951,AN5105,AN5482,AN5678,AN5819,AN5868,AN6505,AN6542,AN6898,AN6978,AN7149,AN7683,AN8041,AN8233,AN8374,AN8647,AN8672
TRUE	FALSE	3	GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process	0.00403	5	3	0.38	0.6	2.395	AN0271,AN11124,AN8861
TRUE	FALSE	3	GO:0055114	oxidation-reduction process	0.00451	867	91	66.71	0.105	2.346	AN0158,AN0357,AN0623,AN0774,AN0775,AN0818,AN0839,AN1006,AN1007,AN10223,AN10290,AN10296,AN10527,AN10585,AN10586,AN10793,AN10893,AN11008,AN11045,AN11347,AN12101,AN1301,AN1510,AN1541,AN1598,AN1901,AN1915,AN1967,AN1986,AN2286,AN2306,AN2314,AN2316,AN2470,AN2648,AN2666,AN2704,AN2727,AN2960,AN2967,AN3030,AN3239,AN3394,AN3581,AN3638,AN3759,AN3813,AN3954,AN3958,AN4135,AN4336,AN4525,AN4592,AN4755,AN4774,AN4793,AN4888,AN5257,AN5276,AN5338,AN5497,AN5613,AN5846,AN5959,AN6092,AN6168,AN6215,AN6394,AN6400,AN6506,AN6658,AN6963,AN7274,AN7293,AN7500,AN7632,AN7708,AN7832,AN7922,AN7953,AN8041,AN8206,AN8283,AN8346,AN8406,AN8547,AN8907,AN9004,AN9066,AN9296,AN9308
TRUE	FALSE	3	GO:0009144	purine nucleoside triphosphate metabolic process	0.00582	84	15	6.46	0.179	2.235	AN0271,AN0357,AN11347,AN1246,AN1523,AN2286,AN2306,AN2316,AN3059,AN3954,AN4525,AN4888,AN7459,AN8041,AN8861
TRUE	FALSE	3	GO:0065003	protein-containing complex assembly	0.00584	309	31	23.78	0.1	2.234	AN0134,AN0235,AN0462,AN0643,AN0821,AN10178,AN10585,AN10956,AN11344,AN1227,AN1266,AN2687,AN3116,AN3156,AN3758,AN4706,AN4731,AN4740,AN5082,AN5443,AN5758,AN5774,AN5960,AN6210,AN6255,AN6593,AN6594,AN7994,AN8491,AN8874,AN9062
TRUE	FALSE	3	GO:0030952	establishment or maintenance of cytoskeleton polarity	0.00591	13	3	1	0.231	2.228	AN4085,AN5529,AN6340
TRUE	FALSE	3	GO:0015846	polyamine transport	0.00761	6	3	0.46	0.5	2.119	AN0418,AN1061,AN5678
TRUE	FALSE	3	GO:0032368	regulation of lipid transport	0.00761	6	3	0.46	0.5	2.119	AN7149,AN7683,AN8374
TRUE	FALSE	3	GO:0097428	protein maturation by iron-sulfur cluster transfer	0.01256	7	3	0.54	0.429	1.901	AN10237,AN3686,AN5953
TRUE	FALSE	3	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	0.01256	7	3	0.54	0.429	1.901	AN11347,AN2316,AN4525
TRUE	FALSE	3	GO:0006904	vesicle docking involved in exocytosis	0.01418	13	4	1	0.308	1.848	AN0462,AN2418,AN6210,AN6493
TRUE	FALSE	3	GO:0000022	mitotic spindle elongation	0.01418	13	4	1	0.308	1.848	AN3363,AN4399,AN6340,AN6978
TRUE	FALSE	3	GO:0045454	cell redox homeostasis	0.01775	28	6	2.15	0.214	1.751	AN3581,AN4215,AN7436,AN7632,AN8080,AN8374
TRUE	FALSE	3	GO:0006783	heme biosynthetic process	0.01867	14	4	1.08	0.286	1.729	AN1722,AN1915,AN4774,AN7752
TRUE	FALSE	3	GO:0045332	phospholipid translocation	0.01867	14	4	1.08	0.286	1.729	AN7149,AN7683,AN8374,AN8672
TRUE	FALSE	3	GO:0006797	polyphosphate metabolic process	0.01895	8	3	0.62	0.375	1.722	AN10637,AN1148,AN1612
TRUE	FALSE	3	GO:0006882	cellular zinc ion homeostasis	0.01895	8	3	0.62	0.375	1.722	AN1795,AN1832,AN1833
TRUE	FALSE	3	GO:0042364	water-soluble vitamin biosynthetic process	0.02382	37	7	2.85	0.189	1.623	AN10290,AN10472,AN10586,AN5497,AN5953,AN6644,AN6645
TRUE	FALSE	3	GO:0035690	cellular response to drug	0.02417	204	24	15.7	0.118	1.617	AN0235,AN1061,AN10767,AN11008,AN1126,AN11694,AN1272,AN1367,AN1697,AN1901,AN2687,AN3307,AN3946,AN4086,AN4674,AN4774,AN4887,AN5105,AN5193,AN6064,AN6505,AN6506,AN8041,AN8283
TRUE	FALSE	3	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.02865	73	10	5.62	0.137	1.543	AN1267,AN1967,AN2687,AN3441,AN4394,AN4674,AN4706,AN6898,AN7542,AN7683
TRUE	FALSE	3	GO:0055082	cellular chemical homeostasis	0.03178	128	14	9.85	0.109	1.498	AN10367,AN1795,AN1832,AN1833,AN1986,AN3117,AN4014,AN5529,AN6400,AN7459,AN7571,AN7801,AN7993,AN8346
TRUE	FALSE	3	GO:0043144	snoRNA processing	0.03186	13	4	1	0.308	1.497	AN0745,AN2437,AN8276,AN8691
TRUE	FALSE	3	GO:0060631	regulation of meiosis I	0.03189	18	4	1.38	0.222	1.496	AN10063,AN3118,AN4632,AN8071
TRUE	FALSE	3	GO:0007569	cell aging	0.03191	34	5	2.62	0.147	1.496	AN11910,AN1612,AN6542,AN7459,AN8874
TRUE	FALSE	3	GO:0007009	plasma membrane organization	0.03618	10	3	0.77	0.3	1.442	AN4592,AN5868,AN7683
TRUE	FALSE	3	GO:0006096	glycolytic process	0.03895	25	5	1.92	0.2	1.409	AN1246,AN3059,AN3954,AN7459,AN8041
TRUE	FALSE	3	GO:0006633	fatty acid biosynthetic process	0.04374	49	9	3.77	0.184	1.359	AN1967,AN3638,AN4135,AN4592,AN5861,AN6505,AN6506,AN8907,AN9407
TRUE	FALSE	3	GO:0006893	Golgi to plasma membrane transport	0.04693	20	4	1.54	0.2	1.329	AN0462,AN1126,AN6210,AN8233
TRUE	TRUE	4	GO:0006355	regulation of transcription, DNA-templated	6.9e-07	687	204	143.78	0.297	6.161	AN0096,AN0098,AN0148,AN0162,AN0176,AN0182,AN0241,AN0263,AN0279,AN0364,AN0410,AN0440,AN0533,AN0554,AN0680,AN0689,AN0742,AN0766,AN0817,AN0863,AN0891,AN0902,AN0928,AN10059,AN10120,AN10128,AN1017,AN10191,AN10378,AN10467,AN10541,AN10548,AN10550,AN1060,AN10610,AN10763,AN10854,AN10911,AN10912,AN11098,AN11099,AN11112,AN1170,AN11753,AN1183,AN11891,AN11961,AN1217,AN1232,AN1265,AN1303,AN1339,AN1402,AN1414,AN1416,AN1425,AN1518,AN1536,AN1678,AN1720,AN1800,AN1812,AN1848,AN1893,AN1924,AN1984,AN2001,AN2009,AN2016,AN2020,AN2036,AN2136,AN2276,AN2290,AN2375,AN2421,AN2489,AN2500,AN2581,AN2597,AN2852,AN2855,AN2902,AN2911,AN2944,AN2984,AN2996,AN3048,AN3067,AN3071,AN3075,AN3102,AN3152,AN3214,AN3224,AN3250,AN3369,AN3422,AN3423,AN3433,AN3468,AN3506,AN3587,AN3607,AN3637,AN3675,AN3688,AN3730,AN3785,AN3835,AN3911,AN3919,AN4034,AN4113,AN4210,AN4247,AN4324,AN4335,AN4361,AN4479,AN4501,AN4521,AN4558,AN4570,AN4741,AN4744,AN4818,AN4900,AN4935,AN4976,AN4985,AN4987,AN5170,AN5218,AN5279,AN5296,AN5349,AN5351,AN5651,AN5747,AN5752,AN5775,AN5836,AN5849,AN5870,AN5893,AN5898,AN5924,AN5955,AN6062,AN6091,AN6129,AN6195,AN6359,AN6392,AN6684,AN6733,AN6828,AN6837,AN6849,AN6858,AN6982,AN7012,AN7103,AN7190,AN7297,AN7303,AN7332,AN7468,AN7475,AN7507,AN7513,AN7572,AN7592,AN7610,AN7661,AN7872,AN7896,AN8039,AN8129,AN8168,AN8186,AN8211,AN8251,AN8282,AN8298,AN8414,AN8590,AN8636,AN8643,AN8655,AN8666,AN8667,AN8694,AN8753,AN8825,AN8885,AN8978,AN9008,AN9025,AN9095,AN9141,AN9221,AN9397
TRUE	TRUE	4	GO:0015976	carbon utilization	1.7e-06	24	16	5.02	0.667	5.77	AN0689,AN1017,AN10550,AN1918,AN3597,AN4462,AN4668,AN5604,AN5626,AN5634,AN5746,AN6195,AN6279,AN7468,AN7610,AN9461
TRUE	TRUE	4	GO:0006313	transposition, DNA-mediated	3.6e-06	8	8	1.67	1	5.444	AN0263,AN10066,AN10127,AN10329,AN3048,AN4335,AN5956,AN8186
TRUE	TRUE	4	GO:0000768	syncytium formation by plasma membrane fusion	5.3e-05	29	16	6.07	0.552	4.276	AN10261,AN1848,AN2701,AN3422,AN3719,AN4189,AN4264,AN4702,AN5131,AN5169,AN5457,AN5458,AN5776,AN6125,AN7297,AN8831
TRUE	TRUE	4	GO:0034599	cellular response to oxidative stress	5.6e-05	121	51	25.32	0.421	4.252	AN0170,AN0182,AN0241,AN0363,AN0607,AN0609,AN0771,AN0914,AN0931,AN1017,AN10220,AN10949,AN1274,AN1401,AN1632,AN1652,AN2099,AN2412,AN2846,AN2911,AN3102,AN3163,AN3688,AN3725,AN3793,AN3973,AN4483,AN4668,AN4758,AN4987,AN5131,AN5159,AN5447,AN5523,AN5755,AN5823,AN5918,AN5975,AN5991,AN6849,AN7513,AN7567,AN7572,AN8251,AN8414,AN8643,AN8692,AN8805,AN8837,AN9090,AN9339
TRUE	TRUE	4	GO:0075306	regulation of conidium formation	8.8e-05	36	19	7.53	0.528	4.056	AN0182,AN0279,AN0363,AN0651,AN0721,AN1052,AN2421,AN2742,AN3607,AN3688,AN4563,AN5156,AN5296,AN5836,AN5893,AN6230,AN6243,AN8129,AN9121
TRUE	TRUE	4	GO:0071474	cellular hyperosmotic response	0.00011	8	7	1.67	0.875	3.959	AN0351,AN0931,AN1017,AN3688,AN4479,AN4668,AN5563
TRUE	TRUE	4	GO:0030448	hyphal growth	0.00013	188	61	39.34	0.324	3.886	AN0182,AN0410,AN0640,AN0651,AN0667,AN0863,AN1025,AN10709,AN11098,AN1536,AN1539,AN1555,AN1628,AN1848,AN2009,AN2067,AN2412,AN2489,AN2523,AN2701,AN3113,AN3416,AN3422,AN3719,AN3730,AN3787,AN3795,AN4189,AN4416,AN4566,AN4570,AN4667,AN4702,AN4716,AN4935,AN4987,AN5296,AN5457,AN5651,AN5660,AN5740,AN5802,AN5832,AN5836,AN6195,AN6243,AN6317,AN6318,AN6330,AN6566,AN6685,AN6688,AN6697,AN6920,AN7030,AN7572,AN7576,AN8009,AN8831,AN8863,AN9450
TRUE	TRUE	4	GO:0070787	conidiophore development	0.00018	83	35	17.37	0.422	3.745	AN0098,AN0363,AN0689,AN0863,AN0928,AN1052,AN1189,AN1536,AN1539,AN1800,AN1848,AN2009,AN2412,AN2489,AN2701,AN3113,AN3422,AN3719,AN4479,AN4563,AN4667,AN4702,AN4716,AN4878,AN4935,AN5651,AN5660,AN5836,AN6150,AN6243,AN6688,AN7030,AN7572,AN7661,AN8741
TRUE	TRUE	4	GO:0009405	pathogenesis	0.00028	143	48	29.93	0.336	3.553	AN0121,AN0182,AN0241,AN0609,AN0807,AN1017,AN1069,AN10763,AN1085,AN1358,AN1418,AN1428,AN1555,AN1844,AN2067,AN2996,AN3147,AN3387,AN3719,AN3729,AN3730,AN3765,AN4361,AN4390,AN4419,AN4479,AN4501,AN4515,AN4915,AN4987,AN5218,AN5296,AN5634,AN5823,AN5832,AN5918,AN6230,AN6541,AN6566,AN7111,AN7170,AN7250,AN7468,AN7661,AN8251,AN8269,AN8741,AN9397
TRUE	TRUE	4	GO:0034605	cellular response to heat	0.00039	57	24	11.93	0.421	3.409	AN0182,AN0858,AN0931,AN1017,AN1652,AN2731,AN2911,AN3725,AN4189,AN4310,AN4501,AN4668,AN4716,AN4897,AN4987,AN5129,AN5523,AN5755,AN5975,AN6849,AN7388,AN7572,AN8269,AN8643
TRUE	TRUE	4	GO:1900049	regulation of histone exchange	4e-04	5	5	1.05	1	3.398	AN1984,AN3067,AN3423,AN8039,AN8282
TRUE	TRUE	4	GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	0.00042	9	7	1.88	0.778	3.377	AN0241,AN1017,AN2911,AN3688,AN4558,AN7661,AN9397
TRUE	TRUE	4	GO:0009408	response to heat	0.00052	73	33	15.28	0.452	3.284	AN0182,AN0410,AN0651,AN0858,AN0931,AN1015,AN1017,AN1282,AN1652,AN2731,AN2911,AN3725,AN4189,AN4310,AN4462,AN4501,AN4668,AN4702,AN4716,AN4897,AN4987,AN5129,AN5217,AN5523,AN5755,AN5975,AN6849,AN7388,AN7513,AN7572,AN8269,AN8643,AN9450
TRUE	TRUE	4	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.00053	73	34	15.28	0.466	3.276	AN0082,AN0182,AN0186,AN0641,AN0721,AN0787,AN10030,AN1017,AN1037,AN1052,AN1555,AN1632,AN2059,AN2067,AN2505,AN2742,AN2919,AN2936,AN3113,AN4501,AN4570,AN4897,AN4987,AN5028,AN5131,AN5660,AN5740,AN5836,AN5893,AN6318,AN6731,AN6920,AN8741,AN8945
TRUE	TRUE	4	GO:0048315	conidium formation	0.00064	132	53	27.63	0.402	3.194	AN0182,AN0279,AN0363,AN0410,AN0651,AN0721,AN0863,AN0931,AN1017,AN1052,AN10610,AN1189,AN1536,AN1539,AN1555,AN1848,AN2009,AN2412,AN2421,AN2489,AN2523,AN2740,AN2742,AN2911,AN3416,AN3422,AN3607,AN3688,AN3719,AN4189,AN4563,AN4566,AN4695,AN4716,AN4935,AN4987,AN5156,AN5296,AN5755,AN5757,AN5836,AN5893,AN6230,AN6243,AN6317,AN6318,AN6566,AN7030,AN7657,AN7757,AN8129,AN9121,AN9339
TRUE	TRUE	4	GO:0071470	cellular response to osmotic stress	0.00112	58	30	12.14	0.517	2.951	AN0351,AN0554,AN0641,AN0931,AN1017,AN10763,AN10902,AN1358,AN1624,AN1800,AN2005,AN2911,AN2919,AN2997,AN3688,AN3725,AN4479,AN4483,AN4668,AN4745,AN5129,AN5563,AN5746,AN6010,AN6318,AN6982,AN7799,AN7895,AN8690,AN8692
TRUE	TRUE	4	GO:0043254	regulation of protein complex assembly	0.00115	52	16	10.88	0.308	2.939	AN0182,AN0411,AN1558,AN2126,AN2302,AN2484,AN2862,AN2995,AN3067,AN3675,AN4976,AN4987,AN5747,AN6570,AN8039,AN8282
TRUE	TRUE	4	GO:0009651	response to salt stress	0.0013	25	14	5.23	0.56	2.886	AN1017,AN1493,AN1558,AN1624,AN2919,AN3730,AN4479,AN4716,AN5563,AN5564,AN7250,AN7657,AN8830,AN9450
TRUE	TRUE	4	GO:0070301	cellular response to hydrogen peroxide	0.00131	18	10	3.77	0.556	2.883	AN0363,AN0609,AN2846,AN3688,AN4758,AN5523,AN5918,AN6849,AN8643,AN9339
TRUE	TRUE	4	GO:0043935	sexual sporulation resulting in formation of a cellular spore	0.00133	146	55	30.56	0.377	2.876	AN0078,AN0098,AN0182,AN0363,AN0410,AN0640,AN0651,AN0721,AN0733,AN0807,AN0931,AN1017,AN10306,AN10516,AN1052,AN10610,AN10902,AN11891,AN1536,AN1555,AN1848,AN2059,AN2071,AN2412,AN2489,AN2505,AN2919,AN3148,AN3152,AN3387,AN3422,AN3607,AN3719,AN4169,AN4390,AN4419,AN4501,AN4566,AN4570,AN4615,AN4935,AN5028,AN5170,AN5523,AN5579,AN5759,AN5836,AN6243,AN7169,AN7513,AN7657,AN8262,AN9121,AN9380,AN9504
TRUE	TRUE	4	GO:0072593	reactive oxygen species metabolic process	0.00157	18	10	3.77	0.556	2.804	AN0170,AN0182,AN0241,AN1094,AN2846,AN5148,AN5457,AN5604,AN5918,AN9339
TRUE	TRUE	4	GO:0006357	regulation of transcription by RNA polymerase II	0.00157	226	70	47.3	0.31	2.804	AN0098,AN0241,AN0279,AN0410,AN0440,AN0689,AN0817,AN0891,AN10059,AN1017,AN10191,AN10550,AN1060,AN10763,AN10854,AN1170,AN11961,AN1303,AN1339,AN1416,AN1425,AN1518,AN1720,AN2290,AN2421,AN2489,AN2852,AN2855,AN2902,AN2911,AN2944,AN2996,AN3224,AN3422,AN3423,AN3468,AN3506,AN3675,AN3688,AN4210,AN4501,AN4558,AN4570,AN4741,AN4935,AN4976,AN4987,AN5651,AN5747,AN5752,AN5836,AN5893,AN6129,AN6195,AN6733,AN7103,AN7297,AN7303,AN7468,AN7513,AN7572,AN7610,AN7661,AN8039,AN8168,AN8251,AN8282,AN8978,AN9095,AN9397
TRUE	TRUE	4	GO:0006826	iron ion transport	0.00158	13	7	2.72	0.538	2.801	AN0176,AN3690,AN4990,AN5378,AN7297,AN8251,AN8683
TRUE	TRUE	4	GO:0000909	sporocarp development involved in sexual reproduction	0.00169	110	38	23.02	0.345	2.772	AN0082,AN0098,AN0279,AN0410,AN0641,AN0651,AN0931,AN1017,AN10306,AN1402,AN1536,AN1539,AN1848,AN2290,AN2412,AN2489,AN2505,AN2701,AN2742,AN3036,AN3416,AN3422,AN3607,AN3719,AN4189,AN4483,AN4702,AN4935,AN5156,AN5457,AN5651,AN5759,AN5836,AN6243,AN8741,AN9008,AN9408,AN9450
TRUE	TRUE	4	GO:0035690	cellular response to drug	0.00175	204	66	42.69	0.324	2.757	AN0363,AN0609,AN0651,AN0771,AN0927,AN1017,AN10351,AN10709,AN10763,AN1085,AN10949,AN11705,AN1189,AN12054,AN1518,AN1923,AN2300,AN2846,AN2997,AN3113,AN3368,AN3422,AN3506,AN3688,AN3719,AN3729,AN4189,AN4390,AN4615,AN4668,AN4758,AN4770,AN4894,AN4923,AN5119,AN5148,AN5296,AN5341,AN5378,AN5493,AN5523,AN5660,AN5740,AN5888,AN5908,AN5918,AN5985,AN6118,AN6129,AN6207,AN6330,AN6566,AN6570,AN6849,AN7146,AN7513,AN7657,AN8269,AN8414,AN8489,AN8502,AN8643,AN8753,AN9339,AN9340,AN9408
TRUE	TRUE	4	GO:0071396	cellular response to lipid	0.00189	50	22	10.46	0.44	2.724	AN0179,AN0182,AN0771,AN1037,AN10518,AN10949,AN1396,AN1800,AN2435,AN2846,AN4159,AN4376,AN4479,AN4667,AN4695,AN5129,AN5564,AN5746,AN5886,AN5999,AN8269,AN8863
TRUE	TRUE	4	GO:0043943	regulation of asexual sporulation resulting in formation of a cellular spore	0.0019	25	13	5.23	0.52	2.721	AN0082,AN0182,AN0186,AN0641,AN0721,AN1052,AN2059,AN2742,AN4987,AN5028,AN5836,AN8741,AN8945
TRUE	TRUE	4	GO:0030004	cellular monovalent inorganic cation homeostasis	0.00192	16	6	3.35	0.375	2.717	AN1339,AN2302,AN5583,AN7250,AN8029,AN8830
TRUE	TRUE	4	GO:0006875	cellular metal ion homeostasis	0.00193	87	34	18.21	0.391	2.714	AN0176,AN0241,AN0471,AN0607,AN0609,AN10080,AN1189,AN1265,AN1628,AN1950,AN2508,AN2919,AN3681,AN4655,AN4814,AN4920,AN4990,AN5132,AN5341,AN5378,AN5583,AN5823,AN5856,AN6541,AN6566,AN7250,AN7468,AN7485,AN7567,AN7661,AN8029,AN8251,AN8540,AN8830
TRUE	TRUE	4	GO:0071333	cellular response to glucose stimulus	0.00198	15	8	3.14	0.533	2.703	AN0182,AN1052,AN2130,AN2911,AN3607,AN4987,AN5757,AN6923
TRUE	TRUE	4	GO:0034221	fungal-type cell wall chitin biosynthetic process	0.00198	6	5	1.26	0.833	2.703	AN1069,AN10709,AN4234,AN4501,AN4566
TRUE	TRUE	4	GO:0034635	glutathione transport	0.00198	6	5	1.26	0.833	2.703	AN12476,AN3150,AN4517,AN7188,AN7729
TRUE	TRUE	4	GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00205	16	9	3.35	0.562	2.688	AN0363,AN0807,AN1052,AN2742,AN3607,AN3719,AN5893,AN6243,AN8741
TRUE	TRUE	4	GO:0006874	cellular calcium ion homeostasis	0.00205	26	11	5.44	0.423	2.688	AN0471,AN1189,AN1628,AN1950,AN2919,AN4814,AN4920,AN4990,AN5341,AN6566,AN8830
TRUE	TRUE	4	GO:0015074	DNA integration	0.00229	25	12	5.23	0.48	2.64	AN0263,AN10066,AN10127,AN10256,AN10329,AN2670,AN3048,AN4289,AN4335,AN4976,AN5956,AN8186
TRUE	TRUE	4	GO:0006855	drug transmembrane transport	0.0023	35	13	7.32	0.371	2.638	AN0771,AN10949,AN1339,AN2300,AN3663,AN4064,AN4328,AN4477,AN5226,AN6118,AN8274,AN8489,AN8785
TRUE	TRUE	4	GO:0042737	drug catabolic process	0.00324	90	22	18.84	0.244	2.489	AN0170,AN0299,AN0660,AN0891,AN10495,AN1198,AN12279,AN12280,AN1277,AN1895,AN2846,AN3044,AN4603,AN4871,AN5226,AN5669,AN5918,AN6338,AN6525,AN6650,AN8978,AN9339
