SM_gene	Chr	Start	End	Name	Score	Strand	SM_cluster
AN0605	ChrVIII_A_nidulans_FGSC_A4	3017425	3019938	AN0605	0	-	SM_cluster_4
AN0606	ChrVIII_A_nidulans_FGSC_A4	3015140	3017116	AN0606	0	+	SM_cluster_4
AN0607	ChrVIII_A_nidulans_FGSC_A4	2999413	3013840	AN0607	0	+	SM_cluster_4
AN10289	ChrVII_A_nidulans_FGSC_A4	3627237	3628638	AN10289	0	+	SM_cluster_5
AN10294	ChrVII_A_nidulans_FGSC_A4	3615893	3617245	AN10294	0	+	SM_cluster_5
AN10295	ChrVII_A_nidulans_FGSC_A4	3629398	3630928	AN10295	0	+	SM_cluster_5
AN2342	ChrVII_A_nidulans_FGSC_A4	3617666	3618711	AN2342	0	+	SM_cluster_5
AN2343	ChrVII_A_nidulans_FGSC_A4	3618847	3619617	AN2343	0	-	SM_cluster_5
AN2344	ChrVII_A_nidulans_FGSC_A4	3622550	3624118	AN2344	0	+	SM_cluster_5
AN2346	ChrVII_A_nidulans_FGSC_A4	3631598	3633346	AN2346	0	-	SM_cluster_5
AN2347	ChrVII_A_nidulans_FGSC_A4	3635913	3637620	AN2347	0	-	SM_cluster_5
AN2349	ChrVII_A_nidulans_FGSC_A4	3645278	3649354	AN2349	0	+	SM_cluster_5
AN10297	ChrVII_A_nidulans_FGSC_A4	3813028	3816303	AN10297	0	-	SM_cluster_6
AN10298	ChrVII_A_nidulans_FGSC_A4	3834653	3836283	AN10298	0	+	SM_cluster_6
AN10300	ChrVII_A_nidulans_FGSC_A4	3810617	3812625	AN10300	0	-	SM_cluster_6
AN10301	ChrVII_A_nidulans_FGSC_A4	3836839	3837972	AN10301	0	+	SM_cluster_6
AN11337	ChrVII_A_nidulans_FGSC_A4	3828605	3828955	AN11337	0	-	SM_cluster_6
AN2393	ChrVII_A_nidulans_FGSC_A4	3787333	3788276	AN2393	0	+	SM_cluster_6
AN2394	ChrVII_A_nidulans_FGSC_A4	3788782	3790151	AN2394	0	-	SM_cluster_6
AN2395	ChrVII_A_nidulans_FGSC_A4	3791873	3794175	AN2395	0	-	SM_cluster_6
AN2396	ChrVII_A_nidulans_FGSC_A4	3795279	3796411	AN2396	0	-	SM_cluster_6
AN2397	ChrVII_A_nidulans_FGSC_A4	3796931	3799289	AN2397	0	+	SM_cluster_6
AN2398	ChrVII_A_nidulans_FGSC_A4	3799523	3801026	AN2398	0	-	SM_cluster_6
AN2399	ChrVII_A_nidulans_FGSC_A4	3802222	3802842	AN2399	0	-	SM_cluster_6
AN2400	ChrVII_A_nidulans_FGSC_A4	3803123	3804148	AN2400	0	+	SM_cluster_6
AN2402	ChrVII_A_nidulans_FGSC_A4	3809315	3810203	AN2402	0	+	SM_cluster_6
AN2404	ChrVII_A_nidulans_FGSC_A4	3818008	3819251	AN2404	0	-	SM_cluster_6
AN2405	ChrVII_A_nidulans_FGSC_A4	3821329	3822105	AN2405	0	-	SM_cluster_6
AN2406	ChrVII_A_nidulans_FGSC_A4	3823305	3824077	AN2406	0	+	SM_cluster_6
AN2407	ChrVII_A_nidulans_FGSC_A4	3825982	3828439	AN2407	0	+	SM_cluster_6
AN2408	ChrVII_A_nidulans_FGSC_A4	3831760	3834096	AN2408	0	+	SM_cluster_6
AN1029	ChrVIII_A_nidulans_FGSC_A4	1752488	1754354	AN1029	0	+	SM_cluster_7
AN1030	ChrVIII_A_nidulans_FGSC_A4	1749413	1750630	AN1030	0	-	SM_cluster_7
AN1031	ChrVIII_A_nidulans_FGSC_A4	1746789	1748821	AN1031	0	+	SM_cluster_7
AN1032	ChrVIII_A_nidulans_FGSC_A4	1745511	1746404	AN1032	0	+	SM_cluster_7
AN1033	ChrVIII_A_nidulans_FGSC_A4	1743454	1744905	AN1033	0	-	SM_cluster_7
AN1034	ChrVIII_A_nidulans_FGSC_A4	1734328	1742604	AN1034	0	-	SM_cluster_7
AN1035	ChrVIII_A_nidulans_FGSC_A4	1731554	1733146	AN1035	0	-	SM_cluster_7
AN1036	ChrVIII_A_nidulans_FGSC_A4	1721737	1729785	AN1036	0	+	SM_cluster_7
AN11287	ChrVIII_A_nidulans_FGSC_A4	1730703	1731107	AN11287	0	+	SM_cluster_7
AN10430	ChrII_A_nidulans_FGSC_A4	3614405	3620356	AN10430	0	+	SM_cluster_8
AN10447	ChrII_A_nidulans_FGSC_A4	3620971	3622982	AN10447	0	+	SM_cluster_8
AN3608	ChrII_A_nidulans_FGSC_A4	3625182	3629104	AN3608	0	+	SM_cluster_8
AN3609	ChrII_A_nidulans_FGSC_A4	3623069	3624676	AN3609	0	-	SM_cluster_8
AN3611	ChrII_A_nidulans_FGSC_A4	3612561	3613632	AN3611	0	+	SM_cluster_8
AN3612	ChrII_A_nidulans_FGSC_A4	3604240	3612136	AN3612	0	-	SM_cluster_8
AN10486	ChrII_A_nidulans_FGSC_A4	2673330	2676583	AN10486	0	-	SM_cluster_9
AN10491	ChrII_A_nidulans_FGSC_A4	2677115	2679496	AN10491	0	-	SM_cluster_9
AN3911	ChrII_A_nidulans_FGSC_A4	2680766	2681458	AN3911	0	-	SM_cluster_9
AN3913	ChrII_A_nidulans_FGSC_A4	2666070	2672657	AN3913	0	+	SM_cluster_9
AN3914	ChrII_A_nidulans_FGSC_A4	2661936	2663254	AN3914	0	-	SM_cluster_9
AN3915	ChrII_A_nidulans_FGSC_A4	2659273	2660567	AN3915	0	+	SM_cluster_9
AN3916	ChrII_A_nidulans_FGSC_A4	2655353	2657363	AN3916	0	-	SM_cluster_9
AN3917	ChrII_A_nidulans_FGSC_A4	2653389	2655114	AN3917	0	+	SM_cluster_9
AN10573	ChrIII_A_nidulans_FGSC_A4	1431702	1433378	AN10573	0	-	SM_cluster_10
AN10576	ChrIII_A_nidulans_FGSC_A4	1433761	1438936	AN10576	0	-	SM_cluster_10
AN4642	ChrIII_A_nidulans_FGSC_A4	1428833	1430447	AN4642	0	+	SM_cluster_10
AN4643	ChrIII_A_nidulans_FGSC_A4	1424667	1426736	AN4643	0	+	SM_cluster_10
AN4644	ChrIII_A_nidulans_FGSC_A4	1422398	1423235	AN4644	0	+	SM_cluster_10
AN4645	ChrIII_A_nidulans_FGSC_A4	1419163	1420318	AN4645	0	-	SM_cluster_10
AN4646	ChrIII_A_nidulans_FGSC_A4	1418518	1418817	AN4646	0	+	SM_cluster_10
AN4647	ChrIII_A_nidulans_FGSC_A4	1417092	1418033	AN4647	0	-	SM_cluster_10
AN4648	ChrIII_A_nidulans_FGSC_A4	1415305	1416930	AN4648	0	+	SM_cluster_10
AN4649	ChrIII_A_nidulans_FGSC_A4	1412695	1414499	AN4649	0	-	SM_cluster_10
AN11191	ChrVI_A_nidulans_FGSC_A4	65977	73676	AN11191	0	+	SM_cluster_11
AN11192	ChrVI_A_nidulans_FGSC_A4	50046	51895	AN11192	0	+	SM_cluster_11
AN11198	ChrVI_A_nidulans_FGSC_A4	63157	64562	AN11198	0	+	SM_cluster_11
AN11199	ChrVI_A_nidulans_FGSC_A4	64666	65569	AN11199	0	+	SM_cluster_11
AN9210	ChrVI_A_nidulans_FGSC_A4	98529	100177	AN9210	0	-	SM_cluster_11
AN9211	ChrVI_A_nidulans_FGSC_A4	95154	96362	AN9211	0	-	SM_cluster_11
AN9212	ChrVI_A_nidulans_FGSC_A4	89156	89458	AN9212	0	+	SM_cluster_11
AN9213	ChrVI_A_nidulans_FGSC_A4	85183	87901	AN9213	0	-	SM_cluster_11
AN9214	ChrVI_A_nidulans_FGSC_A4	81272	83032	AN9214	0	+	SM_cluster_11
AN9215	ChrVI_A_nidulans_FGSC_A4	77878	78612	AN9215	0	-	SM_cluster_11
AN9216	ChrVI_A_nidulans_FGSC_A4	74668	76371	AN9216	0	-	SM_cluster_11
AN9218	ChrVI_A_nidulans_FGSC_A4	61238	62970	AN9218	0	-	SM_cluster_11
AN9219	ChrVI_A_nidulans_FGSC_A4	59185	60925	AN9219	0	+	SM_cluster_11
AN9220	ChrVI_A_nidulans_FGSC_A4	57207	58512	AN9220	0	-	SM_cluster_11
AN9221	ChrVI_A_nidulans_FGSC_A4	52243	55300	AN9221	0	-	SM_cluster_11
AN1242	ChrVIII_A_nidulans_FGSC_A4	1072961	1092126	AN1242	0	-	SM_cluster_12
AN1243	ChrVIII_A_nidulans_FGSC_A4	1070770	1072702	AN1243	0	+	SM_cluster_12
AN11312	ChrVII_A_nidulans_FGSC_A4	1607000	1607409	AN11312	0	+	SM_cluster_13
AN1677	ChrVII_A_nidulans_FGSC_A4	1585188	1586220	AN1677	0	+	SM_cluster_13
AN1678	ChrVII_A_nidulans_FGSC_A4	1589267	1591541	AN1678	0	+	SM_cluster_13
AN1679	ChrVII_A_nidulans_FGSC_A4	1591939	1592957	AN1679	0	+	SM_cluster_13
AN1680	ChrVII_A_nidulans_FGSC_A4	1593566	1597332	AN1680	0	+	SM_cluster_13
AN1681	ChrVII_A_nidulans_FGSC_A4	1598097	1599919	AN1681	0	+	SM_cluster_13
AN1682	ChrVII_A_nidulans_FGSC_A4	1600171	1600900	AN1682	0	-	SM_cluster_13
AN1683	ChrVII_A_nidulans_FGSC_A4	1601204	1602262	AN1683	0	-	SM_cluster_13
AN1684	ChrVII_A_nidulans_FGSC_A4	1603792	1606050	AN1684	0	+	SM_cluster_13
AN1685	ChrVII_A_nidulans_FGSC_A4	1609405	1610937	AN1685	0	-	SM_cluster_13
AN1686	ChrVII_A_nidulans_FGSC_A4	1611753	1613147	AN1686	0	-	SM_cluster_13
AN1687	ChrVII_A_nidulans_FGSC_A4	1616321	1617459	AN1687	0	+	SM_cluster_13
AN1688	ChrVII_A_nidulans_FGSC_A4	1618769	1619927	AN1688	0	-	SM_cluster_13
AN1689	ChrVII_A_nidulans_FGSC_A4	1624023	1625733	AN1689	0	-	SM_cluster_13
AN1690	ChrVII_A_nidulans_FGSC_A4	1626220	1627586	AN1690	0	-	SM_cluster_13
AN1691	ChrVII_A_nidulans_FGSC_A4	1628541	1630664	AN1691	0	+	SM_cluster_13
AN1778	ChrVII_A_nidulans_FGSC_A4	1854819	1855927	AN1778	0	-	SM_cluster_14
AN1779	ChrVII_A_nidulans_FGSC_A4	1857362	1859460	AN1779	0	-	SM_cluster_14
AN1780	ChrVII_A_nidulans_FGSC_A4	1860103	1862121	AN1780	0	-	SM_cluster_14
AN1781	ChrVII_A_nidulans_FGSC_A4	1862554	1863492	AN1781	0	+	SM_cluster_14
AN1782	ChrVII_A_nidulans_FGSC_A4	1864061	1865082	AN1782	0	+	SM_cluster_14
AN1784	ChrVII_A_nidulans_FGSC_A4	1869035	1876893	AN1784	0	-	SM_cluster_14
AN1785	ChrVII_A_nidulans_FGSC_A4	1877686	1878801	AN1785	0	+	SM_cluster_14
AN1786	ChrVII_A_nidulans_FGSC_A4	1878928	1880523	AN1786	0	-	SM_cluster_14
AN1787	ChrVII_A_nidulans_FGSC_A4	1880795	1882412	AN1787	0	+	SM_cluster_14
AN2032	ChrVII_A_nidulans_FGSC_A4	2640607	2647358	AN2032	0	-	SM_cluster_15
AN2033	ChrVII_A_nidulans_FGSC_A4	2647940	2649247	AN2033	0	+	SM_cluster_15
AN2034	ChrVII_A_nidulans_FGSC_A4	2649537	2650118	AN2034	0	-	SM_cluster_15
AN2035	ChrVII_A_nidulans_FGSC_A4	2650660	2658444	AN2035	0	+	SM_cluster_15
AN2036	ChrVII_A_nidulans_FGSC_A4	2659136	2661446	AN2036	0	-	SM_cluster_15
AN2037	ChrVII_A_nidulans_FGSC_A4	2663383	2664455	AN2037	0	-	SM_cluster_15
AN2038	ChrVII_A_nidulans_FGSC_A4	2667020	2668411	AN2038	0	-	SM_cluster_15
AN2039	ChrVII_A_nidulans_FGSC_A4	2670496	2671462	AN2039	0	+	SM_cluster_15
AN2040	ChrVII_A_nidulans_FGSC_A4	2671980	2673874	AN2040	0	+	SM_cluster_15
AN2041	ChrVII_A_nidulans_FGSC_A4	2676074	2677207	AN2041	0	+	SM_cluster_15
AN2042	ChrVII_A_nidulans_FGSC_A4	2677875	2679908	AN2042	0	-	SM_cluster_15
AN2043	ChrVII_A_nidulans_FGSC_A4	2682641	2684540	AN2043	0	-	SM_cluster_15
AN2062	ChrVII_A_nidulans_FGSC_A4	2727964	2730139	AN2062	0	-	SM_cluster_16
AN2063	ChrVII_A_nidulans_FGSC_A4	2730850	2733549	AN2063	0	-	SM_cluster_16
AN2064	ChrVII_A_nidulans_FGSC_A4	2734447	2737625	AN2064	0	+	SM_cluster_16
AN10319	ChrVII_A_nidulans_FGSC_A4	4334647	4336419	AN10319	0	+	SM_cluster_17
AN10320	ChrVII_A_nidulans_FGSC_A4	4337588	4338364	AN10320	0	+	SM_cluster_17
AN10325	ChrVII_A_nidulans_FGSC_A4	4331814	4334117	AN10325	0	+	SM_cluster_17
AN10326	ChrVII_A_nidulans_FGSC_A4	4339838	4340374	AN10326	0	+	SM_cluster_17
AN2544	ChrVII_A_nidulans_FGSC_A4	4286765	4288312	AN2544	0	+	SM_cluster_17
AN2545	ChrVII_A_nidulans_FGSC_A4	4288452	4309303	AN2545	0	-	SM_cluster_17
AN2546	ChrVII_A_nidulans_FGSC_A4	4311591	4312390	AN2546	0	-	SM_cluster_17
AN2547	ChrVII_A_nidulans_FGSC_A4	4313089	4320710	AN2547	0	-	SM_cluster_17
AN2548	ChrVII_A_nidulans_FGSC_A4	4321940	4323379	AN2548	0	+	SM_cluster_17
AN2549	ChrVII_A_nidulans_FGSC_A4	4323905	4325875	AN2549	0	-	SM_cluster_17
AN2550	ChrVII_A_nidulans_FGSC_A4	4329169	4330169	AN2550	0	+	SM_cluster_17
AN2553	ChrVII_A_nidulans_FGSC_A4	4341392	4343626	AN2553	0	+	SM_cluster_17
AN2621	ChrVI_A_nidulans_FGSC_A4	3362471	3373783	AN2621	0	+	SM_cluster_18
AN2622	ChrVI_A_nidulans_FGSC_A4	3360603	3361598	AN2622	0	-	SM_cluster_18
AN2623	ChrVI_A_nidulans_FGSC_A4	3358550	3359790	AN2623	0	-	SM_cluster_18
AN2624	ChrVI_A_nidulans_FGSC_A4	3355558	3356389	AN2624	0	+	SM_cluster_18
AN2625	ChrVI_A_nidulans_FGSC_A4	3351407	3353086	AN2625	0	-	SM_cluster_18
AN2921	ChrVI_A_nidulans_FGSC_A4	2389992	2391506	AN2921	0	+	SM_cluster_19
AN2922	ChrVI_A_nidulans_FGSC_A4	2387752	2388615	AN2922	0	+	SM_cluster_19
AN2923	ChrVI_A_nidulans_FGSC_A4	2385418	2386739	AN2923	0	-	SM_cluster_19
AN2924	ChrVI_A_nidulans_FGSC_A4	2380865	2384281	AN2924	0	+	SM_cluster_19
AN2925	ChrVI_A_nidulans_FGSC_A4	2374634	2379250	AN2925	0	-	SM_cluster_19
AN3217	ChrVI_A_nidulans_FGSC_A4	1433362	1435655	AN3217	0	-	SM_cluster_20
AN3218	ChrVI_A_nidulans_FGSC_A4	1430488	1430934	AN3218	0	-	SM_cluster_20
AN3219	ChrVI_A_nidulans_FGSC_A4	1428799	1429977	AN3219	0	-	SM_cluster_20
AN3220	ChrVI_A_nidulans_FGSC_A4	1426053	1427987	AN3220	0	+	SM_cluster_20
AN3221	ChrVI_A_nidulans_FGSC_A4	1423370	1425072	AN3221	0	+	SM_cluster_20
AN3222	ChrVI_A_nidulans_FGSC_A4	1418641	1420344	AN3222	0	-	SM_cluster_20
AN3223	ChrVI_A_nidulans_FGSC_A4	1415541	1418027	AN3223	0	+	SM_cluster_20
AN3224	ChrVI_A_nidulans_FGSC_A4	1412558	1414555	AN3224	0	-	SM_cluster_20
AN3225	ChrVI_A_nidulans_FGSC_A4	1409189	1411016	AN3225	0	+	SM_cluster_20
AN3226	ChrVI_A_nidulans_FGSC_A4	1407044	1408066	AN3226	0	+	SM_cluster_20
AN3227	ChrVI_A_nidulans_FGSC_A4	1404711	1406437	AN3227	0	+	SM_cluster_20
AN3228	ChrVI_A_nidulans_FGSC_A4	1402957	1403965	AN3228	0	+	SM_cluster_20
AN3229	ChrVI_A_nidulans_FGSC_A4	1400278	1402216	AN3229	0	+	SM_cluster_20
AN3230	ChrVI_A_nidulans_FGSC_A4	1392711	1399356	AN3230	0	-	SM_cluster_20
AN3231	ChrVI_A_nidulans_FGSC_A4	1390866	1392061	AN3231	0	+	SM_cluster_20
AN3232	ChrVI_A_nidulans_FGSC_A4	1388856	1390347	AN3232	0	-	SM_cluster_20
AN3233	ChrVI_A_nidulans_FGSC_A4	1384969	1386990	AN3233	0	-	SM_cluster_20
AN3234	ChrVI_A_nidulans_FGSC_A4	1382969	1383909	AN3234	0	-	SM_cluster_20
AN3235	ChrVI_A_nidulans_FGSC_A4	1380431	1381689	AN3235	0	-	SM_cluster_20
AN3236	ChrVI_A_nidulans_FGSC_A4	1378730	1379557	AN3236	0	-	SM_cluster_20
AN3237	ChrVI_A_nidulans_FGSC_A4	1375807	1377662	AN3237	0	-	SM_cluster_20
AN3380	ChrVI_A_nidulans_FGSC_A4	902510	908036	AN3380	0	+	SM_cluster_21
AN3381	ChrVI_A_nidulans_FGSC_A4	895606	901877	AN3381	0	-	SM_cluster_21
AN3382	ChrVI_A_nidulans_FGSC_A4	893905	895429	AN3382	0	+	SM_cluster_21
AN3383	ChrVI_A_nidulans_FGSC_A4	891445	893306	AN3383	0	-	SM_cluster_21
AN3384	ChrVI_A_nidulans_FGSC_A4	889711	891108	AN3384	0	+	SM_cluster_21
AN3385	ChrVI_A_nidulans_FGSC_A4	886084	888092	AN3385	0	-	SM_cluster_21
AN3386	ChrVI_A_nidulans_FGSC_A4	877708	885343	AN3386	0	-	SM_cluster_21
AN3391	ChrVI_A_nidulans_FGSC_A4	860879	863631	AN3391	0	-	SM_cluster_22
AN3392	ChrVI_A_nidulans_FGSC_A4	857463	859840	AN3392	0	-	SM_cluster_22
AN3393	ChrVI_A_nidulans_FGSC_A4	855102	856277	AN3393	0	+	SM_cluster_22
AN3394	ChrVI_A_nidulans_FGSC_A4	847093	848748	AN3394	0	+	SM_cluster_22
AN3395	ChrVI_A_nidulans_FGSC_A4	845205	846617	AN3395	0	-	SM_cluster_22
AN3396	ChrVI_A_nidulans_FGSC_A4	841261	844204	AN3396	0	-	SM_cluster_22
AN3397	ChrVI_A_nidulans_FGSC_A4	836561	837946	AN3397	0	-	SM_cluster_22
AN3398	ChrVI_A_nidulans_FGSC_A4	833976	835863	AN3398	0	-	SM_cluster_22
AN3399	ChrVI_A_nidulans_FGSC_A4	831832	833456	AN3399	0	-	SM_cluster_22
AN3400	ChrVI_A_nidulans_FGSC_A4	830664	831498	AN3400	0	-	SM_cluster_22
AN3402	ChrVI_A_nidulans_FGSC_A4	825226	827589	AN3402	0	-	SM_cluster_22
AN3403	ChrVI_A_nidulans_FGSC_A4	823059	823991	AN3403	0	+	SM_cluster_22
AN3404	ChrVI_A_nidulans_FGSC_A4	820641	821392	AN3404	0	-	SM_cluster_22
AN3405	ChrVI_A_nidulans_FGSC_A4	818162	819868	AN3405	0	-	SM_cluster_22
AN3406	ChrVI_A_nidulans_FGSC_A4	816609	817459	AN3406	0	+	SM_cluster_22
AN3407	ChrVI_A_nidulans_FGSC_A4	812732	814982	AN3407	0	-	SM_cluster_22
AN3408	ChrVI_A_nidulans_FGSC_A4	809394	811498	AN3408	0	+	SM_cluster_22
AN3491	ChrII_A_nidulans_FGSC_A4	4001266	4003032	AN3491	0	-	SM_cluster_23
AN3492	ChrII_A_nidulans_FGSC_A4	4000030	4000890	AN3492	0	-	SM_cluster_23
AN3493	ChrII_A_nidulans_FGSC_A4	3998704	3999412	AN3493	0	-	SM_cluster_23
AN3494	ChrII_A_nidulans_FGSC_A4	3996448	3997397	AN3494	0	-	SM_cluster_23
AN3495	ChrII_A_nidulans_FGSC_A4	3991242	3995741	AN3495	0	+	SM_cluster_23
AN3496	ChrII_A_nidulans_FGSC_A4	3983380	3990408	AN3496	0	-	SM_cluster_23
AN3497	ChrII_A_nidulans_FGSC_A4	3981631	3983255	AN3497	0	+	SM_cluster_23
AN3498	ChrII_A_nidulans_FGSC_A4	3976945	3979937	AN3498	0	+	SM_cluster_23
AN3499	ChrII_A_nidulans_FGSC_A4	3975096	3976513	AN3499	0	-	SM_cluster_23
AN3500	ChrII_A_nidulans_FGSC_A4	3972367	3974623	AN3500	0	-	SM_cluster_23
AN3501	ChrII_A_nidulans_FGSC_A4	3967030	3969270	AN3501	0	-	SM_cluster_23
AN3502	ChrII_A_nidulans_FGSC_A4	3964348	3966881	AN3502	0	+	SM_cluster_23
AN3503	ChrII_A_nidulans_FGSC_A4	3961877	3963999	AN3503	0	+	SM_cluster_23
AN3504	ChrII_A_nidulans_FGSC_A4	3958489	3961091	AN3504	0	-	SM_cluster_23
AN3505	ChrII_A_nidulans_FGSC_A4	3956943	3958183	AN3505	0	+	SM_cluster_23
AN3506	ChrII_A_nidulans_FGSC_A4	3952383	3953756	AN3506	0	-	SM_cluster_23
AN10599	ChrIII_A_nidulans_FGSC_A4	852625	853935	AN10599	0	+	SM_cluster_24
AN10600	ChrIII_A_nidulans_FGSC_A4	854250	856639	AN10600	0	+	SM_cluster_24
AN4826	ChrIII_A_nidulans_FGSC_A4	862083	863555	AN4826	0	+	SM_cluster_24
AN4827	ChrIII_A_nidulans_FGSC_A4	857929	861298	AN4827	0	+	SM_cluster_24
AN4829	ChrIII_A_nidulans_FGSC_A4	850727	852106	AN4829	0	-	SM_cluster_24
AN4830	ChrIII_A_nidulans_FGSC_A4	849309	850505	AN4830	0	+	SM_cluster_24
AN4831	ChrIII_A_nidulans_FGSC_A4	847522	848896	AN4831	0	+	SM_cluster_24
AN4832	ChrIII_A_nidulans_FGSC_A4	845407	846960	AN4832	0	+	SM_cluster_24
